"scenario","incorp.sf","t.incorp.sf","app.mthd.rl","app.mthd.sf","app.rate.ni","app.timing","air.temp","wind.2m","rain.rate","ct","tan.app","man.source","man.dm","man.ph","app.mthd","id","stype","EF.field","source","rdDM.lf","dpH.lf","id.sep","TAN.sep.eff.sf","incorp","t.incorp","EFp.field"
"ref","none",NA,"Trailing hose","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Pig",3.9,7.2,"Trailing hose","raw 1","raw",0.1404,NA,NA,NA,NA,NA,"none",NA,14.04
"ref","none",NA,"Open slot injection","(None)",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Pig",3.9,7.2,"Open slot injection","raw 2","raw",0.09636,NA,NA,NA,NA,NA,"none",NA,9.636
"ref","none",NA,"Trailing shoe","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Pig",3.9,7.2,"Trailing shoe","raw 3","raw",0.1214,NA,NA,NA,NA,NA,"none",NA,12.14
"ref","none",NA,"Trailing hose","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Pig",3.9,7.2,"Trailing hose","raw 4","raw",0.1475,NA,NA,NA,NA,NA,"none",NA,14.75
"ref","none",NA,"Open slot injection","(None)",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Pig",3.9,7.2,"Open slot injection","raw 5","raw",0.0982,NA,NA,NA,NA,NA,"none",NA,9.82
"ref","none",NA,"Trailing shoe","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Pig",3.9,7.2,"Trailing shoe","raw 6","raw",0.1326,NA,NA,NA,NA,NA,"none",NA,13.26
"ref","none",NA,"Trailing hose","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Pig",3.9,7.2,"Trailing hose","raw 7","raw",0.1522,NA,NA,NA,NA,NA,"none",NA,15.22
"ref","none",NA,"Open slot injection","(None)",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Pig",3.9,7.2,"Open slot injection","raw 8","raw",0.09943,NA,NA,NA,NA,NA,"none",NA,9.943
"ref","none",NA,"Trailing shoe","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Pig",3.9,7.2,"Trailing shoe","raw 9","raw",0.1417,NA,NA,NA,NA,NA,"none",NA,14.17
"ref","none",NA,"Trailing hose","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Pig",3.9,7.2,"Trailing hose","raw 10","raw",0.1552,NA,NA,NA,NA,NA,"none",NA,15.52
"ref","none",NA,"Open slot injection","(None)",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Pig",3.9,7.2,"Open slot injection","raw 11","raw",0.1002,NA,NA,NA,NA,NA,"none",NA,10.02
"ref","none",NA,"Trailing shoe","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Pig",3.9,7.2,"Trailing shoe","raw 12","raw",0.1486,NA,NA,NA,NA,NA,"none",NA,14.86
"ref","none",NA,"Trailing hose","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Pig",3.9,7.2,"Trailing hose","raw 13","raw",0.1536,NA,NA,NA,NA,NA,"none",NA,15.36
"ref","none",NA,"Open slot injection","(None)",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Pig",3.9,7.2,"Open slot injection","raw 14","raw",0.0998,NA,NA,NA,NA,NA,"none",NA,9.98
"ref","none",NA,"Trailing shoe","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,"Pig",3.9,7.2,"Trailing shoe","raw 15","raw",0.1448,NA,NA,NA,NA,NA,"none",NA,14.48
"ref","none",NA,"Trailing hose","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",6.5,7,"Trailing hose","raw 16","raw",0.2213,NA,NA,NA,NA,NA,"none",NA,22.13
"ref","none",NA,"Open slot injection","(None)",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",6.5,7,"Open slot injection","raw 17","raw",0.1207,NA,NA,NA,NA,NA,"none",NA,12.07
"ref","none",NA,"Trailing shoe","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,"Cattle",6.5,7,"Trailing shoe","raw 18","raw",0.1448,NA,NA,NA,NA,NA,"none",NA,14.48
"ref","none",NA,"Trailing hose","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",6.5,7,"Trailing hose","raw 19","raw",0.2644,NA,NA,NA,NA,NA,"none",NA,26.44
"ref","none",NA,"Open slot injection","(None)",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",6.5,7,"Open slot injection","raw 20","raw",0.1347,NA,NA,NA,NA,NA,"none",NA,13.47
"ref","none",NA,"Trailing shoe","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,"Cattle",6.5,7,"Trailing shoe","raw 21","raw",0.1839,NA,NA,NA,NA,NA,"none",NA,18.39
"ref","none",NA,"Trailing hose","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",6.5,7,"Trailing hose","raw 22","raw",0.3007,NA,NA,NA,NA,NA,"none",NA,30.07
"ref","none",NA,"Open slot injection","(None)",0,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",6.5,7,"Open slot injection","raw 23","raw",0.1464,NA,NA,NA,NA,NA,"none",NA,14.64
"ref","none",NA,"Trailing shoe","(None)",30,"May",12.4492495309568,3.48391526295633,0.0702993488962998,168,100,"Cattle",6.5,7,"Trailing shoe","raw 24","raw",0.2285,NA,NA,NA,NA,NA,"none",NA,22.85
"ref","none",NA,"Trailing hose","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",6.5,7,"Trailing hose","raw 25","raw",0.3285,NA,NA,NA,NA,NA,"none",NA,32.85
"ref","none",NA,"Open slot injection","(None)",0,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",6.5,7,"Open slot injection","raw 26","raw",0.1554,NA,NA,NA,NA,NA,"none",NA,15.54
"ref","none",NA,"Trailing shoe","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,"Cattle",6.5,7,"Trailing shoe","raw 27","raw",0.2729,NA,NA,NA,NA,NA,"none",NA,27.29
