"app.timing","man.source","scenario","app.mthd.rl","app.mthd.sf","incorp.sf","EFp.overall.p.mean","stor.frac.EF.p.mean","EFp.overall.mean","stor.frac.EF.mean","EFp.overall.min","stor.frac.EF.min","EFp.overall.max","stor.frac.EF.max","EFp.overall.sd","stor.frac.EF.sd","EFp.overall.n","stor.frac.EF.n","EFp.overall.b.mean","EFp.overall.b.se","EFp.overall.b.qs.2.5","EFp.overall.b.qs.97.5","stor.frac.EF.b.mean","stor.frac.EF.b.se","stor.frac.EF.b.qs.2.5","stor.frac.EF.b.qs.97.5","EFp.overall.b.mean","EFp.overall.b.se","EFp.overall.b.qs.5","EFp.overall.b.qs.95","EFp.overall.se","EFp.overall.p.qs.5","EFp.overall.p.qs.95","sep","EF.type"
"April","Cattle","sep incorp sf","Open slot injection","Broadcast","deep",12.30452,16.311210,12.30452,16.311210,11.35011,12.312117,14.28112,21.157746,0.8329713,2.1319705,27,27,12.33787619, 0.16113609,11.99053338,12.63134701,16.3285114, 0.3982373,15.6241110,17.1019063,12.33788, 0.16113609,11.99053,12.63135,0.16030541,11.97501,12.63403,TRUE,"Separation w/ SF incorporation"
"Autumn","Cattle","sep incorp sf","Open slot injection","Broadcast","deep",13.02798,15.384225,13.02798,15.384225,11.87857,12.066927,15.54691,19.284437,0.9078902,1.8101096,27,27,12.98893184, 0.16226980,12.66627140,13.28027095,15.3672926, 0.3175257,14.8577116,16.0115441,12.98893, 0.16226980,12.66627,13.28027,0.17472356,12.66883,13.38713,TRUE,"Separation w/ SF incorporation"
"March","Cattle","sep incorp sf","Open slot injection","Broadcast","deep",11.81257,16.992862,11.81257,16.992862,10.82708,12.586889,13.75472,22.179829,0.7709663,2.2596816,27,27,11.81431854, 0.15063284,11.56080083,12.12323154,16.9551855, 0.3944065,16.3354181,17.9114251,11.81432, 0.15063284,11.56080,12.12323,0.14837253,11.50758,12.11755,TRUE,"Separation w/ SF incorporation"
"May","Cattle","sep incorp sf","Open slot injection","Broadcast","deep",12.78809,15.683234,12.78809,15.683234,11.69977,12.122732,15.18606,19.957648,0.8884502,1.9399758,27,27,12.78788155, 0.18139360,12.43062830,13.18742869,15.6820840, 0.3811095,14.9616413,16.3460798,12.78788, 0.18139360,12.43063,13.18743,0.17098233,12.43663,13.13955,TRUE,"Separation w/ SF incorporation"
"Summer","Cattle","sep incorp sf","Open slot injection","Broadcast","deep",13.37688,14.970274,13.37688,14.970274,12.14857,11.987115,16.05358,18.313993,0.9542507,1.6257512,27,27,13.38634571, 0.16574618,13.08808703,13.70772239,14.9933969, 0.2947384,14.4820491,15.5996981,13.38635, 0.16574618,13.08809,13.70772,0.18364564,12.99939,13.75437,TRUE,"Separation w/ SF incorporation"
"April","Digestate","sep incorp sf","Open slot injection","Broadcast","deep",18.66809,18.980206,18.66809,18.980206,16.85465,13.223137,21.63363,30.855818,1.0998119,3.6529302,33,33,18.64804687, 0.18659143,18.30877216,19.01821428,18.9557149, 0.5676683,17.8525103,20.1614135,18.64805, 0.18659143,18.30877,19.01821,0.19145268,18.27811,19.05807,TRUE,"Separation w/ SF incorporation"
"Autumn","Digestate","sep incorp sf","Open slot injection","Broadcast","deep",19.51493,18.096507,19.51493,18.096507,17.00985,12.994989,24.91031,26.797074,1.6009251,2.9065830,33,33,19.49080396, 0.25950789,19.00427962,19.96170050,18.1550281, 0.5200692,17.0636051,19.0993230,19.49080, 0.25950789,19.00428,19.96170,0.27868529,18.94727,20.08260,TRUE,"Separation w/ SF incorporation"
"March","Digestate","sep incorp sf","Open slot injection","Broadcast","deep",18.25693,19.439059,18.25693,19.439059,16.75278,13.472299,20.30818,32.869679,0.9191181,3.9906647,33,33,18.24548036, 0.15544517,17.96258768,18.51914673,19.3988010, 0.6728284,18.0204939,20.5914755,18.24548, 0.15544517,17.96259,18.51915,0.15999793,17.93103,18.58284,TRUE,"Separation w/ SF incorporation"
"May","Digestate","sep incorp sf","Open slot injection","Broadcast","deep",19.19869,18.414632,19.19869,18.414632,16.95418,13.056879,23.63480,28.243238,1.3942505,3.1791996,33,33,19.18547056, 0.24405923,18.76566697,19.67047540,18.3878807, 0.6232775,17.2655858,19.5938593,19.18547, 0.24405923,18.76567,19.67048,0.24270786,18.70431,19.69307,TRUE,"Separation w/ SF incorporation"
"Summer","Digestate","sep incorp sf","Open slot injection","Broadcast","deep",19.95855,17.675303,19.95855,17.675303,17.08457,12.925795,26.71205,24.989594,1.9115680,2.5583288,33,33,19.97260941, 0.35765913,19.33201138,20.68624500,17.6565097, 0.4341564,16.7856799,18.3732150,19.97261, 0.35765913,19.33201,20.68624,0.33276127,19.28073,20.63636,TRUE,"Separation w/ SF incorporation"
"April","Pig","sep incorp sf","Open slot injection","Broadcast","deep",11.86210,24.793125,11.86210,24.793125,11.01446,18.337117,13.39402,39.125521,0.6247232,6.1338140,24,24,11.86386226, 0.11863883,11.65307712,12.10874260,24.7096207, 1.3059517,22.2893397,27.6485934,11.86386, 0.11863883,11.65308,12.10874,0.12752109,11.59831,12.12590,TRUE,"Separation w/ SF incorporation"
"Autumn","Pig","sep incorp sf","Open slot injection","Broadcast","deep",12.43696,23.571726,12.43696,23.571726,11.38308,17.831548,14.67429,35.711988,0.9013114,5.2796283,24,24,12.44098483, 0.15831092,12.16405524,12.74205402,23.6906528, 1.0440835,21.7891172,25.4441157,12.44098, 0.15831092,12.16406,12.74205,0.18397942,12.05637,12.81755,TRUE,"Separation w/ SF incorporation"
"March","Pig","sep incorp sf","Open slot injection","Broadcast","deep",11.62477,25.330884,11.62477,25.330884,10.83793,18.578682,12.92489,40.545664,0.5355649,6.4707111,24,24,11.63239245, 0.10762595,11.45482918,11.85707667,25.2046250, 1.3517487,22.9854642,28.1207145,11.63239, 0.10762595,11.45483,11.85708,0.10932172,11.39862,11.85092,TRUE,"Separation w/ SF incorporation"
"May","Pig","sep incorp sf","Open slot injection","Broadcast","deep",12.20849,24.041859,12.20849,24.041859,11.24125,18.015557,14.15221,37.029428,0.7856036,5.6124344,24,24,12.19605024, 0.15575914,11.93176031,12.51508486,24.0460695, 1.0630868,21.7840175,26.1501695,12.19605, 0.15575914,11.93176,12.51508,0.16036067,11.87676,12.54023,TRUE,"Separation w/ SF incorporation"
"Summer","Pig","sep incorp sf","Open slot injection","Broadcast","deep",12.78814,22.889007,12.78814,22.889007,11.59842,17.560553,15.48172,33.849481,1.0830772,4.8098830,24,24,12.77108989, 0.19741042,12.40145610,13.12249321,22.9172184, 0.9975280,21.1549575,25.1624288,12.77109, 0.19741042,12.40146,13.12249,0.22108221,12.33080,13.24549,TRUE,"Separation w/ SF incorporation"
"April","Cattle","sep incorp sf","Trailing hose","Broadcast","deep",19.70435,10.286694,19.70435,10.286694,16.52738, 7.545114,25.53190,14.530000,2.2441015,1.7712449,27,27,19.68885608, 0.45306146,18.84623684,20.51949512,10.3588852, 0.3261531, 9.7831517,10.8827490,19.68886, 0.45306146,18.84624,20.51950,0.43187753,18.81661,20.59209,TRUE,"Separation w/ SF incorporation"
"Autumn","Cattle","sep incorp sf","Trailing hose","Broadcast","deep",21.25755, 9.549428,21.25755, 9.549428,18.01371, 6.775659,28.88219,13.278628,2.6902592,1.6422230,27,27,21.15479826, 0.51611702,20.33961771,22.47481981, 9.5499830, 0.3015665, 9.0475398,10.1404785,21.15480, 0.51611702,20.33962,22.47482,0.51774063,20.19332,22.32178,TRUE,"Separation w/ SF incorporation"
"March","Cattle","sep incorp sf","Trailing hose","Broadcast","deep",18.30773,11.044422,18.30773,11.044422,15.49132, 7.913005,22.47086,15.501758,1.8400994,1.8284826,27,27,18.27787466, 0.32581216,17.70786209,18.86587432,11.0979803, 0.3386537,10.4219505,11.7236707,18.27787, 0.32581216,17.70786,18.86587,0.35412729,17.57981,19.03565,TRUE,"Separation w/ SF incorporation"
"May","Cattle","sep incorp sf","Trailing hose","Broadcast","deep",20.82321, 9.748601,20.82321, 9.748601,17.55503, 6.986244,28.01160,13.679425,2.5862292,1.6951060,27,27,20.88042043, 0.51461731,19.91347259,21.94009919, 9.7870097, 0.2806973, 9.2664607,10.3547875,20.88042, 0.51461731,19.91347,21.94010,0.49772004,19.80013,21.84629,TRUE,"Separation w/ SF incorporation"
"Summer","Cattle","sep incorp sf","Trailing hose","Broadcast","deep",21.84085, 9.292336,21.84085, 9.292336,18.40204, 6.521492,30.00783,12.731274,2.8192718,1.5652620,27,27,21.89220382, 0.59956506,20.93131191,22.99973486, 9.3062281, 0.2854477, 8.7943241, 9.8659130,21.89220, 0.59956506,20.93131,22.99973,0.54256912,20.72558,22.95611,TRUE,"Separation w/ SF incorporation"
"April","Digestate","sep incorp sf","Trailing hose","Broadcast","deep",26.87251,13.348857,26.87251,13.348857,21.68519, 7.964281,33.90113,23.024868,2.7020369,3.1797499,33,33,26.90053118, 0.45403816,26.09188423,27.79994254,13.3344363, 0.4858817,12.5491225,14.3047290,26.90053, 0.45403816,26.09188,27.79994,0.47036424,25.91441,27.83061,TRUE,"Separation w/ SF incorporation"
"Autumn","Digestate","sep incorp sf","Trailing hose","Broadcast","deep",27.97467,12.778579,27.97467,12.778579,22.60897, 7.736791,34.89796,20.527381,2.9717511,2.7643956,33,33,27.97850416, 0.53240803,27.03062012,29.07575762,12.7601515, 0.5382777,11.5953273,13.8143198,27.97850, 0.53240803,27.03062,29.07576,0.51731546,26.92094,29.02841,TRUE,"Separation w/ SF incorporation"
"March","Digestate","sep incorp sf","Trailing hose","Broadcast","deep",26.13038,13.738539,26.13038,13.738539,21.23863, 8.251591,32.72074,24.422929,2.4881331,3.3736185,33,33,26.13215414, 0.42565770,25.35597669,26.86389464,13.6995625, 0.5925452,12.7088656,14.9630814,26.13215, 0.42565770,25.35598,26.86389,0.43312837,25.24813,27.01264,TRUE,"Separation w/ SF incorporation"
"May","Digestate","sep incorp sf","Trailing hose","Broadcast","deep",27.60281,12.968703,27.60281,12.968703,22.25651, 7.788993,34.66407,21.403562,2.8788149,2.9171483,33,33,27.61467667, 0.52207141,26.59182787,28.58096809,13.0330634, 0.4797290,12.0121116,13.8920374,27.61468, 0.52207141,26.59183,28.58097,0.50113734,26.58203,28.62360,TRUE,"Separation w/ SF incorporation"
"Summer","Digestate","sep incorp sf","Trailing hose","Broadcast","deep",28.48169,12.529824,28.48169,12.529824,23.08708, 7.674050,35.53363,19.414300,3.1255777,2.5671051,33,33,28.54741533, 0.50477111,27.65335536,29.47471183,12.5380989, 0.4100403,11.8105569,13.2897862,28.54742, 0.50477111,27.65336,29.47471,0.54409323,27.37341,29.58997,TRUE,"Separation w/ SF incorporation"
