"man.source","scenario","incorp.sf","t.incorp.sf","app.mthd.rl","app.mthd.sf","app.rate.ni","app.timing","air.temp","wind.2m","rain.rate","ct","tan.app","man.dm","man.ph","app.mthd","id","stype","EF.field.raw","EF.stor.raw","EF.stor.lf","EF.stor.sf","N.loss.stor.sf","EF.overall","stor.frac.EF","man.dm.lf","man.ph.lf","EF.field.lf","man.dm.sf","man.ph.sf","source","rdDM.lf","dpH.lf","TAN.sep.eff.sf","id.sep","incorp","t.incorp","EF.field.sf","EFp.overall","sep","EF.type"
"Cattle","ref","none",NA,"Trailing shoe","(None)",30,"Summer",16.8762259816193,3.15624012423227,0.105925308296069,168,100,6.5,7,"Trailing shoe","raw 27","raw",0.2729,0.017,0.017,0.0517241379310345,0.224137931034483,0.2852607,5.95946094221882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.52607,FALSE,"Reference"
"Cattle","ref","none",NA,"Trailing hose","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,6.5,7,"Trailing hose","raw 28","raw",0.3129,0.017,0.017,0.0517241379310345,0.224137931034483,0.3245807,5.23752644565743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.45807,FALSE,"Reference"
"Cattle","ref","none",NA,"Open slot injection","(None)",0,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,6.5,7,"Open slot injection","raw 29","raw",0.1504,0.017,0.017,0.0517241379310345,0.224137931034483,0.1648432,10.3128306172168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.48432,FALSE,"Reference"
"Cattle","ref","none",NA,"Trailing shoe","(None)",30,"Autumn",14.4977479635841,3.32276959833633,0.128260170445409,168,100,6.5,7,"Trailing shoe","raw 30","raw",0.2469,0.017,0.017,0.0517241379310345,0.224137931034483,0.2597027,6.54594657660471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.97027,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing hose","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,5.9,7.9,"Trailing hose","raw 31","raw",0.3163,0.026,0.026,0.168831168831169,0.363636363636364,0.3340762,7.78265557378825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.40762,FALSE,"Reference"
"Digestate","ref","none",NA,"Open slot injection","(None)",0,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,5.9,7.9,"Open slot injection","raw 32","raw",0.1778,0.026,0.026,0.168831168831169,0.363636363636364,0.1991772,13.0537029338699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.91772,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing shoe","(None)",30,"March",4.43101207056639,4.05891613991413,0.0599629009095261,168,100,5.9,7.9,"Trailing shoe","raw 33","raw",0.2667,0.026,0.026,0.168831168831169,0.363636363636364,0.2857658,9.09835956577029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.57658,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing hose","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,5.9,7.9,"Trailing hose","raw 34","raw",0.3325,0.026,0.026,0.168831168831169,0.363636363636364,0.349855,7.43165025510569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9855,FALSE,"Reference"
"Digestate","ref","none",NA,"Open slot injection","(None)",0,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,5.9,7.9,"Open slot injection","raw 35","raw",0.1828,0.026,0.026,0.168831168831169,0.363636363636364,0.2040472,12.7421498555236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.40472,FALSE,"Reference"
"Digestate","ref","none",NA,"Trailing shoe","(None)",30,"April",8.23645983645984,3.84445591865745,0.0552119412831931,168,100,5.9,7.9,"Trailing shoe","raw 36","raw",0.2969,0.026,0.026,0.168831168831169,0.363636363636364,0.3151806,8.24923869045239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.51806,FALSE,"Reference"
