"app.timing","man.source","stype","scenario","app.mthd","incorp","EFp.field.p.mean","EFp.field.mean","EFp.field.min","EFp.field.max","EFp.field.sd","EFp.field.n","EFp.field.se","EFp.field.p.qs.5","EFp.field.p.qs.95","sep","EF.type"
"Autumn","Cattle","raw","ref","Open slot injection","none",15.04,15.04,15.04,15.04,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Cattle","raw","ref","Open slot injection","none",12.07,12.07,12.07,12.07,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Cattle","raw","ref","Open slot injection","none",14.64,14.64,14.64,14.64,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Cattle","raw","ref","Open slot injection","none",15.54,15.54,15.54,15.54,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Digestate","raw","ref","Open slot injection","none",18.28,18.28,18.28,18.28,NA,1,NA,NA,NA,FALSE,"Raw"
"Autumn","Digestate","raw","ref","Open slot injection","none",18.69,18.69,18.69,18.69,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Digestate","raw","ref","Open slot injection","none",17.78,17.78,17.78,17.78,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Digestate","raw","ref","Open slot injection","none",18.6,18.6,18.6,18.6,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Digestate","raw","ref","Open slot injection","none",18.8,18.8,18.8,18.8,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Pig","raw","ref","Open slot injection","none",9.82,9.82,9.82,9.82,NA,1,NA,NA,NA,FALSE,"Raw"
"Autumn","Pig","raw","ref","Open slot injection","none",9.98,9.98,9.98,9.98,NA,1,NA,NA,NA,FALSE,"Raw"
"March","Pig","raw","ref","Open slot injection","none",9.636,9.636,9.636,9.636,NA,1,NA,NA,NA,FALSE,"Raw"
"May","Pig","raw","ref","Open slot injection","none",9.943,9.943,9.943,9.943,NA,1,NA,NA,NA,FALSE,"Raw"
"Summer","Pig","raw","ref","Open slot injection","none",10.02,10.02,10.02,10.02,NA,1,NA,NA,NA,FALSE,"Raw"
"April","Cattle","lf","sep","Open slot injection","none",10.9657407407407,10.9657407407407,9.919,13.12,0.885614241103645,27,0.170436540166452,10.6154034150082,11.3160780664733,TRUE,"LF"
"Autumn","Cattle","lf","sep","Open slot injection","none",11.3259259259259,11.3259259259259,10.1,14.13,1.0182611847929,27,0.195964456381843,10.9231152169054,11.7287366349465,TRUE,"LF"
"March","Cattle","lf","sep","Open slot injection","none",10.5745185185185,10.5745185185185,9.63,12.31,0.783154733231139,27,0.150718198682709,10.264712824187,10.8843242128501,TRUE,"LF"
"May","Cattle","lf","sep","Open slot injection","none",11.2414814814815,11.2414814814815,10.06,13.89,0.984751837945064,27,0.189515579574187,10.8519266285853,11.6310363343777,TRUE,"LF"
"Summer","Cattle","lf","sep","Open slot injection","none",11.4266666666667,11.4266666666667,10.15,14.44,1.06446447351925,27,0.204856283443044,11.0055785453585,11.8477547879748,TRUE,"LF"
"April","Digestate","lf","sep","Open slot injection","none",15.7130303030303,15.7130303030303,13.99,18.23,0.948273051553734,33,0.165073150020431,15.3767872996437,16.0492733064169,TRUE,"LF"
"Autumn","Digestate","lf","sep","Open slot injection","none",15.8215151515152,15.8215151515152,14.02,18.52,1.00294292338884,33,0.174589953160885,15.4658870544886,16.1771432485417,TRUE,"LF"
