"app.mthd.nm","March","April","May","Summer","Autumn"
"Slæbeslange",28,29,30,30,30
"Slæbeslange +
markforsuring (2.1 kg/t)",23,25,26,27,27
"Slæbeslange +
markforsuring (5.7 kg/t)
",18,21,23,25,24
"Slæbeslange +
markforsuring (11 kg/t)",14,17,20,22,21
"Nedfældning
i græs
",16,17,17,17,17
"Nedfældning
på sort jord",2.6,2.6,2.6,2.6,2.6
