"app.timing.dk","app.timing","air.temp","wind.2m","rain.rate","app.mthd","incorp","t.incorp","app.rate.ni","man.name","man.source","man.dm","man.ph","man.source.pig","ct","tan.app","id","EF","EFp"
"Marts","March",4.9,4.025,0.09,"bsth","none",NA,30,"Svinegylle","pig",3.9,7.2,TRUE,168,100,1,0.141005807025429,14
"April","April",8.5,3.91,0.09,"bsth","none",NA,30,"Svinegylle","pig",3.9,7.2,TRUE,168,100,2,0.147812544901563,15
"Maj","May",12.4,3.565,0.09,"bsth","none",NA,30,"Svinegylle","pig",3.9,7.2,TRUE,168,100,3,0.152177290006284,15
"Sommer","Summer",16.867,3.18167,0.09,"bsth","none",NA,30,"Svinegylle","pig",3.9,7.2,TRUE,168,100,4,0.155304024289319,16
"Efterår","Autumn",14.6,3.45,0.09,"bsth","none",NA,30,"Svinegylle","pig",3.9,7.2,TRUE,168,100,5,0.154053263472974,15
"Marts","March",4.9,4.025,0.09,"bsth","none",NA,30,"Kvæggylle","cattle",6.5,7,FALSE,168,100,6,0.224543998945326,22
"April","April",8.5,3.91,0.09,"bsth","none",NA,30,"Kvæggylle","cattle",6.5,7,FALSE,168,100,7,0.266994990225292,27
"Maj","May",12.4,3.565,0.09,"bsth","none",NA,30,"Kvæggylle","cattle",6.5,7,FALSE,168,100,8,0.300771004438102,30
"Sommer","Summer",16.867,3.18167,0.09,"bsth","none",NA,30,"Kvæggylle","cattle",6.5,7,FALSE,168,100,9,0.329284730664679,33
"Efterår","Autumn",14.6,3.45,0.09,"bsth","none",NA,30,"Kvæggylle","cattle",6.5,7,FALSE,168,100,10,0.317379588159052,32
"Marts","March",4.9,4.025,0.09,"bsth","none",NA,30,"Agfasset biomasse","digestate",5.1,7.9,FALSE,168,100,11,0.280535451462385,28
"April","April",8.5,3.91,0.09,"bsth","none",NA,30,"Agfasset biomasse","digestate",5.1,7.9,FALSE,168,100,12,0.290585158652942,29
"Maj","May",12.4,3.565,0.09,"bsth","none",NA,30,"Agfasset biomasse","digestate",5.1,7.9,FALSE,168,100,13,0.296560823367592,30
"Sommer","Summer",16.867,3.18167,0.09,"bsth","none",NA,30,"Agfasset biomasse","digestate",5.1,7.9,FALSE,168,100,14,0.300636889846787,30
"Efterår","Autumn",14.6,3.45,0.09,"bsth","none",NA,30,"Agfasset biomasse","digestate",5.1,7.9,FALSE,168,100,15,0.299026054491917,30
