"animal","dose.kg.t","n","pH","dpH","buff.int","dose.mmol.kg","n.max"
"Afgasset",0,11,7.89681818181818,0,NA,0,11
"Afgasset",0.125,11,7.86780926207917,-0.0290089197390154,NA,1.2740022014758,11
"Afgasset",0.25,11,7.83901592218858,-0.0578022596296051,NA,2.54800440295161,11
"Afgasset",0.375,11,7.81007384886584,-0.086744332952346,NA,3.82200660442741,11
"Afgasset",0.5,11,7.78061872883037,-0.116199452987815,NA,5.09600880590322,11
"Afgasset",0.625,11,7.75028624880159,-0.14653193301659,NA,6.37001100737902,11
"Afgasset",0.75,11,7.71867451713138,-0.178143664686802,NA,7.64401320885483,11
"Afgasset",0.875,11,7.68482494720178,-0.211993234616405,NA,8.91801541033063,11
"Afgasset",1,11,7.64872510144486,-0.248093080373325,NA,10.1920176118064,11
"Afgasset",1.125,11,7.61091083225903,-0.285907349559153,NA,11.4660198132822,11
"Afgasset",1.25,11,7.57197732080162,-0.324840861016567,NA,12.740022014758,11
"Afgasset",1.375,11,7.53252370248716,-0.364294479331017,NA,14.0140242162338,11
"Afgasset",1.5,11,7.49309835102268,-0.403719830795505,NA,15.2880264177097,11
"Afgasset",1.625,11,7.45383402886047,-0.442984152957714,NA,16.5620286191855,11
"Afgasset",1.75,11,7.41491699239872,-0.481901189419459,NA,17.8360308206613,11
"Afgasset",1.875,11,7.37703865978696,-0.519779522031221,NA,19.1100330221371,11
"Afgasset",2,11,7.34080822538147,-0.556009956436716,NA,20.3840352236129,11
"Afgasset",2.125,11,7.30687127901344,-0.589946902804742,NA,21.6580374250887,11
"Afgasset",2.25,11,7.27573669441218,-0.621081487406001,NA,22.9320396265645,11
"Afgasset",2.375,11,7.24724451929611,-0.649573662522069,NA,24.2060418280403,11
"Afgasset",2.5,11,7.22115015389524,-0.675668027922937,NA,25.4800440295161,11
"Afgasset",2.625,11,7.19720345432158,-0.699614727496606,NA,26.7540462309919,11
"Afgasset",2.75,11,7.1751210750009,-0.721697106817286,NA,28.0280484324677,11
"Afgasset",2.875,11,7.15466273006423,-0.742155451753951,NA,29.3020506339435,11
"Afgasset",2.9,11,7.1507521115281,-0.746066070290079,NA,29.5568510742387,11
"Afgasset",3,11,7.13554641014553,-0.761271771672656,NA,30.5760528354193,11
"Afgasset",3.125,11,7.11727139592468,-0.779546785893504,NA,31.8500550368951,11
"Afgasset",3.25,11,7.09939064183278,-0.797427539985401,NA,33.1240572383709,11
"Afgasset",3.375,11,7.08166098135202,-0.815157200466162,NA,34.3980594398467,11
"Afgasset",3.5,11,7.06440764517753,-0.83241053664065,NA,35.6720616413225,11
"Afgasset",3.625,11,7.04800542574472,-0.848812756073458,NA,36.9460638427983,11
"Afgasset",3.75,11,7.0327375065578,-0.864080675260384,NA,38.2200660442741,11
"Afgasset",3.875,11,7.01869777121057,-0.878120410607614,NA,39.4940682457499,11
"Afgasset",4,11,7.00591394005989,-0.890904241758294,NA,40.7680704472257,11
"Afgasset",4.125,11,6.99406764722054,-0.902750534597643,NA,42.0420726487015,11
"Afgasset",4.25,11,6.98314557981859,-0.913672601999588,NA,43.3160748501773,11
"Afgasset",4.375,11,6.97315520570039,-0.923662976117788,NA,44.5900770516531,11
"Afgasset",4.5,11,6.9639484321843,-0.93286974963388,NA,45.8640792531289,11
