"animal","pH","dose.kg.t"
"Afgasset",6,13.6560283522254
"Afgasset",6.6,10.1375931988314
"Kvæg",6,5.59798300398226
"Kvæg",6.6,1.83385932698878
"Slagtesvin",6,6.95255551868894
"Slagtesvin",6.6,2.40791744057078
"So-/smågrise",6,4.77016454318614
"So-/smågrise",6.6,1.42101467613141
