"animal","sample","dose.kg.t","n","pH","dpH","buff.int"
"Afgasset","Båndlev(Hinnerup)",0,2,8,0,NA
"Afgasset","Båndlev(Hinnerup)",0.125,2,7.97625765187455,-0.0237423481254542,NA
"Afgasset","Båndlev(Hinnerup)",0.25,2,7.95131436617069,-0.0486856338293076,NA
"Afgasset","Båndlev(Hinnerup)",0.375,2,7.92447295652019,-0.0755270434798074,NA
"Afgasset","Båndlev(Hinnerup)",0.5,2,7.8950362365548,-0.1049637634452,NA
"Afgasset","Båndlev(Hinnerup)",0.625,2,7.86230701990627,-0.137692980093733,NA
"Afgasset","Båndlev(Hinnerup)",0.75,2,7.82558839445091,-0.174411605549095,NA
"Afgasset","Båndlev(Hinnerup)",0.875,2,7.78535640191419,-0.214643598085809,NA
"Afgasset","Båndlev(Hinnerup)",1,2,7.74305123630017,-0.256948763699829,NA
"Afgasset","Båndlev(Hinnerup)",1.125,2,7.69950325049328,-0.300496749506719,NA
"Afgasset","Båndlev(Hinnerup)",1.25,2,7.65554246921322,-0.344457530786779,NA
"Afgasset","Båndlev(Hinnerup)",1.375,2,7.61199891717969,-0.388001082820311,NA
"Afgasset","Båndlev(Hinnerup)",1.5,2,7.56970243204135,-0.430297567958646,NA
"Afgasset","Båndlev(Hinnerup)",1.625,2,7.5290058326146,-0.470994167385398,NA
"Afgasset","Båndlev(Hinnerup)",1.75,2,7.48940000039507,-0.510599999604933,NA
"Afgasset","Båndlev(Hinnerup)",1.875,2,7.45134402701683,-0.548655972983172,NA
"Afgasset","Båndlev(Hinnerup)",2,2,7.41542053521421,-0.584579464785787,NA
"Afgasset","Båndlev(Hinnerup)",2.1,2,7.38860865098404,-0.611391349015959,NA
"Afgasset","Båndlev(Hinnerup)",2.125,2,7.38221214772155,-0.617787852278446,NA
"Afgasset","Båndlev(Hinnerup)",2.25,2,7.35230135307783,-0.647698646922167,NA
"Afgasset","Båndlev(Hinnerup)",2.375,2,7.32636635799768,-0.673633642002321,NA
"Afgasset","Båndlev(Hinnerup)",2.5,2,7.30256259630163,-0.697437403698371,NA
"Afgasset","Båndlev(Hinnerup)",2.625,2,7.28040387485257,-0.71959612514743,NA
"Afgasset","Båndlev(Hinnerup)",2.75,2,7.26061025959846,-0.739389740401539,NA
"Afgasset","Båndlev(Hinnerup)",2.875,2,7.24390181648726,-0.756098183512737,NA
"Afgasset","Båndlev(Hinnerup)",2.9,2,7.24099371432559,-0.759006285674407,NA
"Afgasset","Båndlev(Hinnerup)",3,2,7.23099719376571,-0.769002806234287,NA
"Afgasset","Båndlev(Hinnerup)",3.125,2,7.22180245069736,-0.778197549302638,NA
"Afgasset","Båndlev(Hinnerup)",3.25,2,7.2108681729005,-0.789131827099495,NA
"Afgasset","Båndlev(Hinnerup)",3.375,2,7.19531338469174,-0.804686615308259,NA
"Afgasset","Båndlev(Hinnerup)",3.4,2,7.19180788543098,-0.808192114569019,NA
"Afgasset","Båndlev(Hinnerup)",3.5,2,7.17695535459859,-0.82304464540141,NA
"Afgasset","Båndlev(Hinnerup)",3.625,2,7.15761135114857,-0.84238864885143,NA
"Afgasset","Båndlev(Hinnerup)",3.75,2,7.13909839560962,-0.860901604390382,NA
"Afgasset","Båndlev(Hinnerup)",3.875,2,7.1236108451536,-0.876389154846397,NA
"Afgasset","Båndlev(Hinnerup)",4,2,7.11182771256846,-0.888172287431545,NA
"Afgasset","Båndlev(Hinnerup)",4.125,2,7.09916686434966,-0.900833135650341,NA
