"","animal","dose.kg.t","dpH.mean","n"
"1","Afgasset",11,-1.38018611605777,11
"2","Afgasset",2.1,-0.583375072943427,11
"3","Afgasset",5.7,-1.00749029500989,11
"4","Kvæg",3,-0.53314798967449,8
"5","Slagtesvin",2.9,-0.673207185398101,7
"6","So-/smågrise",2.9,-0.794217016740866,6
