"animal","pH","n","dose.kg.t","dose.kg.t.sd"
"Afgasset",6,11,15.5816317140871,2.98667363057218
"Afgasset",6.6,11,10.6416511855588,2.5351865633114
"Kvæg",6,8,6.13828330226297,2.24934897500265
"Kvæg",6.6,8,1.99841304997846,1.52732126088263
"Slagtesvin",6,7,9.10962139821899,7.10693217363915
"Slagtesvin",6.6,7,5.23808230713194,5.63529605882692
"So-/smågrise",6,6,5.38411361323821,3.45144313303965
"So-/smågrise",6.6,6,2.65581170961081,1.92951780095365
