"man.source","app.mthd.dk","app.mthd","app.rate.ni","app.timing.dk","app.timing","air.temp","wind.2m","rain.rate","man.ph","man.dm","id","ct","tan.app","EF","EFp","man.dm.dk","man.ph.c","man.ph.dk"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,8,3.9,1,168,100,0.2429,24.3,"Tørstof 3,9%","8.0","pH 8,0"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,8,3.9,2,168,100,0.2326,23.3,"Tørstof 3,9%","8.0","pH 8,0"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,8,3.9,3,168,100,0.2471,24.7,"Tørstof 3,9%","8.0","pH 8,0"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,8,3.9,4,168,100,0.2436,24.4,"Tørstof 3,9%","8.0","pH 8,0"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.95,3.9,5,168,100,0.2397,24,"Tørstof 3,9%","7.95","pH 7,95"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.95,3.9,6,168,100,0.2287,22.9,"Tørstof 3,9%","7.95","pH 7,95"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.95,3.9,7,168,100,0.2443,24.4,"Tørstof 3,9%","7.95","pH 7,95"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.95,3.9,8,168,100,0.2405,24,"Tørstof 3,9%","7.95","pH 7,95"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.8,3.9,9,168,100,0.2304,23,"Tørstof 3,9%","7.8","pH 7,8"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.8,3.9,10,168,100,0.2171,21.7,"Tørstof 3,9%","7.8","pH 7,8"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.8,3.9,11,168,100,0.2361,23.6,"Tørstof 3,9%","7.8","pH 7,8"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.8,3.9,12,168,100,0.2313,23.1,"Tørstof 3,9%","7.8","pH 7,8"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.6,3.9,13,168,100,0.2182,21.8,"Tørstof 3,9%","7.6","pH 7,6"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.6,3.9,14,168,100,0.2013,20.1,"Tørstof 3,9%","7.6","pH 7,6"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.6,3.9,15,168,100,0.2259,22.6,"Tørstof 3,9%","7.6","pH 7,6"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.6,3.9,16,168,100,0.2194,21.9,"Tørstof 3,9%","7.6","pH 7,6"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.4,3.9,17,168,100,0.206,20.6,"Tørstof 3,9%","7.4","pH 7,4"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.4,3.9,18,168,100,0.1851,18.5,"Tørstof 3,9%","7.4","pH 7,4"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.4,3.9,19,168,100,0.2161,21.6,"Tørstof 3,9%","7.4","pH 7,4"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.4,3.9,20,168,100,0.2076,20.8,"Tørstof 3,9%","7.4","pH 7,4"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.2,3.9,21,168,100,0.1935,19.4,"Tørstof 3,9%","7.2","pH 7,2"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.2,3.9,22,168,100,0.1684,16.8,"Tørstof 3,9%","7.2","pH 7,2"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.2,3.9,23,168,100,0.2067,20.7,"Tørstof 3,9%","7.2","pH 7,2"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.2,3.9,24,168,100,0.1955,19.6,"Tørstof 3,9%","7.2","pH 7,2"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7,3.9,25,168,100,0.1806,18.1,"Tørstof 3,9%","7.0","pH 7,0"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7,3.9,26,168,100,0.1513,15.1,"Tørstof 3,9%","7.0","pH 7,0"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7,3.9,27,168,100,0.1974,19.7,"Tørstof 3,9%","7.0","pH 7,0"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7,3.9,28,168,100,0.1831,18.3,"Tørstof 3,9%","7.0","pH 7,0"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,8,3.7,29,168,100,0.2352,23.5,"Tørstof 3,7%","8.0","pH 8,0"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,8,3.7,30,168,100,0.2261,22.6,"Tørstof 3,7%","8.0","pH 8,0"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,8,3.7,31,168,100,0.239,23.9,"Tørstof 3,7%","8.0","pH 8,0"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,8,3.7,32,168,100,0.2358,23.6,"Tørstof 3,7%","8.0","pH 8,0"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.95,3.7,33,168,100,0.2321,23.2,"Tørstof 3,7%","7.95","pH 7,95"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.95,3.7,34,168,100,0.2224,22.2,"Tørstof 3,7%","7.95","pH 7,95"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.95,3.7,35,168,100,0.2361,23.6,"Tørstof 3,7%","7.95","pH 7,95"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.95,3.7,36,168,100,0.2327,23.3,"Tørstof 3,7%","7.95","pH 7,95"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.8,3.7,37,168,100,0.2229,22.3,"Tørstof 3,7%","7.8","pH 7,8"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.8,3.7,38,168,100,0.2111,21.1,"Tørstof 3,7%","7.8","pH 7,8"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.8,3.7,39,168,100,0.2279,22.8,"Tørstof 3,7%","7.8","pH 7,8"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.8,3.7,40,168,100,0.2237,22.4,"Tørstof 3,7%","7.8","pH 7,8"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.6,3.7,41,168,100,0.2109,21.1,"Tørstof 3,7%","7.6","pH 7,6"
