"error_mean","error_sd","meas_length","meas_periods"
13.5591509783484,10.3686864184442,1,10
14.0174765425222,10.9151701515173,2,10
13.1332978878114,9.45485836096217,3,10
13.5565949152059,9.58888091500698,4,10
13.2026186697431,10.0654708388914,5,10
13.1198067412258,9.6759468002697,6,10
12.0659349716061,8.85484288239957,7,10
11.6926561088919,8.97268173232121,8,10
12.0046300203212,8.82816413494907,9,10
11.4306323401457,8.54486758853432,10,10
11.441353816859,8.4191715319908,11,10
11.019982129148,8.26767154633989,12,10
10.7862322660431,8.09174817091321,13,10
10.6181778245099,8.40807354233087,14,10
