"error_mean","error_sd","meas_length","meas_periods"
NA,NA,7,1
NA,NA,7,2
24.0393077342051,17.7890423957342,7,3
20.9008227855225,15.8512570679065,7,4
18.2410527500101,13.6512577957681,7,5
16.2894569738733,12.0924849964882,7,6
14.9628912137386,10.783276420625,7,7
14.5789776776191,10.641084427666,7,8
13.3591421451394,9.62837892916538,7,9
12.7212166675594,9.46207695002611,7,10
11.8352311189544,8.5798249242352,7,11
10.9653678948543,8.04357818899884,7,12
10.4161483243334,7.58590303485478,7,13
9.96946742244488,7.69905530714636,7,14
