"meas_part_dat","meas_full_dat","batch_arrangement","farm","subdat","weeksets","error"
6.04797720409866,6.97742445161465,1,"control",1,"1,9,4,8,3,7,2,10",-13.3207783754779
6.16543916054079,6.97742445161465,2,"control",1,"1,9,4,8,3,7,2,10",-11.6373211448526
5.82868462112198,6.97742445161465,3,"control",1,"1,9,4,8,3,7,2,10",-16.4636656184338
6.12874426245331,6.97742445161465,4,"control",1,"1,9,4,8,3,7,2,10",-12.1632300721643
6.13104230435259,6.97742445161465,5,"control",1,"1,9,4,8,3,7,2,10",-12.1302946829643
5.83098266302126,6.97742445161465,6,"control",1,"1,9,4,8,3,7,2,10",-16.4307302292337
5.92099651836321,6.97742445161465,7,"control",1,"1,9,4,8,3,7,2,10",-15.1406574242014
5.80123652002181,6.97742445161465,8,"control",1,"1,9,4,8,3,7,2,10",-16.8570500440268
5.75887271756542,6.97742445161465,9,"control",1,"1,9,4,8,3,7,2,10",-17.4642053453871
5.87863271590683,6.97742445161465,10,"control",1,"1,9,4,8,3,7,2,10",-15.7478127255617
5.60855296948088,6.97742445161465,11,"control",1,"1,9,4,8,3,7,2,10",-19.6185783397053
5.9509764132686,6.97742445161465,12,"control",1,"1,9,4,8,3,7,2,10",-14.7109874920755
6.41560641288101,6.97742445161465,13,"control",1,"1,9,4,8,3,7,2,10",-8.05194011958999
6.07318296909329,6.97742445161465,14,"control",1,"1,9,4,8,3,7,2,10",-12.9595309672197
6.40993750851209,6.97742445161465,15,"control",1,"1,9,4,8,3,7,2,10",-8.13318649363856
5.82554751055828,6.97742445161465,16,"control",1,"1,9,4,8,3,7,2,10",-16.5086264859495
5.76728394329366,6.97742445161465,17,"control",1,"1,9,4,8,3,7,2,10",-17.3436561973946
6.35167394124747,6.97742445161465,18,"control",1,"1,9,4,8,3,7,2,10",-8.96821620508369
6.26166008590552,6.97742445161465,19,"control",1,"1,9,4,8,3,7,2,10",-10.258289010116
6.66234709695786,6.97742445161465,20,"control",1,"1,9,4,8,3,7,2,10",-4.51566845104115
6.19541905544617,6.97742445161465,21,"control",1,"1,9,4,8,3,7,2,10",-11.2076512127267
5.79473204439383,6.97742445161465,22,"control",1,"1,9,4,8,3,7,2,10",-16.9502717718016
6.06481179081978,6.97742445161465,23,"control",1,"1,9,4,8,3,7,2,10",-13.079506157658
5.94734983437765,6.97742445161465,24,"control",1,"1,9,4,8,3,7,2,10",-14.7629633882833
4.09492234861525,4.35298885478972,1,"frequentflushing",1,"1,9,4,8,3,7,2,10",-5.92848993607019
3.86121515809433,4.35298885478972,2,"frequentflushing",1,"1,9,4,8,3,7,2,10",-11.2973801013591
3.90903917508314,4.35298885478972,3,"frequentflushing",1,"1,9,4,8,3,7,2,10",-10.1987322852456
4.06000103253222,4.35298885478972,4,"frequentflushing",1,"1,9,4,8,3,7,2,10",-6.73072759961515
4.18947108633192,4.35298885478972,5,"frequentflushing",1,"1,9,4,8,3,7,2,10",-3.75644813052707
4.03850922888284,4.35298885478972,6,"frequentflushing",1,"1,9,4,8,3,7,2,10",-7.2244528161575
3.91970115525247,4.35298885478972,7,"frequentflushing",1,"1,9,4,8,3,7,2,10",-9.95379758577799
4.0239382919737,4.35298885478972,8,"frequentflushing",1,"1,9,4,8,3,7,2,10",-7.55918688957722
4.23125905454577,4.35298885478972,9,"frequentflushing",1,"1,9,4,8,3,7,2,10",-2.79646478097471
4.12702191782455,4.35298885478972,10,"frequentflushing",1,"1,9,4,8,3,7,2,10",-5.19107547717546
4.0709452886898,4.35298885478972,11,"frequentflushing",1,"1,9,4,8,3,7,2,10",-6.47930825252588
4.0145863835668,4.35298885478972,12,"frequentflushing",1,"1,9,4,8,3,7,2,10",-7.774025675498
4.08683414407102,4.35298885478972,13,"frequentflushing",1,"1,9,4,8,3,7,2,10",-6.11429800528518
4.14319304919402,4.35298885478972,14,"frequentflushing",1,"1,9,4,8,3,7,2,10",-4.81958058231308
4.09536903220521,4.35298885478972,15,"frequentflushing",1,"1,9,4,8,3,7,2,10",-5.91822839842654
4.12735840842221,4.35298885478972,16,"frequentflushing",1,"1,9,4,8,3,7,2,10",-5.1833453724386
4.15180840738217,4.35298885478972,17,"frequentflushing",1,"1,9,4,8,3,7,2,10",-4.62166235932776
4.11981903116517,4.35298885478972,18,"frequentflushing",1,"1,9,4,8,3,7,2,10",-5.35654538531572
4.23862710479554,4.35298885478972,19,"frequentflushing",1,"1,9,4,8,3,7,2,10",-2.62720061569521
4.15781820071258,4.35298885478972,20,"frequentflushing",1,"1,9,4,8,3,7,2,10",-4.48360105177815
3.95610038640865,4.35298885478972,21,"frequentflushing",1,"1,9,4,8,3,7,2,10",-9.11760819107905
4.03690929049161,4.35298885478972,22,"frequentflushing",1,"1,9,4,8,3,7,2,10",-7.26120775499612
4.09298591962636,4.35298885478972,23,"frequentflushing",1,"1,9,4,8,3,7,2,10",-5.9729749796457
4.32669311014729,4.35298885478972,24,"frequentflushing",1,"1,9,4,8,3,7,2,10",-0.604084814356842
21.5205102448821,23.1006588598083,1,"section5",1,"1,9,4,8,3,7,2,10",-6.84027509568336
21.5815466788987,23.5568758909784,1,"section5",2,"1,9,4,8,3,7,2,10",-8.38536154463604
21.4730457331083,22.656088982581,1,"section5",3,"1,9,4,8,3,7,2,10",-5.22174524641998
22.8321435686069,23.1006588598083,2,"section5",1,"1,9,4,8,3,7,2,10",-1.16237070479671
23.5024001323151,23.5568758909784,2,"section5",2,"1,9,4,8,3,7,2,10",-0.231252051059183
21.4730457331083,22.656088982581,2,"section5",3,"1,9,4,8,3,7,2,10",-5.22174524641998
23.1229438593041,23.1006588598083,3,"section5",1,"1,9,4,8,3,7,2,10",0.0964691077905533
23.5024001323151,23.5568758909784,3,"section5",2,"1,9,4,8,3,7,2,10",-0.231252051059183
23.4880623961744,22.656088982581,3,"section5",3,"1,9,4,8,3,7,2,10",3.67218461329781
23.1229438593041,23.1006588598083,4,"section5",1,"1,9,4,8,3,7,2,10",0.0964691077905533
23.9764913038785,23.5568758909784,4,"section5",2,"1,9,4,8,3,7,2,10",1.78128634222137
21.5097337668886,22.656088982581,4,"section5",3,"1,9,4,8,3,7,2,10",-5.05981070507697
21.1478823668862,23.1006588598083,5,"section5",1,"1,9,4,8,3,7,2,10",-8.45333678477757
