"source","source.key"
"Chambers et al. (1997)","1"
"Hansen (2004)","2"
"Hansen and Birkmose (2005)","3"
"Hol (1992)","4"
"Misselbrook et al. (2005)","5"
"Mulder and Huijsmans et al. (1994)","6"
"Mulder (1992a)","7"
"Mulder (1992b)","8"
"de Bode (1990)","9"
"Cassity-Duffey et al. (2014)","10"
"Marshall et al. (1998)","11"
"Balsari et al. (2008b)","12"
"Balsari et al. (2008a)","13"
"Balsdon et al. (2001)","14"
"Dinuccio et al. (2011)","15"
"Dinuccio et al. (2012)","16"
"Li et al. (2014)","17"
"Webb et al. (2001)","18"
"Webb et al. (2014)","19"
"Williams et al. (2003)","20"
"Sagoo et al. (2006)","21"
"Doydora et al. (2011)","22"
"Lau et al. (2008)","23"
"Pote et al. (2014)","24"
"Sharpe et al. (2004)","25"
NA,NA
