"animal","DM.n","VS.n","DM.mn","VS.mn","DM.sd","VS.sd"
"Afgasset",15,15,8.5,64,3.4,14
"Kvæg",8,5,7.5,75,1.7,5.9
"Slagtesvin",7,5,4.2,64,2.7,10
"So-/smågrise",7,7,2.7,62,2.5,14
