"man.source","app.mthd.nm","Marts","April","Maj","Sommer","Efterår"
"Afgasset biomasse","Slæbeslange",34,39,44,48,46
"Afgasset biomasse","Slæbeslange + markforsuring",13,16,19,24,21
"Afgasset biomasse","Nedfældning i græs",17,19,21,23,22
"Afgasset biomasse","Nedfældning på sort jord",34,39,44,48,46
"Afgasset biomasse","Slæbeslange + Nedbringning inden 4 timer",34,39,44,48,46
"Kvæggylle","Slæbeslange",19,23,28,35,31
"Kvæggylle","Slæbeslange + markforsuring",13,15,19,25,21
"Kvæggylle","Nedfældning i græs",9.6,11,13,15,14
"Kvæggylle","Nedfældning på sort jord",19,23,28,35,31
"Kvæggylle","Slæbeslange + Nedbringning inden 4 timer",19,23,28,35,31
"Svinegylle","Slæbeslange",20,23,26,29,27
"Svinegylle","Slæbeslange + markforsuring",12,14,16,19,17
"Svinegylle","Nedfældning i græs",10,11,13,14,13
"Svinegylle","Nedfældning på sort jord",20,23,26,29,27
"Svinegylle","Slæbeslange + Nedbringning inden 4 timer",20,23,26,29,27
