"man.source","app.mthd.nm","Marts","April","Maj","Sommer","Efterår"
"Afgasset biomasse","Slæbeslange",25,29,33,38,35
"Afgasset biomasse","Slæbeslange + markforsuring",10,12,14,17,16
"Afgasset biomasse","Nedfældning i græs",17,19,22,25,23
"Afgasset biomasse","Nedfældning på sort jord",25,29,33,38,35
"Afgasset biomasse","Slæbeslange + Nedbringning inden 4 timer",12,15,18,22,20
"Kvæggylle","Slæbeslange",14,17,21,26,23
"Kvæggylle","Slæbeslange + markforsuring",9.9,12,15,18,16
"Kvæggylle","Nedfældning i græs",9.8,12,14,17,15
"Kvæggylle","Nedfældning på sort jord",14,17,21,26,23
"Kvæggylle","Slæbeslange + Nedbringning inden 4 timer",6.4,7.8,9.8,13,11
"Svinegylle","Slæbeslange",15,18,21,25,22
"Svinegylle","Slæbeslange + markforsuring",9.3,11,13,16,14
"Svinegylle","Nedfældning i græs",10,12,14,16,15
"Svinegylle","Nedfældning på sort jord",15,18,21,25,22
"Svinegylle","Slæbeslange + Nedbringning inden 4 timer",6.8,8.2,10,13,11
