"app.timing","app.mthd","man.source","acid","incorp","t.incorp","air.temp","wind.2m","rain.rate","app.rate.ni","man.dm","man.ph","ct","tan.app","id","EF","EFp","id.report","EFp.report","different"
"April","Closed slot injection","Afgasset biomasse",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,0,5.9,7.9,168,100,57,0.027,2.7,"076-2010",2.6,"Yes"
"April","Closed slot injection","Kvæggylle",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,0,6.5,7,168,100,37,0.016,1.6,"002-2010",1.6,"No"
"April","Closed slot injection","Svinegylle",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,0,3.9,7.2,168,100,17,0.018,1.8,"039-2010",1.8,"No"
"April","Open slot injection","Afgasset biomasse",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,0,5.9,7.9,168,100,52,0.18,18,"078-2010",17,"Yes"
"April","Open slot injection","Kvæggylle",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,0,6.5,7,168,100,32,0.13,13,"004-2010",14,"Yes"
"April","Open slot injection","Svinegylle",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,0,3.9,7.2,168,100,12,0.098,9.8,"041-2010",9.8,"No"
"April","Trailing hose","Afgasset biomasse",FALSE,"Deep",4,8.23645983645984,3.84445591865745,0.0552119412831931,30,5.9,7.9,168,100,47,0.13,13,"090-2010",13,"No"
"April","Trailing hose","Afgasset biomasse",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,30,5.9,7.9,168,100,42,0.33,33,"092-2010",29,"Yes"
"April","Trailing hose","Afgasset biomasse",TRUE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,30,5.9,6.52,168,100,72,0.19,19,NA,NA,NA
"April","Trailing hose","Kvæggylle",FALSE,"Deep",4,8.23645983645984,3.84445591865745,0.0552119412831931,30,6.5,7,168,100,27,0.045,4.5,"016-2010",4.7,"Yes"
"April","Trailing hose","Kvæggylle",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,30,6.5,7,168,100,22,0.26,26,"018-2010",27,"Yes"
"April","Trailing hose","Kvæggylle",TRUE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,30,6.5,6.47,168,100,67,0.19,19,"187-2010",18,"Yes"
"April","Trailing hose","Kvæggylle",TRUE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,30,6.5,6.47,168,100,67,0.19,19,"200-2010",18,"Yes"
"April","Trailing hose","Svinegylle",FALSE,"Deep",4,8.23645983645984,3.84445591865745,0.0552119412831931,30,3.9,7.2,168,100,7,0.033,3.3,"053-2010",3.5,"Yes"
"April","Trailing hose","Svinegylle",FALSE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,30,3.9,7.2,168,100,2,0.15,15,"055-2010",15,"No"
"April","Trailing hose","Svinegylle",TRUE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,30,3.9,6.47,168,100,62,0.11,11,"233-2010",10,"Yes"
"April","Trailing hose","Svinegylle",TRUE,"None",NA,8.23645983645984,3.84445591865745,0.0552119412831931,30,3.9,6.47,168,100,62,0.11,11,"220-2010",10,"Yes"
"Efterår","Closed slot injection","Afgasset biomasse",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,0,5.9,7.9,168,100,60,0.027,2.7,"082-2010",2.6,"Yes"
"Efterår","Closed slot injection","Kvæggylle",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,0,6.5,7,168,100,40,0.016,1.6,"008-2010",1.6,"No"
"Efterår","Closed slot injection","Svinegylle",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,0,3.9,7.2,168,100,20,0.018,1.8,"045-2010",1.8,"No"
"Efterår","Open slot injection","Afgasset biomasse",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,0,5.9,7.9,168,100,55,0.19,19,"081-2010",17,"Yes"
"Efterår","Open slot injection","Kvæggylle",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,0,6.5,7,168,100,35,0.15,15,"007-2010",15,"No"
"Efterår","Open slot injection","Svinegylle",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,0,3.9,7.2,168,100,15,0.1,10,"044-2010",10,"No"
"Efterår","Trailing hose","Afgasset biomasse",FALSE,"Deep",4,14.4977479635841,3.32276959833633,0.128260170445409,30,5.9,7.9,168,100,50,0.21,21,"103-2010",19,"Yes"
"Efterår","Trailing hose","Afgasset biomasse",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,30,5.9,7.9,168,100,45,0.35,35,"099-2010",30,"Yes"
"Efterår","Trailing hose","Afgasset biomasse",TRUE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,30,5.9,6.52,168,100,75,0.24,24,NA,NA,NA
"Efterår","Trailing hose","Kvæggylle",FALSE,"Deep",4,14.4977479635841,3.32276959833633,0.128260170445409,30,6.5,7,168,100,30,0.088,8.8,"029-2010",9.2,"Yes"
"Efterår","Trailing hose","Kvæggylle",FALSE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,30,6.5,7,168,100,25,0.31,31,"025-2010",32,"Yes"
"Efterår","Trailing hose","Kvæggylle",TRUE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,30,6.5,6.47,168,100,70,0.25,25,"194-2010",25,"No"
"Efterår","Trailing hose","Kvæggylle",TRUE,"None",NA,14.4977479635841,3.32276959833633,0.128260170445409,30,6.5,6.47,168,100,70,0.25,25,"202-2010",25,"No"
