"app.timing","app.mthd","man.source","acid","incorp","t.incorp","app.timing.dk","app.mthd.wthr","air.temp","wind.2m","rain.rate","notes","app.rate.ni","man.name","man.dm","man.ph","man.source.pig","app.mthd.os","app.mthd.cs","incorp.deep","incorp.shallow","ct","tan.app","id","EF","EFp","id.report","EFp.report","diff","flag","flag.acid"
"Autumn","Open slot injection","Digestate",FALSE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",0,"Afgasset biomasse",5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,69,0.17,17,"081-2010",17,0,FALSE,FALSE
"Autumn","Open slot injection","Pig",FALSE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",0,"Svinegylle",3.9,7.2,TRUE,TRUE,FALSE,FALSE,FALSE,168,100,19,0.1,10,"044-2010",10,0,FALSE,FALSE
"Autumn","Trailing hose","Cattle",FALSE,"Deep",4,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,40,0.092,9.2,"029-2010",9.2,0,FALSE,FALSE
"Autumn","Trailing hose","Cattle",FALSE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,30,0.32,32,"025-2010",32,0,FALSE,FALSE
"Autumn","Trailing hose","Cattle",FALSE,"Shallow",4,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,35,0.15,15,"259-2010",15,0,FALSE,FALSE
"Autumn","Trailing hose","Cattle",TRUE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Kvæggylle",6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,85,0.26,26,"128-2010",19,7,FALSE,TRUE
"Autumn","Trailing hose","Cattle",TRUE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Kvæggylle",6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,85,0.26,26,"136-2010",19,7,FALSE,TRUE
"Autumn","Trailing hose","Digestate",FALSE,"Deep",4,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,65,0.19,19,"103-2010",19,0,FALSE,FALSE
"Autumn","Trailing hose","Digestate",FALSE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,55,0.3,30,"099-2010",30,0,FALSE,FALSE
"Autumn","Trailing hose","Digestate",FALSE,"Shallow",4,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,60,0.21,21,"299-2010",21,0,FALSE,FALSE
"Autumn","Trailing hose","Digestate",TRUE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Afgasset biomasse",5.1,6.52,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,90,0.21,21,NA,NA,NA,FALSE,NA
"Autumn","Trailing hose","Pig",FALSE,"Deep",4,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,15,0.058,5.8,"066-2010",5.8,0,FALSE,FALSE
"Autumn","Trailing hose","Pig",FALSE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,5,0.15,15,"062-2010",15,0,FALSE,FALSE
"Autumn","Trailing hose","Pig",FALSE,"Shallow",4,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Svinegylle",3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,10,0.081,8.1,"279-2010",8.1,0,FALSE,FALSE
"Autumn","Trailing hose","Pig",TRUE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Svinegylle",3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,80,0.12,12,"169-2010",9.9,2.1,FALSE,TRUE
"Autumn","Trailing hose","Pig",TRUE,"None",NA,"Efterår","All",14.6,3.45,0.09,"9 (September)",30,"Svinegylle",3.9,6.47,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,80,0.12,12,"161-2010",9.9,2.1,FALSE,TRUE
"March","Closed slot injection","Cattle",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,0,"Kvæggylle",6.5,7,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,46,0.016,1.6,"001-2010",1.6,0,FALSE,FALSE
"March","Closed slot injection","Digestate",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,0,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,71,0.026,2.6,"075-2010",2.6,0,FALSE,FALSE
"March","Closed slot injection","Pig",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,0,"Svinegylle",3.9,7.2,TRUE,FALSE,TRUE,FALSE,FALSE,168,100,21,0.018,1.8,"038-2010",1.8,0,FALSE,FALSE
"March","Open slot injection","Cattle",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,0,"Kvæggylle",6.5,7,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,41,0.12,12,"003-2010",12,0,FALSE,FALSE
"March","Open slot injection","Digestate",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,0,"Afgasset biomasse",5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,66,0.16,16,"077-2010",16,0,FALSE,FALSE
"March","Open slot injection","Pig",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,0,"Svinegylle",3.9,7.2,TRUE,TRUE,FALSE,FALSE,FALSE,168,100,16,0.097,9.7,"040-2010",9.7,0,FALSE,FALSE
"March","Trailing hose","Cattle",FALSE,"Deep",4,"Marts","All",4.9,4.025,0.09,NA,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,36,0.031,3.1,"012-2010",3.1,0,FALSE,FALSE
"March","Trailing hose","Cattle",FALSE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,26,0.22,22,"017-2010",22,0,FALSE,FALSE
"March","Trailing hose","Cattle",FALSE,"Shallow",4,"Marts","All",4.9,4.025,0.09,NA,30,"Kvæggylle",6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,31,0.081,8.1,"247-2010",8.1,0,FALSE,FALSE
"March","Trailing hose","Cattle",TRUE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,30,"Kvæggylle",6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,81,0.15,15,"133-2010",9.6,5.4,FALSE,TRUE
"March","Trailing hose","Cattle",TRUE,"None",NA,"Marts","All",4.9,4.025,0.09,NA,30,"Kvæggylle",6.5,6.47,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,81,0.15,15,"120-2010",9.6,5.4,FALSE,TRUE
"March","Trailing hose","Digestate",FALSE,"Deep",4,"Marts","All",4.9,4.025,0.09,NA,30,"Afgasset biomasse",5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,61,0.087,8.7,"086-2010",8.7,0,FALSE,FALSE
