"man.source","app.mthd.dk","app.mthd","app.rate.ni","app.timing.dk","app.timing","air.temp","wind.2m","rain.rate","man.ph","man.dm","id","ct","tan.app","EF","EFp","man.dm.dk","man.ph.c","man.ph.dk"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,8.3,3.9,1,168,100,0.2625,26.3,"Tørstof 3,9%","8.3","pH 8,3"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,8.3,3.9,2,168,100,0.2557,25.6,"Tørstof 3,9%","8.3","pH 8,3"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,8.3,3.9,3,168,100,0.2652,26.5,"Tørstof 3,9%","8.3","pH 8,3"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,8.3,3.9,4,168,100,0.2629,26.3,"Tørstof 3,9%","8.3","pH 8,3"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,8.1,3.9,5,168,100,0.2493,24.9,"Tørstof 3,9%","8.1","pH 8,1"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,8.1,3.9,6,168,100,0.2403,24,"Tørstof 3,9%","8.1","pH 8,1"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,8.1,3.9,7,168,100,0.2529,25.3,"Tørstof 3,9%","8.1","pH 8,1"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,8.1,3.9,8,168,100,0.2499,25,"Tørstof 3,9%","8.1","pH 8,1"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.9,3.9,9,168,100,0.2366,23.7,"Tørstof 3,9%","7.9","pH 7,9"
"Afgasset biomasse","Slæbesko","ts",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.9,3.9,10,168,100,0.2249,22.5,"Tørstof 3,9%","7.9","pH 7,9"
"Afgasset biomasse","Slæbeslange","bsth",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.9,3.9,11,168,100,0.2415,24.2,"Tørstof 3,9%","7.9","pH 7,9"
"Afgasset biomasse","Slæbesko","ts",30,"Sommer","Summer",16.8762259816193,3.15624012423227,0.105925308296069,7.9,3.9,12,168,100,0.2374,23.7,"Tørstof 3,9%","7.9","pH 7,9"
"Afgasset biomasse","Slæbeslange","bsth",30,"April","April",8.23645983645984,3.84445591865745,0.0552119412831931,7.7,3.9,13,168,100,0.2243,22.4,"Tørstof 3,9%","7.7","pH 7,7"
