"man.ph.dk","Tørstof 3,9%
April
Slæbesko","Tørstof 3,9%
April
Slæbeslange","Tørstof 3,9%
Sommer
Slæbesko","Tørstof 3,9%
Sommer
Slæbeslange","Tørstof 3,7%
April
Slæbesko","Tørstof 3,7%
April
Slæbeslange","Tørstof 3,7%
Sommer
Slæbesko","Tørstof 3,7%
Sommer
Slæbeslange","Tørstof 3,5%
April
Slæbesko","Tørstof 3,5%
April
Slæbeslange","Tørstof 3,5%
Sommer
Slæbesko","Tørstof 3,5%
Sommer
Slæbeslange","Tørstof 3,3%
April
Slæbesko","Tørstof 3,3%
April
Slæbeslange","Tørstof 3,3%
Sommer
Slæbesko","Tørstof 3,3%
Sommer
Slæbeslange","Tørstof 3,1%
April
Slæbesko","Tørstof 3,1%
April
Slæbeslange","Tørstof 3,1%
Sommer
Slæbesko","Tørstof 3,1%
Sommer
Slæbeslange"
"pH 8,3",25.6,26.3,26.3,26.5,24.9,25.5,25.5,25.7,24.2,24.7,24.8,25,23.6,24,24.1,24.2,23,23.4,23.4,23.6
"pH 8,1",24,24.9,25,25.3,23.4,24.2,24.2,24.5,22.7,23.4,23.5,23.7,22.1,22.7,22.8,23,21.5,22.1,22.1,22.3
"pH 7,9",22.5,23.7,23.7,24.2,21.9,22.9,23,23.3,21.3,22.2,22.2,22.6,20.7,21.5,21.5,21.8,20.1,20.8,20.9,21.1
"pH 7,7",20.9,22.4,22.5,23.1,20.4,21.7,21.8,22.3,19.8,21,21.1,21.5,19.3,20.3,20.4,20.8,18.7,19.7,19.7,20.1
"pH 7,5",19.3,21.2,21.3,22.1,18.8,20.5,20.6,21.3,18.3,19.8,19.9,20.5,17.8,19.2,19.3,19.8,17.4,18.6,18.6,19.1
"pH 7,3",17.7,20,20.2,21.1,17.2,19.3,19.5,20.3,16.8,18.7,18.8,19.6,16.4,18,18.2,18.8,16,17.5,17.6,18.2
"pH 7,1",16,18.7,18.9,20.2,15.6,18.1,18.3,19.4,15.3,17.5,17.7,18.7,14.9,16.9,17.1,17.9,14.6,16.4,16.5,17.3
"pH 6,9",14.3,17.4,17.7,19.3,14,16.8,17.1,18.5,13.7,16.3,16.5,17.8,13.4,15.8,16,17.1,13.1,15.3,15.4,16.4
