"manure.source","efN.n","efTAN.n","efN.min","efTAN.min","efN.max","efTAN.max","efN.lwr","efN.mean","efN.upr","efN.mean.ut","efTAN.lwr","efTAN.mean","efTAN.upr","efTAN.mean.ut"
"cattle",7,7,0.04,0.3,0.207,0.813,0.0584,0.108,0.17,0.114,0.38,0.552,0.718,0.548
"pig",2,2,0.05,0.272,0.18,0.81,0.725,0.106,0.988,0.115,0.118,0.549,0.937,0.541
"poultry",5,5,0.0385,0.22,0.277,0.54,0.0183,0.0988,0.233,0.112,0.229,0.365,0.514,0.368
