"incorp.depth","incorp.red.TAN.n","incorp.red.N.n","incorp.red.TAN.min","incorp.red.N.min","incorp.red.TAN.max","incorp.red.N.max","incorp.red.TAN.lwr","incorp.red.TAN.mean","incorp.red.TAN.upr","incorp.red.N.lwr","incorp.red.N.mean","incorp.red.N.upr"
"deep",4,3,52.9,55.6,90.6,90.6,46.2,72.9,99.6,30.7,76.1,121
"shallow",3,3,18.8,-48,90.6,90.6,-51.6,45.7,143,-149,23.5,196
