manure.source,manure.source.det,DM,totN,TAN
cattle,"Dairy cow, Holstein",30.0,10.1,2.01
cattle,"Bull calves",30.0,9.85,1.97
poultry,"Broiler 35 days",48.0,24.9,7.46
pig,"Finishing pig",33.0,10.5,2.63
