"slurry.source","pH.raw.mean","pH.liquid.mean","pH.solid.mean","dpH.liquid.mean","dpH.liquid.sd","dpH.liquid.n"
"cattle",7.19,7.39,8.6,0.233,0.233,17
"digestate",7.15,7.95,NA,0.8,0.566,2
"pig",7.72,7.89,8.18,0.172,0.14,4
