"doy","temp.mean","rad.mean"
1,4.09,13.31
2,2.21,23.38
3,1.63,17.48
4,2.82,21.64
5,2.122,19.16
6,0.74,20.06
7,2.19,20.25
8,2.47,16.78
9,2.77,17.25
10,2.51,13.31
11,2.6,17.59
12,2.49,17.59
13,1.59,18.52
14,0.87,24.54
15,1.14,19.79
16,1.46,17.94
17,0.52,21.09
18,0.57,19.44
19,0.71,16.44
20,-0.4,26.85
21,-0.31,31.71
22,-0.77,21.06
23,-1.15,28.59
24,-0.39,24.31
25,-0.96,28.12
26,-1,28.7
27,1.03,27.78
28,1.14,35.3
29,0.95,23.03
30,0.52,37.15
31,0.55,30.56
32,0.48,24.07
33,0.51,32.41
34,-0.17,40.05
35,-0.13,39.81
36,0.37,42.48
37,0.4,36.81
38,0.9,29.05
39,0.88,39.35
40,0.98,45.72
41,0.2667,49.64
42,0.27,46.41
43,0.02,45.83
44,0.14,43.63
45,0.65,55.56
46,1.43,48.87
47,1.37,52.55
48,2.07,51.97
49,2.44,51.16
50,2.12,41.55
51,2.21,50.93
52,1.99,52.2
53,1.87,65.51
54,1.43,70.25
55,1.88,84.75
56,1.97,74.42
57,2.89,79.63
58,1.9,54.63
59,2.18,72.22
60,2.03,69.33
61,1.92,61.69
62,2.49,83.45
63,2.06,84.38
64,2.88,73.38
65,2.69,81.83
66,2.57,68.75
67,2.43,98.73
68,3.18,87.15
69,3.47,90.16
70,2.92,95.6
71,3.4,104.1
72,3.55,95.6
73,3.74,89.35
74,3.65,103.5
75,3.71,97.45
76,3.96,121.2
77,4.19,106
78,3.72,105.7
79,4.51,105.6
80,4.7,90.74
81,4.6,136.5
82,4.68,134
83,4.61,149.2
84,4.85,126.7
85,4.97,140
86,4.6,122.3
87,5.69,123.5
88,5.47,104.9
89,5.51,133.4
90,5.59,135.4
91,4.86,149
92,5.7,178.2
93,6.06,161.6
94,5.95,156.1
95,6.06,124.1
96,6.78,159.3
97,7.57,142.2
98,7.45,158.8
99,6.81,196.1
100,6.39,170.5
101,6.95,160.4
102,6.41,158.1
103,6.51,131.9
104,6.94,129.6
105,7.71,200.3
106,7.52,204.6
107,8,206.2
108,8.16,214.5
109,8.31,200.7
110,9.66,230.6
111,9.51,209.3
112,9.15,224.9
113,9.01,211
114,8.64,198.8
115,8.89,206.4
116,8.72,162.7
117,8.75,200.8
118,9.11,214.7
119,9.4,208.9
120,9.4,189.8
121,8.19,206.8
122,8.16,273.6
123,8.04,234.7
124,9.533,208.1
125,9.22,217.5
126,10.35,251.6
127,11.05,236.5
128,10.65,211.9
129,11.66,203.6
130,11.65,188.4
131,11.67,218.6
132,11.21,201
133,10.45,196.5
134,10.95,237.2
135,11.46,233.3
136,11.07,163.1
137,11.93,228.1
138,12.6,199.1
139,13.05,211.9
140,13.64,251.3
141,14.27,227.2
142,14.47,213.2
143,14.42,273
144,13.14,246.9
145,13.08,238.9
146,13.75,249.8
147,13.8,236.2
148,13.14,232.3
149,12.99,235.9
150,13.98,232.3
151,14.33,230.4
152,14.32,278.7
153,15.03,282.6
154,15.45,288.3
155,15.1,312
156,15.68,297.9
157,16.32,275.2
158,14.46,241.6
159,14.95,235.6
160,15.24,243.6
161,15.02,232.1
162,14.65,194
163,14.21,236.7
164,14.59,225.1
165,14.06,242.8
166,13.63,223.8
167,14.44,236.7
168,14.92,277.9
169,15.29,236.6
170,14.72,221.2
171,14.54,251.7
172,14.08,232.3
173,14.53,266.3
174,14.96,246.4
175,15.17,241.1
176,15.73,238.5
177,15.3,201.7
178,15.23,267.4
179,15.95,267.8
180,16.38,251.7
181,15.73,222.2
182,15.86,244.2
183,16.27,245.8
184,17.2,237.6
185,16.76,235.5
186,17.29,256.6
187,16.21,264.9
188,16.87,253.1
189,17.04,223.7
190,17.11,280.9
191,17.23,275.5
192,17.36,240.7
193,17.28,228.8
194,16.21,213.4
195,15.96,206.8
196,16.17,226
197,16.83,249.9
198,16.88,229.6
199,17.15,249.9
200,17.35,235.5
201,18.27,236.8
202,18.76,253.1
203,18.16,198.7
204,18.24,240.9
205,18.84,258.7
206,19.5,221.1
207,19.69,259.5
208,19.31,238.3
209,18.56,214.2
210,18.5,220.3
211,18.46,185.6
212,17.95,203.2
213,17.52,190.7
214,18.74,244.7
215,19.08,211
216,18.55,203
217,17.78,181.9
218,18.55,236.3
219,18.21,213.2
220,17.48,164.1
221,17.12,220.1
222,16.95,213
223,15.78,164.8
224,15.06,156.9
225,15.91,183.1
226,16.29,175.5
227,16.95,177.2
228,17.12,178.9
229,16.53,128.8
230,16.56,160
231,16.84,194.9
232,16.97,196.5
233,17.3,190
234,17.24,181.5
235,16.66,195.7
236,16.28,178.2
237,16.28,194.3
238,16.78,184.9
239,16.87,166.7
240,16.33,207.9
241,16.8,151.7
242,16.06,120
243,15.87,133
244,15.32,142.7
245,14.48,162.9
246,15.46,170.7
247,15.25,154.3
248,15.01,151.7
249,15.33,165.3
250,14.97,156
251,14.51,134
252,14.25,129.2
253,14.96,124.4
254,15.75,128.2
255,15.21,116.1
256,14.61,139.4
257,14.69,120.8
258,14.09,124.5
259,13.49,131.1
260,13.9,123.7
261,13.7,146.1
262,13.26,126.6
263,13.3,86.34
264,13.07,104.1
265,12.74,117
266,12.78,126.7
267,13.02,101.3
268,12.16,108.6
269,13.61,89.58
270,13.06,101.3
271,12.04,108
272,12.13,112.5
273,12.48,96.99
274,11.76,110.1
275,11.79,94.44
276,11.99,99.54
277,11.83,70.72
278,11.43,78.36
279,11,79.86
280,10.37,69.56
281,10.22,83.68
282,10.54,89.12
283,10.13,82.52
284,10.92,67.01
285,10.47,75.12
286,10.33,71.41
287,10.62,69.1
288,10.79,64.81
289,10.31,63.54
290,10.48,56.6
291,9.86,52.43
292,10.21,50.12
293,10.19,54.05
294,10.3,50
295,10.6,51.31
296,10.15,44.68
297,9.52,36.34
298,9.47,51.74
299,9.611,48.23
300,9,49.13
301,9.322,53.24
302,7.9,52.34
303,7.522,50.28
304,8.35,44.44
305,9.29,35.76
306,9.23,24.31
307,8.33,39.35
308,7.45,30.32
309,8.23,31.37
310,6.79,27.31
311,6.48,40.28
312,6.64,34.38
313,6.61,28.12
314,6.51,23.26
315,6.36,40.28
316,6.84,30.79
317,5.82,40.51
318,6.13,24.07
319,6.789,23.79
320,6.97,17.94
321,5.48,29.4
322,5.82,19.1
