"doy","temp.mean","rad.mean"
323,5.52,17.25
324,4.08,23.61
325,4.32,21.53
326,5.478,12.47
327,5.17,19.56
328,5.211,15.3
329,3.5,25
330,3.23,27.08
331,4.722,20.96
332,4.989,23.53
333,2.79,18.98
334,2.5,23.61
335,3.41,22.57
336,2.98,20.25
337,3.24,16.67
338,3.056,23.15
339,3.744,17.49
340,3.63,18.52
341,3.34,18.78
342,3.6,17.13
343,3.94,21.06
344,4.233,15.82
345,3.95,11.46
346,2.58,15.16
347,1.59,17.94
348,2.444,12.6
349,2.4,14.58
350,2.57,11.57
351,2.62,16.32
352,3.51,13.31
353,4.08,16.09
354,3.55,13.25
355,3.44,16.32
356,3.3,11.23
357,4.79,9.954
358,4.46,15.05
359,4.23,13.19
360,3.41,11.69
361,3.93,14.58
362,2.97,17.13
363,2.18,18.63
364,3.27,16.09
365,4.09,17.59
366,7.2,4.63
