"","Var1","Var2","Var3","Freq"
"1","6019","1985","temp",0
"2","6031","1985","temp",0
"3","6069","1985","temp",0
"4","6109","1985","temp",0
"5","6116","1985","temp",365
"6","6126","1985","temp",0
"7","6135","1985","temp",0
"8","6019","1987","temp",365
"9","6031","1987","temp",365
"10","6069","1987","temp",0
"11","6109","1987","temp",365
"12","6116","1987","temp",365
"13","6126","1987","temp",365
"14","6135","1987","temp",365
"15","6019","1988","temp",366
"16","6031","1988","temp",366
"17","6069","1988","temp",0
"18","6109","1988","temp",366
"19","6116","1988","temp",366
"20","6126","1988","temp",366
"21","6135","1988","temp",366
"22","6019","1989","temp",365
"23","6031","1989","temp",365
"24","6069","1989","temp",0
"25","6109","1989","temp",365
"26","6116","1989","temp",365
"27","6126","1989","temp",365
"28","6135","1989","temp",365
"29","6019","1990","temp",365
"30","6031","1990","temp",365
"31","6069","1990","temp",0
"32","6109","1990","temp",365
"33","6116","1990","temp",365
"34","6126","1990","temp",365
"35","6135","1990","temp",365
"36","6019","1991","temp",365
"37","6031","1991","temp",365
"38","6069","1991","temp",0
"39","6109","1991","temp",365
"40","6116","1991","temp",365
"41","6126","1991","temp",365
"42","6135","1991","temp",365
"43","6019","1992","temp",366
"44","6031","1992","temp",366
"45","6069","1992","temp",0
"46","6109","1992","temp",366
"47","6116","1992","temp",366
"48","6126","1992","temp",366
"49","6135","1992","temp",366
"50","6019","1993","temp",365
"51","6031","1993","temp",365
"52","6069","1993","temp",0
"53","6109","1993","temp",365
"54","6116","1993","temp",365
"55","6126","1993","temp",365
"56","6135","1993","temp",365
"57","6019","1994","temp",365
"58","6031","1994","temp",365
"59","6069","1994","temp",0
"60","6109","1994","temp",365
"61","6116","1994","temp",365
"62","6126","1994","temp",365
"63","6135","1994","temp",365
"64","6019","1995","temp",365
"65","6031","1995","temp",365
"66","6069","1995","temp",0
"67","6109","1995","temp",365
"68","6116","1995","temp",365
"69","6126","1995","temp",365
"70","6135","1995","temp",365
"71","6019","1996","temp",366
"72","6031","1996","temp",366
"73","6069","1996","temp",0
"74","6109","1996","temp",366
"75","6116","1996","temp",366
"76","6126","1996","temp",366
"77","6135","1996","temp",366
"78","6019","1997","temp",365
"79","6031","1997","temp",365
"80","6069","1997","temp",0
"81","6109","1997","temp",365
"82","6116","1997","temp",365
"83","6126","1997","temp",365
"84","6135","1997","temp",365
"85","6019","1998","temp",365
"86","6031","1998","temp",365
"87","6069","1998","temp",0
"88","6109","1998","temp",365
"89","6116","1998","temp",365
"90","6126","1998","temp",365
"91","6135","1998","temp",365
"92","6019","1999","temp",365
"93","6031","1999","temp",365
"94","6069","1999","temp",59
"95","6109","1999","temp",365
"96","6116","1999","temp",365
"97","6126","1999","temp",365
"98","6135","1999","temp",365
"99","6019","2000","temp",366
"100","6031","2000","temp",366
"101","6069","2000","temp",366
"102","6109","2000","temp",366
"103","6116","2000","temp",366
"104","6126","2000","temp",366
"105","6135","2000","temp",366
"106","6019","2001","temp",365
"107","6031","2001","temp",365
"108","6069","2001","temp",365
"109","6109","2001","temp",365
"110","6116","2001","temp",365
"111","6126","2001","temp",365
"112","6135","2001","temp",365
"113","6019","2002","temp",365
"114","6031","2002","temp",365
"115","6069","2002","temp",365
"116","6109","2002","temp",365
"117","6116","2002","temp",365
"118","6126","2002","temp",365
"119","6135","2002","temp",365
"120","6019","2003","temp",365
"121","6031","2003","temp",358
"122","6069","2003","temp",365
"123","6109","2003","temp",365
"124","6116","2003","temp",365
"125","6126","2003","temp",365
"126","6135","2003","temp",365
"127","6019","2004","temp",366
"128","6031","2004","temp",362
"129","6069","2004","temp",366
"130","6109","2004","temp",366
"131","6116","2004","temp",366
"132","6126","2004","temp",366
"133","6135","2004","temp",366
"134","6019","2005","temp",365
"135","6031","2005","temp",365
"136","6069","2005","temp",365
"137","6109","2005","temp",365
"138","6116","2005","temp",365
"139","6126","2005","temp",365
"140","6135","2005","temp",365
"141","6019","2006","temp",365
"142","6031","2006","temp",365
"143","6069","2006","temp",365
"144","6109","2006","temp",365
"145","6116","2006","temp",365
"146","6126","2006","temp",365
"147","6135","2006","temp",365
"148","6019","2007","temp",365
"149","6031","2007","temp",365
"150","6069","2007","temp",365
"151","6109","2007","temp",365
"152","6116","2007","temp",365
"153","6126","2007","temp",365
"154","6135","2007","temp",365
"155","6019","2008","temp",366
"156","6031","2008","temp",366
"157","6069","2008","temp",366
