"station","doy","temp.mean","wind.2m.mean","rain.rate.mean","rad.mean","temp.n","wind.2m.n","rain.rate.n","rad.n"
"6069",1,3.18,3.68931809304792,0.12125,14.2361111111111,10,10,10,10
"6069",2,1.65,3.24445229388621,0.0520833333333333,20.0231481481481,10,10,10,10
"6069",3,0.91,3.98845199248423,0.0991666666666667,14.9305555555556,10,10,10,10
"6069",4,2.41,4.20321479207954,0.0916666666666667,18.287037037037,10,10,10,10
"6069",5,1.27,2.47744229533155,0.075,13.0787037037037,10,10,10,10
"6069",6,0.32,2.8302668946667,0.0370833333333333,15.9722222222222,10,10,10,10
"6069",7,1.61,2.73822569484014,0.065,16.087962962963,10,10,10,10
"6069",8,1.85,2.98366889437763,0.0795833333333333,11.9212962962963,10,10,10,10
"6069",9,1.65,3.62795729316354,0.22125,13.7731481481481,10,10,10,10
"6069",10,2.03,4.01146229244087,0.117083333333333,10.7638888888889,10,10,10,10
"6069",11,2.05,3.81203969281666,0.0829166666666667,18.5185185185185,10,10,10,10
"6069",12,1.84,3.75834899291784,0.04375,13.1944444444444,10,10,10,10
"6069",13,0.82,3.22144199392957,0.0541666666666667,15.0462962962963,10,10,10,10
"6069",14,0.07,3.25979249385731,0.0425,16.2037037037037,10,10,10,10
"6069",15,0.09,3.07571009420419,0.0879166666666667,18.1712962962963,10,10,10,10
"6069",16,0.71,3.25212239387176,0.09,16.6666666666667,10,10,10,10
"6069",17,-0.99,2.17063829590969,0.0554166666666667,20.2546296296296,10,10,10,10
"6069",18,0.08,2.40074129547609,0.0266666666666667,15.0462962962963,10,10,10,10
"6069",19,-0.13,2.56948349515811,0.0325,24.7685185185185,10,10,10,10
"6069",20,-1.03,2.42375159543273,0.03,24.1898148148148,10,10,10,10
"6069",21,-0.84,2.31637019563507,0.0204166666666667,26.6203703703704,10,10,10,10
"6069",22,-0.84,2.8302668946667,0.03,18.1712962962963,10,10,10,10
"6069",23,-1.26666666666667,2.88907099455589,0.0393518518518518,20.5761316872428,10,10,10,10
"6069",24,-0.86,2.93764829446435,0.0412037037037037,28.8194444444444,10,10,10,10
"6069",25,-0.73,3.12173069411747,0.00708333333333333,26.6203703703704,10,10,10,10
"6069",26,-1.3,3.51290579338034,0.0445833333333333,21.1805555555556,10,10,10,10
"6069",27,0.54,4.08049319231079,0.0679166666666667,25.6944444444444,10,10,10,10
"6069",28,1.24,3.70465829301901,0.0870833333333333,25.5787037037037,10,10,10,10
"6069",29,0.81,3.56659649327917,0.0666666666666667,22.5694444444444,10,10,10,10
"6069",30,0.0199999999999999,3.06036989423309,0.0295833333333333,37.7314814814815,10,10,10,10
"6069",31,-0.1,3.29047289379949,0.0491666666666667,21.875,10,10,10,10
"6069",32,-0.0800000000000001,3.21377189394403,0.0679166666666667,22.2222222222222,10,10,10,10
"6069",33,0.14,3.16775129403075,0.0395833333333333,26.8518518518519,10,10,10,10
"6069",34,-0.82,2.90696789452216,0.035,38.3101851851852,10,10,10,10
"6069",35,-1.15,3.18309149400184,0.0795833333333333,31.9444444444444,10,10,10,10
"6069",36,-0.07,3.30581309377059,0.0633333333333333,34.7222222222222,10,10,10,10
"6069",37,0.15,2.89929779453662,0.0366666666666667,33.2175925925926,10,10,10,10
"6069",38,0.26,3.5052356933948,0.07,27.8935185185185,10,10,10,10
"6069",39,0.3,3.87340049270103,0.08625,32.4074074074074,10,10,10,10
"6069",40,0.47,3.26746259384285,0.06625,40.162037037037,10,10,10,10
"6069",41,0.0400000000000001,2.75356589481123,0.0125,32.5231481481482,10,10,10,10
"6069",42,-0.18,3.16775129403075,0.0291666666666667,45.6018518518518,10,10,10,10
"6069",43,-0.28,2.79191639473896,0.0179166666666667,47.5694444444444,10,10,10,10
"6069",44,-0.43,2.75356589481123,0.0525,45.0231481481481,10,10,10,10
"6069",45,-0.07,3.41319449356824,0.0104166666666667,43.6342592592593,10,10,10,10
"6069",46,0.66,4.05748289235415,0.0395833333333333,48.7268518518519,10,10,10,10
"6069",47,1.33,3.23678219390067,0.0266666666666667,35.7638888888889,10,10,10,10
"6069",48,1.88,2.75356589481123,0.02375,48.0324074074074,10,10,10,10
"6069",49,1.99,3.28280279381395,0.02125,26.3888888888889,10,10,10,10
"6069",50,1.65,3.09105029417528,0.07375,42.3611111111111,10,10,10,10
"6069",51,1.43,3.35183369368387,0.135833333333333,45.0231481481481,10,10,10,10
"6069",52,0.98,2.76890609478232,0.0779166666666667,40.8564814814815,10,10,10,10
"6069",53,1.28,3.53591609333698,0.06125,45.6018518518519,10,10,10,10
"6069",54,1.07,3.47455529345261,0.0554166666666667,59.375,10,10,10,10
"6069",55,1.28,3.81970979280221,0.0229166666666667,69.212962962963,10,10,10,10
"6069",56,1.43,3.17542139401629,0.03625,58.7962962962963,10,10,10,10
"6069",57,2.27,2.10160739603977,0.03625,75.5787037037037,10,10,10,10
"6069",58,1.86,2.50812269527374,0.0825,54.5138888888889,10,10,10,10
"6069",59,2,2.88395759456552,0.025,68.0555555555556,10,10,10,10
"6069",60,1.42,2.33171039560617,0.0604166666666667,68.9814814814815,10,10,10,10
"6069",61,1.48,3.09872039416083,0.0408333333333333,61.5740740740741,10,10,10,10
"6069",62,2.22,2.83793699465224,0.05625,79.1666666666667,10,10,10,10
"6069",63,1.54,2.74589579482568,0.0504166666666667,82.0601851851852,10,10,10,10
"6069",64,1.81,2.82259679468115,0.08125,63.4259259259259,10,10,10,10
"6069",65,1.65,2.7152153948835,0.0604166666666667,58.5648148148148,10,10,10,10
