"doy","temp.mean","rad.mean"
1,1.974,13.49
2,1.413,16.51
3,1.033,15.54
4,0.9952,17.97
5,1.014,15.76
6,1.383,14.16
7,2.11,14.94
8,2.418,14.78
9,2.228,15.07
10,2.192,14.67
11,2.465,15.54
12,2.656,17.03
13,2.17,17.81
14,1.977,17.88
15,1.978,16.68
16,2.116,17.45
17,1.684,20.46
18,1.915,16.66
19,1.839,17.73
20,1.839,18.31
21,1.535,22.22
22,0.7012,24.71
23,0.5617,21.8
24,0.8767,23.81
25,0.7835,24.78
26,0.8809,25.77
27,1.179,28.17
28,1.326,26.54
29,0.7794,29.48
30,1.043,34.21
31,1.356,28.46
32,1.23,29.25
33,1.346,30.1
34,1.258,33.14
35,1.498,31.1
36,1.699,35.91
37,1.846,32.12
38,1.964,31.53
39,1.598,35.6
40,1.178,40.96
41,1.08,37.43
42,0.7721,39.11
43,0.8671,37.68
44,0.8002,48.49
45,0.5964,53.43
46,1.31,42.55
47,1.4,40.26
48,1.465,51.76
49,1.982,43.86
50,1.987,46.35
51,1.974,50.4
52,1.925,52.3
53,1.956,52.5
54,1.689,59.65
55,1.908,62.92
56,2.12,64.73
57,2.218,60.19
58,1.682,59.02
59,2.087,59.7
60,1.731,60.86
61,1.677,63.73
62,1.737,71.64
63,1.78,77.25
64,1.775,72.26
65,2.12,71.85
66,2.528,71.04
67,2.558,80.08
68,2.891,82.82
69,2.911,82.54
70,3.4,84.59
71,3.192,86.74
72,2.955,77.98
73,3.189,84.38
74,3.328,90.21
75,3.593,94.15
76,3.774,100.2
77,3.926,99.38
78,3.419,99.93
79,3.33,118.3
80,3.495,106.9
81,3.648,113.3
82,3.653,115.9
83,3.64,126.5
84,3.714,126.6
85,4.105,123.5
86,4.225,126.8
87,4.445,126.2
88,4.762,123.2
89,5.169,133.8
90,5.684,129.1
91,5.462,138.3
92,5.619,143.3
93,5.449,141.3
94,5.444,142.1
95,5.243,123.7
96,5.503,139.9
97,6.02,135.1
98,5.819,144.7
99,5.579,165.1
100,5.644,146.9
101,6.301,159.8
102,6.244,147.5
103,6.498,152.9
104,6.586,157.1
105,6.692,167.5
106,6.959,176.8
107,6.938,177.8
108,6.969,181.8
109,7.046,189.9
110,7.579,195.7
111,7.962,200
112,8.557,201.5
113,8.825,190.1
114,9.001,193.9
115,9.044,190.7
116,8.838,170.8
117,8.5,170.9
118,8.899,170.5
119,9.376,191.3
120,9.295,175.2
121,9.295,202.8
122,9.529,213.6
123,9.286,204.2
124,9.514,198.3
125,9.497,193.9
126,9.739,220.9
127,10.14,216
128,10.54,218
129,11.22,214.8
130,11.49,220.4
131,11.25,217.6
132,10.68,202.3
133,10.45,207.4
134,10.51,226.3
135,10.67,227.9
136,10.93,194.5
137,11.21,218.2
138,11.39,207
139,11.48,214.3
140,11.69,223.8
141,11.86,220.7
142,12.11,221.9
143,12.04,225
144,12.13,221.8
145,12.37,222.7
146,12.33,228.1
147,12.35,231.4
148,12.65,228.1
149,12.51,232.8
150,12.91,235
151,13.18,238.5
152,13.32,257.2
153,13.53,241.8
154,14.11,238.4
155,13.87,250.3
156,13.82,234
157,14.17,251
158,14,234.5
159,14.25,237.7
160,14.33,235.3
161,14.39,239.1
162,14.44,223.4
163,13.99,230.9
164,13.78,230.5
165,13.48,233.7
166,13.37,233.2
167,13.6,229.1
168,14.07,244.7
169,14.48,237.9
170,14.53,220.5
171,14.44,217.5
172,14.24,216
173,14.16,241
174,14.24,232.8
175,14.21,228
176,14.94,234
177,15.13,224.1
178,15.28,231.8
179,15.44,237.9
180,15.24,219.8
181,15.28,218.4
182,15.33,227.4
183,15.72,228.9
184,16.09,223.2
185,16.3,235.7
186,16.35,224.3
187,16.19,225.5
188,16.29,244
189,16.16,226.2
190,16.19,235.6
191,16.15,247.2
192,16.06,212.1
193,16.27,224.3
194,15.83,212.6
195,16.01,220.1
196,16.18,216.7
197,16.11,238.9
198,16.15,224
199,16.2,212.1
200,16.42,216.4
201,16.88,223
202,17.02,221.3
203,16.78,198.2
204,16.89,211.3
205,17.34,212.9
206,17.65,216.5
207,17.79,225.3
208,17.51,213.9
209,17.45,199.8
210,17.42,210
211,17.43,188.4
212,17.15,196
213,16.99,209.6
214,17.49,194.8
215,17.3,199.1
216,17.09,203
217,16.98,194.3
218,17.28,210.1
219,17.47,207.5
220,17.29,182
221,17.05,191.1
222,17.13,198
223,16.84,167.4
224,16.56,172.4
225,16.32,179.1
226,16.4,177.9
227,16.92,170.1
228,16.81,169.3
229,16.31,167.2
230,16.3,176.3
231,16.64,173.6
232,16.98,173.3
233,16.82,170.3
234,16.68,171.3
235,16.2,176.9
236,16,168.7
237,15.81,147.4
238,15.67,157.4
239,15.44,151.6
240,15.17,162.9
241,15.16,139.9
242,14.88,146.5
243,14.82,146.2
244,14.82,151
245,14.61,142.7
246,14.63,147.4
247,14.5,139.7
248,14.42,147.7
249,14.58,141.6
250,14.37,134
251,14.64,135.2
252,14.51,127.9
253,14.43,128.8
254,14.46,126.6
255,14.08,121.9
256,13.64,121.7
257,13.67,111.2
258,13.27,114.7
259,12.95,119.7
260,12.95,111
261,12.81,116.7
262,12.73,113.9
263,12.65,110.4
264,12.76,100.5
265,12.98,107
266,12.5,111.3
267,12.63,97.26
268,12.34,100.3
269,12.31,86.51
270,11.97,89.39
271,11.87,91.96
272,11.85,80.2
273,11.69,86.38
274,11.16,93.43
275,10.99,88.88
276,11.19,78.53
277,11.19,76.87
278,10.92,78.58
279,10.73,74.11
280,10.32,73.78
281,10.39,71.53
282,10.43,69.24
283,10.11,74.99
284,10.07,72.73
285,9.801,75.32
286,9.429,70.23
287,9.636,64.97
288,9.245,68.2
289,9.102,57.04
290,8.854,53.3
291,8.486,56.81
292,8.72,52.45
293,8.516,55.54
294,8.444,45.37
295,8.97,47.28
296,8.706,50.1
297,8.201,45.32
298,8.717,47.63
299,8.617,47.49
300,8.32,40.43
301,8.622,45.22
302,7.967,43.19
303,7.465,45.03
304,7.635,37.61
305,7.728,35.39
306,7.649,35.95
307,7.481,33.38
308,6.81,35.4
309,6.629,30.59
310,6.689,28.68
311,6.788,33.03
312,6.456,29.94
313,5.706,30.37
314,5.548,25.67
315,5.96,27.92
316,6.024,26.9
317,5.633,26.57
318,5.827,24.94
319,6.015,26.75
320,6.052,24.1
321,5.2,25.43
322,5.002,21.42
323,4.638,22
324,3.619,23.19
325,3.567,22.84
326,3.825,20.34
327,4.263,18.02
328,4.224,18.89
329,4.024,19.01
330,4.139,19.08
331,4.43,17.21
332,4.206,20.53
333,3.65,15.12
334,3.159,17.07
335,2.806,17.91
336,2.73,16.18
337,3.435,13.36
338,3.374,15.7
339,3.779,14.14
340,4.124,14.16
341,3.531,14.82
342,3.274,14.5
343,3.382,15.53
344,3.447,13.92
345,3.373,12.95
346,2.642,13.56
347,2.472,13.71
348,2.61,14.41
349,2.316,13.51
350,1.954,13.29
351,2.31,13.24
352,2.768,13.14
353,2.981,12.58
354,2.481,15.81
355,2.08,16.19
356,1.866,14.38
357,2.921,11.65
358,2.753,13.21
359,2.622,12.99
360,2.238,14.34
361,2.164,13.31
362,1.935,13.57
363,1.704,13.05
364,1.973,14.38
365,1.695,15.72
366,1.874,14.34
