"doy","temp.mean","rad.mean"
163,13.35,217.4
164,13.39,220.5
165,13.13,236.5
166,13.06,215.5
167,13.24,223.4
168,13.97,225.5
169,14.57,219
170,14.56,207.5
171,13.62,214.2
172,13.13,223.1
173,13.5,228.8
174,13.9,206.8
175,13.96,207.9
176,14.62,228.2
177,14.41,209.6
178,14.88,243.5
179,15.38,238.7
180,15.42,228.4
181,14.93,210.5
182,15.49,252.7
183,15.4,222.7
184,16.12,217.8
185,15.85,229.5
186,16.01,230.6
187,15.36,253.2
188,15.88,222.2
189,15.59,196.1
190,16.45,256.7
191,16.58,265.6
192,16.72,202.5
193,16.28,200.1
194,14.8,183.7
195,14.95,172
196,15.45,180
197,15.91,243.5
198,15.94,213.3
199,15.81,224.3
200,16.21,215.4
201,17.27,223.8
202,17.56,229.3
203,17.29,174.3
204,17.7,221.9
205,17.97,222.8
206,18.88,217.4
207,19.02,242.4
208,18.1,226
209,17.82,194.4
210,17.8,217.2
211,17.04,163.8
212,16.57,178.6
213,16.26,192
214,17.53,197.5
215,17.79,198.4
216,17.16,167.5
217,16.71,166.1
218,17.08,201.5
219,17.09,195.5
220,16.66,165.4
221,16.03,186.7
222,15.83,188.2
223,15.09,165.3
224,14.26,188.5
225,14.73,169.9
226,15.51,164.8
227,16.13,159.3
228,16.34,146.8
229,16.16,141.9
230,15.75,148.6
231,15.77,164.7
232,15.63,190.9
233,15.97,170.8
234,16.18,159
235,15.85,172
236,15.52,152.4
237,15.4,172.3
238,16.21,160.2
239,16.01,156.6
240,15.31,172.8
241,15.01,120
242,14.73,133.7
243,14.71,132.1
244,14.24,138.8
245,13.73,156.7
246,14.15,130.3
247,14.45,131.7
248,14.22,134.6
249,14.59,138.5
250,13.93,109.7
251,13.76,119.9
252,14.11,120.1
253,14.54,125
254,14.81,107.9
255,14.26,115.4
256,13.36,115.7
257,13.82,97.22
258,13.35,122.3
259,12.61,124.2
260,12.65,109.6
261,12.7,123.8
262,12.08,118.8
263,12.22,91.09
264,12.29,110.5
265,11.39,102.8
266,11.64,107
267,11.76,90.28
268,11.35,98.96
269,12.57,74.07
270,12.07,96.53
271,11.27,112.5
272,11.75,96.76
273,11.45,89.35
274,10.91,96.41
275,11.31,92.59
276,11.22,81.25
277,10.88,66.67
278,10.7,71.06
279,9.82,69.1
280,9.28,77.55
281,9.85,69.79
282,9.83,69.1
283,9.18,72.45
284,9.94,70.6
285,9.74,83.1
286,9.31,57.64
287,9.69,65.97
288,9.34,48.5
289,9.14,56.37
290,9.54,32.64
291,8.97,48.84
292,9.45,42.01
293,9.22,39.24
294,9.34,36.11
295,9.65,47.45
296,9.45,39.47
297,8.67,29.86
298,8.44,53.12
299,8.34,40.97
300,7.79,44.56
301,7.98,45.37
302,6.74,51.16
303,7.32,37.5
304,7.9,35.65
305,8.87,32.29
306,8.97,25
307,7.56,33.33
308,6.61,30.44
309,6.89,25.35
310,5.9,26.62
311,5.48,31.37
312,5.59,36.11
313,5.62,21.3
314,5.8,19.1
315,5.73,31.13
316,6.12,26.85
317,5.33,31.37
318,5.48,21.18
319,6.09,19.68
320,6.36,21.41
321,5.25,20.95
322,5.09,16.2
323,5,15.05
324,3.29,22.92
325,3,15.74
326,4.25,12.15
327,4.69,13.19
328,4.53,18.06
329,3.11,23.84
330,2.79,22.34
331,4.89,15.28
332,3.34,21.3
333,2.45,15.86
334,2.13,22.11
335,2.43,19.44
336,2.6,15.97
337,2.93,18.4
338,2.56,20.02
339,3.55,13.31
340,3.38,20.37
341,2.82,18.98
342,2.71,13.66
343,3.27,20.49
344,3.16,13.43
345,3.45,13.77
346,1.6,16.78
347,1.21,15.16
348,1.31,15.16
349,1.69,17.25
350,1.99,9.259
351,2.16,15.05
352,3.08,10.3
353,3.48,13.43
354,3.13,9.375
355,3.01,11.34
356,3.04,10.19
357,3.544,10.93
358,3.233,11.96
359,2.956,15.17
360,1.722,15.43
361,2.96,11.34
362,1.84,17.48
363,1.944,16.2
364,3.48,12.96
365,4.14,14.35
366,7.85,3.472
