station,date,temp,wv
601900,01/01/2014,4.2,5.3
601900,02/01/2014,5.2,6.8
601900,03/01/2014,6,6.5
601900,04/01/2014,6.1,6.4
601900,05/01/2014,4.4,4.6
601900,06/01/2014,5.6,7.8
601900,07/01/2014,7.9,8.6
601900,08/01/2014,7.7,8.6
601900,09/01/2014,5.4,5.5
601900,10/01/2014,6,6.5
601900,11/01/2014,5.6,7.4
601900,12/01/2014,3.5,8.1
601900,13/01/2014,-0.2,7.8
601900,14/01/2014,2.3,2.7
601900,15/01/2014,3.2,6.2
601900,16/01/2014,1.7,10.9
601900,17/01/2014,0.7,10.3
601900,18/01/2014,1,10.6
601900,19/01/2014,1.1,12.8
601900,20/01/2014,-0.3,10.7
601900,21/01/2014,-1.5,8.2
601900,22/01/2014,-0.9,9.7
601900,23/01/2014,-1.4,10.3
601900,24/01/2014,-2.1,10.2
601900,25/01/2014,-3.2,9.7
601900,26/01/2014,-3.9,10.8
601900,27/01/2014,-2.8,11.1
601900,28/01/2014,-0.5,9
601900,29/01/2014,-2.1,9.2
601900,30/01/2014,-3.1,8.3
601900,31/01/2014,-2,7.4
601900,01/02/2014,0.1,7.6
601900,02/02/2014,2.8,7.1
601900,03/02/2014,1.7,4.5
601900,04/02/2014,1,5.6
601900,05/02/2014,1,4.9
601900,06/02/2014,3.5,6.3
601900,07/02/2014,3.9,7.3
601900,08/02/2014,4.1,6.9
601900,09/02/2014,4.5,8.7
601900,10/02/2014,4.2,6
601900,11/02/2014,2.3,3.9
601900,12/02/2014,2.8,6.6
601900,13/02/2014,3.4,7.9
601900,14/02/2014,3.8,6.4
601900,15/02/2014,5.4,12
601900,16/02/2014,5.2,11.3
601900,17/02/2014,4.6,7.2
601900,18/02/2014,4.8,4.6
601900,19/02/2014,4.6,2.2
601900,20/02/2014,4.2,4.6
601900,21/02/2014,5.8,5.8
601900,22/02/2014,5.8,8.5
601900,23/02/2014,6.5,10.6
601900,24/02/2014,7,7.7
601900,25/02/2014,5.1,4.4
601900,26/02/2014,6,4.3
601900,27/02/2014,5.6,5.7
601900,28/02/2014,4.4,3
601900,01/03/2014,4.1,1.8
601900,02/03/2014,3.7,6.2
601900,03/03/2014,3.9,6.6
601900,04/03/2014,4.2,3.4
601900,05/03/2014,3.4,1.7
601900,06/03/2014,6.4,7.2
601900,07/03/2014,7.2,10.9
601900,08/03/2014,5.7,7
601900,09/03/2014,8.2,8.3
601900,10/03/2014,5.8,4.1
601900,11/03/2014,5,2.6
601900,12/03/2014,4.7,4.7
601900,13/03/2014,5.6,6.1
601900,14/03/2014,5.9,9.5
601900,15/03/2014,5.8,12.8
601900,16/03/2014,7.4,12.9
601900,17/03/2014,7.2,12
601900,18/03/2014,7.1,7.4
601900,19/03/2014,7.4,9.8
601900,20/03/2014,9,11.2
601900,21/03/2014,6.7,8.6
601900,22/03/2014,5.7,6.8
601900,23/03/2014,4.8,5.1
601900,24/03/2014,5,2.3
601900,25/03/2014,5.3,5.4
601900,26/03/2014,4.5,10.7
601900,27/03/2014,4,4.8
601900,28/03/2014,6.5,4.1
601900,29/03/2014,6.5,3.8
601900,30/03/2014,5.5,2
601900,31/03/2014,4.8,3.2
601900,01/04/2014,5.2,4.6
601900,02/04/2014,5.2,5.4
601900,03/04/2014,5.6,4.2
601900,04/04/2014,5.4,6.5
601900,05/04/2014,5.1,5.5
601900,06/04/2014,8,5
601900,07/04/2014,9.7,5.1
601900,08/04/2014,8.1,7.7
601900,09/04/2014,7,8.1
601900,10/04/2014,5.6,2.4
601900,11/04/2014,7.2,3.8
601900,12/04/2014,6.2,7.3
601900,13/04/2014,7.3,10.5
601900,14/04/2014,6.6,8.2
601900,15/04/2014,5.9,4.6
601900,16/04/2014,5.8,4.9
601900,17/04/2014,6.6,7.7
601900,18/04/2014,7.2,6.6
601900,19/04/2014,8.3,2.9
601900,20/04/2014,10.3,4
601900,21/04/2014,12.1,4.9
601900,22/04/2014,12,4.8
601900,23/04/2014,10.6,4.7
601900,24/04/2014,7.5,6.2
601900,25/04/2014,10.5,5.2
601900,26/04/2014,11.4,4.6
601900,27/04/2014,12.6,4.1
601900,28/04/2014,13.6,2
601900,29/04/2014,11.1,3.7
601900,30/04/2014,8.6,4.2
601900,01/05/2014,6.2,5.6
601900,02/05/2014,7.1,2.7
601900,03/05/2014,6,6.9
601900,04/05/2014,6.7,4.1
601900,05/05/2014,7.2,3
601900,06/05/2014,10,4.3
601900,07/05/2014,9.9,3.1
601900,08/05/2014,9,3.7
601900,09/05/2014,8.1,2.9
601900,10/05/2014,9.3,2.5
601900,11/05/2014,9.7,1.8
601900,12/05/2014,9.2,3.1
601900,13/05/2014,8.6,5.8
601900,14/05/2014,9.3,4.3
601900,15/05/2014,9.3,3.1
601900,16/05/2014,10.1,4.1
601900,17/05/2014,11.9,3.6
