"app.timing","air.temp","wind.2m","rain.rate","scenario","man.source","fraction","red.dm","man.dm","man.ph","incorp","app.mthd","t.incorp","app.rate.ni","ct","tan.app","id","EF","EFp","fraction.nm","incorp.nm","frac.incorp.nm"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"low","Kv�ggylle","liquid","0.6",2.6,7.2,"none","Open slot injection",NA,30,168,100,38,0.09567,9.567,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"low","Kv�ggylle","liquid","0.6",2.6,7.2,"none","Open slot injection",NA,30,168,100,39,0.0961,9.61,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"low","Kv�ggylle","liquid","0.6",2.6,7.2,"none","Open slot injection",NA,30,168,100,40,0.09587,9.587,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"low","Afgasset biomasse","liquid","0.6",2.36,8.1,"none","Open slot injection",NA,30,168,100,41,0.1419,14.19,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"low","Afgasset biomasse","liquid","0.6",2.36,8.1,"none","Open slot injection",NA,30,168,100,42,0.1422,14.22,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"low","Afgasset biomasse","liquid","0.6",2.36,8.1,"none","Open slot injection",NA,30,168,100,43,0.1423,14.23,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"low","Afgasset biomasse","liquid","0.6",2.36,8.1,"none","Open slot injection",NA,30,168,100,44,0.1424,14.24,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"low","Afgasset biomasse","liquid","0.6",2.36,8.1,"none","Open slot injection",NA,30,168,100,45,0.1424,14.24,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"mid","Svinegylle","liquid","0.4",2.34,7.4,"none","Trailing hose",NA,30,168,100,46,0.1278,12.78,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"mid","Svinegylle","liquid","0.4",2.34,7.4,"none","Trailing hose",NA,30,168,100,47,0.1299,12.99,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"mid","Svinegylle","liquid","0.4",2.34,7.4,"none","Trailing hose",NA,30,168,100,48,0.1313,13.13,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"mid","Svinegylle","liquid","0.4",2.34,7.4,"none","Trailing hose",NA,30,168,100,49,0.1321,13.21,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"mid","Svinegylle","liquid","0.4",2.34,7.4,"none","Trailing hose",NA,30,168,100,50,0.1316,13.16,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"mid","Kv�ggylle","liquid","0.4",3.9,7.2,"none","Trailing hose",NA,30,168,100,51,0.1816,18.16,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"mid","Kv�ggylle","liquid","0.4",3.9,7.2,"none","Trailing hose",NA,30,168,100,52,0.1935,19.35,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"mid","Kv�ggylle","liquid","0.4",3.9,7.2,"none","Trailing hose",NA,30,168,100,53,0.2015,20.15,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"mid","Kv�ggylle","liquid","0.4",3.9,7.2,"none","Trailing hose",NA,30,168,100,54,0.2067,20.67,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"mid","Kv�ggylle","liquid","0.4",3.9,7.2,"none","Trailing hose",NA,30,168,100,55,0.2039,20.39,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"mid","Afgasset biomasse","liquid","0.4",3.54,8.1,"none","Trailing hose",NA,30,168,100,56,0.2326,23.26,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"mid","Afgasset biomasse","liquid","0.4",3.54,8.1,"none","Trailing hose",NA,30,168,100,57,0.2357,23.57,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"mid","Afgasset biomasse","liquid","0.4",3.54,8.1,"none","Trailing hose",NA,30,168,100,58,0.2375,23.75,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"mid","Afgasset biomasse","liquid","0.4",3.54,8.1,"none","Trailing hose",NA,30,168,100,59,0.2386,23.86,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"mid","Afgasset biomasse","liquid","0.4",3.54,8.1,"none","Trailing hose",NA,30,168,100,60,0.238,23.8,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"high","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,61,0.139,13.9,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"high","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,62,0.1426,14.26,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"high","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,63,0.1448,14.48,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"high","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,64,0.1462,14.62,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"high","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,65,0.1454,14.54,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"high","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,66,0.2178,21.78,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"high","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,67,0.2407,24.07,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"high","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,68,0.2572,25.72,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"high","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,69,0.2684,26.84,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"high","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,70,0.2623,26.23,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"high","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,71,0.2787,27.87,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"high","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,72,0.2851,28.51,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"high","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,73,0.2889,28.89,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"high","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,74,0.2912,29.12,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"high","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,75,0.29,29,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"high2","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,76,0.139,13.9,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"high2","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,77,0.1426,14.26,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"high2","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,78,0.1448,14.48,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"high2","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,79,0.1462,14.62,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"high2","Svinegylle","liquid","0.2",3.12,7.4,"none","Trailing hose",NA,30,168,100,80,0.1454,14.54,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"high2","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,81,0.2178,21.78,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"high2","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,82,0.2407,24.07,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"high2","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,83,0.2572,25.72,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"high2","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,84,0.2684,26.84,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"high2","Kv�ggylle","liquid","0.2",5.2,7.2,"none","Trailing hose",NA,30,168,100,85,0.2623,26.23,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"high2","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,86,0.2787,27.87,"Væske","Ingen","Væske"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"high2","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,87,0.2851,28.51,"Væske","Ingen","Væske"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"high2","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,88,0.2889,28.89,"Væske","Ingen","Væske"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"high2","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,89,0.2912,29.12,"Væske","Ingen","Væske"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"high2","Afgasset biomasse","liquid","0.2",4.72,8.1,"none","Trailing hose",NA,30,168,100,90,0.29,29,"Væske","Ingen","Væske"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"low","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,91,0.05475,5.475,"Fiber","Nedpløjning","Fiber med nedpløjning"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"low","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,92,0.08025,8.025,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"low","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,93,0.123,12.3,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"low","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,94,0.1991,19.91,"Fiber","Nedpløjning","Fiber med nedpløjning"
NA,14.4977479635841,3.32276959833633,0.128260170445409,"low","Svinegylle","solid",NA,15,7.2,"deep","Broadcast",4,30,168,100,95,0.1528,15.28,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"low","Kv�ggylle","solid",NA,15,7,"deep","Broadcast",4,30,168,100,96,0.04495,4.495,"Fiber","Nedpløjning","Fiber med nedpløjning"
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"low","Kv�ggylle","solid",NA,15,7,"deep","Broadcast",4,30,168,100,97,0.06561,6.561,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"low","Kv�ggylle","solid",NA,15,7,"deep","Broadcast",4,30,168,100,98,0.1005,10.05,"Fiber","Nedpløjning","Fiber med nedpløjning"
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"low","Kv�ggylle","solid",NA,15,7,"deep","Broadcast",4,30,168,100,99,0.1632,16.32,"Fiber","Nedpløjning","Fiber med nedpløjning"
