station,date,temp,wv
613500,01/01/2014,2.7,4
613500,02/01/2014,3.6,4.9
613500,03/01/2014,5.7,5.8
613500,04/01/2014,5.3,5.9
613500,05/01/2014,4.9,4.9
613500,06/01/2014,4.9,7.3
613500,07/01/2014,7.7,7.1
613500,08/01/2014,7.3,6
613500,09/01/2014,6.4,7.9
613500,10/01/2014,5.8,7.4
613500,11/01/2014,5.2,7
613500,12/01/2014,3.4,7.1
613500,13/01/2014,0.3,4.1
613500,14/01/2014,3.3,2.3
613500,15/01/2014,2.8,3.4
613500,16/01/2014,1.5,7.6
613500,17/01/2014,1.2,7.3
613500,18/01/2014,2.2,9.7
613500,19/01/2014,1.7,12.7
613500,20/01/2014,1.1,11.3
613500,21/01/2014,0.1,7.9
613500,22/01/2014,-0.1,7.5
613500,23/01/2014,-2.1,6.7
613500,24/01/2014,-3.1,7.4
613500,25/01/2014,-5.7,6.6
613500,26/01/2014,-6.8,6.8
613500,27/01/2014,-4.2,7
613500,28/01/2014,-1.6,6.8
613500,29/01/2014,-4.4,6.2
613500,30/01/2014,-4,6
613500,31/01/2014,-3,4.6
613500,01/02/2014,0.3,5.2
613500,02/02/2014,1.6,3.2
613500,03/02/2014,0.3,3.6
613500,04/02/2014,0.6,3.3
613500,05/02/2014,0.7,3.9
613500,06/02/2014,2.9,4.6
613500,07/02/2014,4,6.4
613500,08/02/2014,3.5,6.8
613500,09/02/2014,4,7.8
613500,10/02/2014,3.6,4.6
613500,11/02/2014,1.8,3.4
613500,12/02/2014,3,5.1
613500,13/02/2014,3.6,6.5
613500,14/02/2014,2.9,4.1
613500,15/02/2014,6.1,8.6
613500,16/02/2014,4.9,9.4
613500,17/02/2014,3.7,5.4
613500,18/02/2014,3.7,3.7
613500,19/02/2014,4.3,2.9
613500,20/02/2014,5.5,4.9
613500,21/02/2014,5.7,5.3
613500,22/02/2014,4,6.6
613500,23/02/2014,5.2,6.7
613500,24/02/2014,5.7,5.4
613500,25/02/2014,5.3,4.3
613500,26/02/2014,6.4,2.5
613500,27/02/2014,4.8,2.4
613500,28/02/2014,4.6,3.1
613500,01/03/2014,3.4,2.2
613500,02/03/2014,3.3,4.2
613500,03/03/2014,3.3,6.4
613500,04/03/2014,3.4,3.8
613500,05/03/2014,3.9,2.1
613500,06/03/2014,3.6,4.2
613500,07/03/2014,5.9,6
613500,08/03/2014,5.1,4.1
613500,09/03/2014,7.7,5.3
613500,10/03/2014,8.5,4.1
613500,11/03/2014,5.6,2.2
613500,12/03/2014,4.7,1.2
613500,13/03/2014,5.6,2.2
613500,14/03/2014,5.9,6
613500,15/03/2014,6.7,10.4
613500,16/03/2014,8.1,10.2
613500,17/03/2014,8.6,8.3
613500,18/03/2014,7.1,6.3
613500,19/03/2014,7,6.7
613500,20/03/2014,9.9,7.9
613500,21/03/2014,7.3,5.7
613500,22/03/2014,5.7,5.1
613500,23/03/2014,5.3,4.5
613500,24/03/2014,3.5,1.6
613500,25/03/2014,3.7,4.1
613500,26/03/2014,3.7,4.6
613500,27/03/2014,3.4,3.3
613500,28/03/2014,6.5,4.6
613500,29/03/2014,6.1,3.9
613500,30/03/2014,7.7,1.8
613500,31/03/2014,5.3,1.8
613500,01/04/2014,4.4,4.6
613500,02/04/2014,5.4,6.4
613500,03/04/2014,5.2,4.1
613500,04/04/2014,3.7,8
613500,05/04/2014,5.3,4.3
613500,06/04/2014,8.5,4
613500,07/04/2014,11.2,4.1
613500,08/04/2014,10,5.8
613500,09/04/2014,7.7,8.2
613500,10/04/2014,6.2,2.7
613500,11/04/2014,7.8,2.6
613500,12/04/2014,6.1,3.3
613500,13/04/2014,8.5,7.1
613500,14/04/2014,6.7,6.7
613500,15/04/2014,6.3,6.1
613500,16/04/2014,6.6,2.4
613500,17/04/2014,8.2,6.6
613500,18/04/2014,6.6,3.1
613500,19/04/2014,9.4,3
613500,20/04/2014,13.1,6.2
613500,21/04/2014,12.6,6.3
613500,22/04/2014,12.9,6
613500,23/04/2014,9.1,6.8
613500,24/04/2014,7.1,4.2
613500,25/04/2014,10.7,5.1
613500,26/04/2014,11.8,4.9
613500,27/04/2014,12.3,4.6
613500,28/04/2014,12.1,2.1
613500,29/04/2014,12,1.9
613500,30/04/2014,12.2,2.4
613500,01/05/2014,8.2,4
613500,02/05/2014,6.9,1.8
613500,03/05/2014,6.4,3.5
613500,04/05/2014,8.1,4.7
613500,05/05/2014,7.1,2.2
613500,06/05/2014,11,3.9
613500,07/05/2014,10.8,2.5
613500,08/05/2014,10.7,4.6
613500,09/05/2014,10.6,3.3
613500,10/05/2014,10.7,4.2
613500,11/05/2014,11,6.3
613500,12/05/2014,10.5,4.9
613500,13/05/2014,10,5.6
613500,14/05/2014,9.4,4.3
613500,15/05/2014,10.5,1.6
613500,16/05/2014,10.4,2.6
613500,17/05/2014,12.9,2.2
613500,18/05/2014,12.4,3
613500,19/05/2014,13,3.6
613500,20/05/2014,14.3,2.1
613500,21/05/2014,17.9,3.8
613500,22/05/2014,20,3.8
613500,23/05/2014,16.3,2.4
613500,24/05/2014,15,2.8
613500,25/05/2014,15.5,1.7
613500,26/05/2014,15.5,2.1
613500,27/05/2014,13.5,5.3
613500,28/05/2014,9.6,5.5
613500,29/05/2014,9.9,2.4
613500,30/05/2014,13.7,4.2
613500,31/05/2014,13,4.3
613500,01/06/2014,13.1,1.8
613500,02/06/2014,14.2,2
613500,03/06/2014,15.6,1.6
613500,04/06/2014,15,2.7
613500,05/06/2014,13.9,4.3
613500,06/06/2014,13.8,4.9
613500,07/06/2014,14.1,1.8
613500,08/06/2014,16.8,2.1
613500,09/06/2014,17.8,2.1
613500,10/06/2014,19,3
613500,11/06/2014,17.6,2.3
613500,12/06/2014,16.2,5
613500,13/06/2014,15,5.6
613500,14/06/2014,14.7,3.5
613500,15/06/2014,14.8,2.5
613500,16/06/2014,14.6,2.7
613500,17/06/2014,16,2.4
613500,18/06/2014,15.6,3.1
613500,19/06/2014,14,6.8
613500,20/06/2014,14.1,4.3
613500,21/06/2014,13.1,6.7
613500,22/06/2014,13.3,6.1
613500,23/06/2014,13.5,5.7
613500,24/06/2014,12.5,2.5
613500,25/06/2014,14.4,2
613500,26/06/2014,14.2,2.3
613500,27/06/2014,15.3,2.9
613500,28/06/2014,15.8,2.7
613500,29/06/2014,14.8,2
613500,30/06/2014,13.4,2.8
613500,01/07/2014,14,3.1
613500,02/07/2014,13.6,3.7
613500,03/07/2014,15.9,4.8
613500,04/07/2014,20.6,3.4
613500,05/07/2014,20.8,3.3
613500,06/07/2014,21,3.3
613500,07/07/2014,19.4,3.6
613500,08/07/2014,20.4,4.5
613500,09/07/2014,23.2,6.7
613500,10/07/2014,23,5
613500,11/07/2014,20.4,4.1
613500,12/07/2014,16.9,1.9
613500,13/07/2014,16,2.9
613500,14/07/2014,16.8,4.6
613500,15/07/2014,18.6,4.4
613500,16/07/2014,18,2.4
613500,17/07/2014,18.2,1.6
613500,18/07/2014,20.2,1.8
613500,19/07/2014,20.9,3.2
613500,20/07/2014,20.8,5.5
613500,21/07/2014,21.4,4.6
613500,22/07/2014,22,2.5
613500,23/07/2014,21.5,2.8
613500,24/07/2014,21.9,3
613500,25/07/2014,22.7,4.3
613500,26/07/2014,22.4,3.4
613500,27/07/2014,22.5,2.4
613500,28/07/2014,22.5,2.6
613500,29/07/2014,23.3,2.7
613500,30/07/2014,21,3.3
613500,31/07/2014,19.7,4.3
613500,01/08/2014,21.1,4
613500,02/08/2014,21.6,5.5
613500,03/08/2014,21,2.3
613500,04/08/2014,20.1,2.5
613500,05/08/2014,20.1,1.7
613500,06/08/2014,19.1,2.2
613500,07/08/2014,18.1,2.9
613500,08/08/2014,18.7,1.9
613500,09/08/2014,18.5,5.2
613500,10/08/2014,18.4,4.8
613500,11/08/2014,18.1,6.2
613500,12/08/2014,16.1,5.7
613500,13/08/2014,16.6,5
613500,14/08/2014,16.5,4.2
613500,15/08/2014,16.2,3.2
613500,16/08/2014,15.3,5.8
613500,17/08/2014,14.2,6.5
613500,18/08/2014,14.3,8.3
613500,19/08/2014,14.4,8
613500,20/08/2014,14.6,7.3
613500,21/08/2014,13.5,5.5
613500,22/08/2014,13.8,5.4
613500,23/08/2014,13.7,5.4
613500,24/08/2014,13.6,5.6
613500,25/08/2014,13,4.6
613500,26/08/2014,13.6,3.2
613500,27/08/2014,14.7,3.5
613500,28/08/2014,14.8,2
613500,29/08/2014,14.7,2.8
613500,30/08/2014,15.1,3.4
613500,31/08/2014,14.6,3.6
613500,01/09/2014,15.7,5.2
613500,02/09/2014,14.4,2.6
613500,03/09/2014,14.1,2.5
613500,04/09/2014,14.8,4
613500,05/09/2014,17,4
613500,06/09/2014,18.4,3.8
613500,07/09/2014,17.2,2.4
613500,08/09/2014,14.7,4.7
613500,09/09/2014,15.5,6.8
613500,10/09/2014,15,4.1
613500,11/09/2014,14.9,3.1
613500,12/09/2014,15.1,2.6
613500,13/09/2014,14.4,3.1
613500,14/09/2014,15.3,6
613500,15/09/2014,16.5,8.4
613500,16/09/2014,16.1,6.6
613500,17/09/2014,15.9,5.8
613500,18/09/2014,16.3,5.7
613500,19/09/2014,16.3,3.8
613500,20/09/2014,14.9,1.8
613500,21/09/2014,14.7,4.3
613500,22/09/2014,10.7,4.9
613500,23/09/2014,10.1,1.8
613500,24/09/2014,13.6,5.9
613500,25/09/2014,12.6,5.4
613500,26/09/2014,14.9,4.7
613500,27/09/2014,13.3,4.7
613500,28/09/2014,13.5,3.5
613500,29/09/2014,13.2,1
613500,30/09/2014,13.2,3.2
613500,01/10/2014,14.2,2.9
613500,02/10/2014,14.4,2
613500,03/10/2014,14.2,2.6
613500,04/10/2014,14.3,3.9
613500,05/10/2014,12.5,4.3
613500,06/10/2014,11.9,7
613500,07/10/2014,12.2,7.2
613500,08/10/2014,12.4,5.7
613500,09/10/2014,14.8,5.5
613500,10/10/2014,13.5,5.6
613500,11/10/2014,12.7,2.4
613500,12/10/2014,12.5,3.4
613500,13/10/2014,10.7,3.6
613500,14/10/2014,10.4,3.5
613500,15/10/2014,12.4,3
613500,16/10/2014,12.3,2.5
613500,17/10/2014,12.6,1.8
613500,18/10/2014,13.1,3.7
613500,19/10/2014,14.8,5.2
613500,20/10/2014,13.1,6.2
613500,21/10/2014,11.3,4.1
613500,22/10/2014,11,2.1
613500,23/10/2014,11.1,3.4
613500,24/10/2014,11.5,6.3
613500,25/10/2014,10.4,5.4
613500,26/10/2014,11.6,5.8
613500,27/10/2014,12.6,6.5
613500,28/10/2014,10.8,5.5
613500,29/10/2014,8.5,3.6
613500,30/10/2014,5.6,0.8
613500,31/10/2014,10,2.3
613500,01/11/2014,12.3,3.2
613500,02/11/2014,12.1,4
613500,03/11/2014,12.3,6.8
613500,04/11/2014,11.2,4.9
613500,05/11/2014,8.1,3.1
613500,06/11/2014,7.9,2
613500,07/11/2014,7.3,2.7
613500,08/11/2014,8.7,4.5
613500,09/11/2014,8.4,3.7
613500,10/11/2014,8.7,3.5
613500,11/11/2014,7.9,3.6
613500,12/11/2014,10.8,7.4
613500,13/11/2014,10.4,4.1
613500,14/11/2014,9.8,5.6
613500,15/11/2014,9.2,8.4
613500,16/11/2014,8.2,9.4
613500,17/11/2014,8.5,3.7
613500,18/11/2014,7.3,5.7
613500,19/11/2014,5.2,3.9
613500,20/11/2014,5,1.5
613500,21/11/2014,3.9,0.9
613500,22/11/2014,5.2,3
613500,23/11/2014,6.1,4.9
613500,24/11/2014,7.8,5.1
613500,25/11/2014,5.2,2.4
