station,date,rh,minte,maxte,temp,prec,wv,winddir,minrh,maxrh,vpd,glorad,soilt10,soilt30,surfwet,grasstemp,netrad,heatflux,pres,wv2,wd2,makkepot,tsum10,tsum5,tsum0,akkmve
603100,01/01/2014,88.4,3.2,4.8,4,0.1,5.6,145,85.2,92.5,0.09,0.6,3.5,3.9,680,3.5,null,null,null,null,null,0.1,0,0,4,0
603100,02/01/2014,92.5,3.7,5.8,4.8,2.5,7.1,140,87.2,95.9,0.06,0.3,3.7,3.9,962,4.4,null,null,null,null,null,0,0,0,8.8,0
603100,03/01/2014,92.4,4.6,7.3,5.9,2.2,6,164,89.5,96.4,0.07,0.7,4.2,4.2,836,5.3,null,null,null,null,null,0.1,0,0.9,14.7,0
603100,04/01/2014,88.7,4.3,7.2,5.9,2.5,5.8,180,85.1,93.1,0.11,1.4,4.3,4.3,418,5.2,null,null,null,null,null,0.2,0,1.8,20.6,0
603100,05/01/2014,91.2,1.5,5.9,4.8,2,4.4,161,85.4,95.2,0.08,0.5,null,null,null,null,null,null,null,null,null,0.1,0,1.8,25.4,0
603100,06/01/2014,93,1.6,9,5.5,7.9,6.4,165,88.9,95.3,0.07,0.6,null,null,null,null,null,null,null,null,null,0.1,0,2.3,30.9,0
603100,07/01/2014,88.5,6.9,9.3,8.4,4.1,7.4,208,84,92.9,0.13,1.1,4.9,4.3,251,7.7,null,null,null,null,null,0.2,0,5.7,39.3,0
603100,08/01/2014,90.6,6.9,8.1,7.6,1.3,7.4,230,88.1,94.2,0.1,0.7,5.5,5,734,7.1,null,null,null,null,null,0.1,0,8.3,46.9,0
603100,09/01/2014,93.8,2.9,7.2,5.5,17.3,5.5,190,91.2,96.4,0.06,0.2,5.3,5.2,1076,5,null,null,null,null,null,0,0,8.8,52.4,0
603100,10/01/2014,90.2,3,6.2,4.8,0.7,4.6,273,84.6,93.9,0.08,1.4,4.2,4.8,573,3.9,null,null,null,null,null,0.2,0,8.8,57.2,0
603100,11/01/2014,89.5,4.5,6.3,5.5,4.1,6,259,79.1,95.9,0.09,1,4.3,4.5,694,4.9,null,null,null,null,null,0.1,0,9.3,62.7,0
603100,12/01/2014,75,-4.4,6,2,0,5.5,340,56.2,85.8,0.19,2.5,3.3,4.1,0,1.1,null,null,null,null,null,0.3,0,9.3,64.7,0
603100,13/01/2014,85.8,-4.4,1.4,-1.3,3.6,6.5,108,69.4,100,0.07,0.7,1.8,3.1,240,-1.8,null,null,null,null,null,0.1,0,9.3,64.7,0
603100,14/01/2014,99.1,0.9,6.9,2,1.3,1.7,87,98.8,99.2,0.01,1.2,1.3,2.4,1440,0.9,null,null,null,null,null,0.1,0,9.3,66.7,0
603100,15/01/2014,90,2.1,3.2,2.8,0.1,5.4,125,84.5,99.2,0.07,0.9,1.1,2.1,581,2.1,null,null,null,null,null,0.1,0,9.3,69.5,0
603100,16/01/2014,92.4,0.4,3.1,1.5,6,10.6,114,82.2,97.8,0.05,0.3,1.5,2.2,442,0.9,null,null,null,null,null,0,0,9.3,71,0
603100,17/01/2014,99.7,-1,0.5,-0.5,13,12.3,103,96,100,0,1,1.4,2.1,0,-0.7,null,null,null,null,null,0.1,0,9.3,71,0
603100,18/01/2014,100,-1.2,0,-0.7,3.6,11.1,97,100,100,0,1.3,1.4,2,0,-0.8,null,null,null,null,null,0.1,0,9.3,71,0
603100,19/01/2014,83.6,-1.1,1,0,0,11.5,97,75.8,99.7,0.1,1,1.4,2,0,-0.8,null,null,null,null,null,0.1,0,9.3,71,0
603100,20/01/2014,76.3,-1.7,-0.7,-1.1,0,8.7,81,71,81.5,0.13,1.2,1.2,1.9,0,-1.8,null,null,null,null,null,0.1,0,9.3,71,0
603100,21/01/2014,84.8,-2.6,-1.4,-2,0.3,5.9,72,78.2,93,0.08,1,1.1,1.7,0,-2,null,null,null,null,null,0.1,0,9.3,71,0
603100,22/01/2014,75.3,-2.5,-1.2,-2,0,8.2,104,72,81.3,0.13,1.3,1,1.6,0,-2.3,null,null,null,null,null,0.1,0,9.3,71,0
603100,23/01/2014,75,-2,-0.3,-1.1,0,8,120,69.5,79.5,0.14,1.2,0.8,1.5,0,-2.2,null,null,null,null,null,0.1,0,9.3,71,0
603100,24/01/2014,70.4,-2.4,-0.8,-1.7,0,7.9,111,66,75,0.16,1.6,0.7,1.4,0,-3,null,null,null,null,null,0.2,0,9.3,71,0
603100,25/01/2014,74.5,-3.8,-1.9,-2.9,0,8.9,139,68.3,77.7,0.12,2.6,0.6,1.2,0,-3.9,null,null,null,null,null,0.3,0,9.3,71,0
