source,meas.meth,sep.meth,coagulant,slurry,DM.un,DM.sep,pH.un,pH.sep,TAN.un,TAN.sep,app.meth,app.amount.un,app.amount.sep,time,timeA,temp.app,temp.avg,soil.type,clay,crop,water.cont,emis.un,emis.sep,duration
Dinuccio et al. (2012),Schmidt WT,mechanical,yes,Pig,3.03,1.09,7.9,8.1,2.1,1.5,broadcast,23,39,summer,Summer,NA,7,loamy sand,3,grass,NA,11.4,8.79,96
Dinuccio et al. (2012),Schmidt WT,mechanical,yes,Pig,4.02,1.25,7.8,8.1,2.6,1.9,broadcast,19,37,winter,Winter,NA,28,loamy sand,3,grass,NA,28.0,23.8,96
Fangueiro et al. (2015),Laboratory,centrifugation,no,Cattle,11.3,2.1,7.2,7.2,1.3,1.2,trailing hoses,NA,NA,Laboratory,Laboratoryoratory,25,25,Haplic Cambisol,9,grass,NA,5.2,0.2,333
Monaco et al. (2012),Laboratory,centrifugation,no,Pig,2.8,1.3,8.3,8.5,2.9,2,surface applied,NA,NA,Laboratory,Laboratoryoratory,20,20,silty loam,NA,none,NA,26,13,50
Nyord et al. (2012),Lockyer WT,belt separator,no,Pig,4.7,1.9,8,7.9,2.9,2.7,trailing hoses,46,47,april,Spring,NA,6,loamy sand,NA,winter wheat,NA,24.5,6.4,120
Nyord et al. (2018),Leuning samplers,screw press,no,Cattle,7.1,3.5,6.7,7.4,1.9,1.8,trailing hoses,30,30,june,Summer,NA,14,NA,5,grass,NA,12.0,7.0,48
Nyord et al. (2018),Leuning samplers,screw press,no,Cattle,7.1,3,7,7.6,1.8,1.7,trailing hoses,30,30,october,Fall,NA,12,NA,5,grass,NA,20.5,15.0,48
Pedersen et al. (2021a),AU WT,screw press,no,Cattle,8.7,4.4,NA,NA,2,1.9,trailing hoses,35,35,august,Summer,18,17,silty clay,43,stubble,0.21,39.35,29.32,90
Pedersen et al. (2021a),AU WT,screw press,no,Cattle,8.5,4.3,NA,NA,1.9,1.9,trailing hoses,35,35,august,Summer,21,16,sandy loam,14,stubble,0.16,40.80,48.74,90
Pedersen et al. (2021b),Lockyer WT,decantation,no,Cattle,7.5,4.4,6.8,6.9,1.8,1.3,broadcast,60,60,may,Spring,22,18,silty loam,NA,grass,0.35,38.74,33.28,95
Pedersen et al. (2021b),Lockyer WT,decantation,no,Cattle,7.9,1.8,6.8,7.2,1.8,0.8,trailing hoses,60,60,may,Spring,17,14,silty loam,NA,grass,0.19,31.06,10.86,95
Pedersen et al. (2021b),Lockyer WT,decantation,no,Cattle,7.2,1.5,7,7.2,1.8,0.8,broadcast,60,60,june,Summer,20,16,silty loam,NA,grass,0.14,22.99,8.78,95
Pedersen et al. (2021b),Lockyer WT,decantation,no,Cattle,6.7,1.5,7.5,7.6,1.8,0.8,trailing hoses,60,60,june,Summer,19,16,silty loam,NA,grass,0.19,30.47,5.34,95
Sommer et al. (1991),Lockyer WT,mechanical,no,Cattle,6.9,4.1,7.4,7.5,1.7,2.2,surface applied,30,30,august,Summer,20,16,sandy loam,10,grass,NA,56.5,42.0,144
