station,date,rh,minte,maxte,temp,prec,wv,winddir,minrh,maxrh,vpd,glorad,soilt10,soilt30,surfwet,grasstemp,netrad,heatflux,pres,wv2,wd2,makkepot,tsum10,tsum5,tsum0,akkmve
601900,01/01/2014,91.1,3.1,5.5,4.2,1.2,5.3,150,85,98,0.07,0.9,5,5.5,304,4,null,null,null,null,null,0.1,0,0,4.2,0
601900,02/01/2014,95.8,3.7,6.8,5.2,7.1,6.8,145,88,99,0.04,0.4,5,5.4,1217,5,null,null,null,null,null,0.1,0,0.2,9.4,0
601900,03/01/2014,96.2,4.8,7.7,6,4.5,6.5,169,93,99,0.04,0.4,5.3,5.5,1440,5.7,null,null,null,null,null,0.1,0,1.2,15.4,0
601900,04/01/2014,89.8,5.3,7.3,6.1,2.8,6.4,187,84,94,0.1,1.3,5.4,5.6,1438,5.7,null,null,null,null,null,0.2,0,2.3,21.5,0
601900,05/01/2014,91.9,1.7,5.7,4.4,3,4.6,168,84.7,96.7,0.07,0.7,null,null,null,null,null,null,null,null,null,0.1,0,2.3,25.9,0
601900,06/01/2014,95.8,2,8.4,5.6,7.9,7.8,175,94.2,97.3,0.04,0.9,null,null,null,null,null,null,null,null,null,0.1,0,2.9,31.5,0
601900,07/01/2014,93.2,7,8.9,7.9,4.4,8.6,205,89.5,96.3,0.07,1.4,5.6,5.6,1232,7.6,null,null,null,null,null,0.2,0,5.8,39.4,0
601900,08/01/2014,92.6,7.2,8,7.7,0.9,8.6,229,90.2,95,0.08,1,6,5.9,608,7.4,null,null,null,null,null,0.1,0,8.5,47.1,0
601900,09/01/2014,96,3.6,7.4,5.4,17.7,5.5,183,91.7,99,0.04,0.3,5.9,6.1,1010,5.2,null,null,null,null,null,0,0,8.9,52.5,0
601900,10/01/2014,92.3,5.2,7.1,6,2.5,6.5,266,89.2,94.5,0.07,1.7,5.5,5.8,496,5.5,null,null,null,null,null,0.2,0,9.9,58.5,0
601900,11/01/2014,89.6,3.7,6.8,5.6,6.5,7.4,267,79.2,98,0.09,1.5,5.6,5.8,860,5.2,null,null,null,null,null,0.2,0,10.5,64.1,0
601900,12/01/2014,74,-1.1,6,3.5,0.3,8.1,304,65.8,83,0.21,2.4,4.9,5.6,33,2.7,null,null,null,null,null,0.3,0,10.5,67.6,0
601900,13/01/2014,87.2,-1.9,3.6,-0.2,0.5,7.8,116,71.5,100,0.07,0.6,3.4,4.7,341,-0.4,null,null,null,null,null,0.1,0,10.5,67.6,0
601900,14/01/2014,100,1.5,3.5,2.3,0.9,2.7,87,100,100,0,0.9,3.3,4.2,1429,1.9,null,null,null,null,null,0.1,0,10.5,69.9,0
601900,15/01/2014,96,2.9,3.6,3.2,3.4,6.2,116,90.7,100,0.03,0.5,3.8,4.3,1436,3,null,null,null,null,null,0.1,0,10.5,73.1,0
601900,16/01/2014,94.5,0.6,3.3,1.7,4.2,10.9,104,87.2,99,0.04,0.5,3.6,4.3,932,1.5,null,null,null,null,null,0.1,0,10.5,74.8,0
601900,17/01/2014,98.9,0.1,1.5,0.7,7,10.3,96,96,100,0.01,0.5,2.9,3.9,832,0.5,null,null,null,null,null,0.1,0,10.5,75.5,0
