station,date,rh,surfwet,minte,maxte,temp,prec08,wv,glorad,netrad,heatflux,soilt10,soilt30,minrh,maxrh,vpd,makkepot,tsum10,tsum5,tsum0,akkmve
6069,1999-11-03,85.7,55,5.6,11.3,8.8,null,3.7,4.8,-0.6,-0.4,9.2,9.8,null,null,null,0.7,0,3.8,8.8,0
6069,1999-11-04,89.3,3,6.1,12.2,10.1,null,4.4,1.9,-0.9,0,9.8,9.9,null,null,null,0.3,0.1,8.8,18.8,0
6069,1999-11-05,87.5,0,5,7.3,6,null,6.6,3.7,-1.3,-0.8,9,9.7,null,null,null,0.5,0.1,9.8,24.8,0
6069,1999-11-06,86.4,26,6.8,10.4,8.3,null,4.4,3.2,-0.5,-0.3,8.8,9.3,null,null,null,0.5,0.1,13.1,33.1,0
6069,1999-11-07,89.4,33,6.7,9.1,7.7,null,1.3,2,-0.1,-0.3,8.9,9.3,null,null,null,0.3,0.1,15.7,40.8,0
6069,1999-11-08,94.2,84,0.4,9.6,5.2,null,1,2.2,0.5,-0.8,8.4,9.1,null,null,null,0.3,0.1,15.9,45.9,0
6069,1999-11-09,89.1,81,3.5,10,6.4,null,2.9,4.5,-0.4,-0.7,7.9,8.7,null,null,null,0.6,0.1,17.3,52.3,0
6069,1999-11-10,89.6,96,-0.8,7.8,3.9,null,2.4,4.5,-0.6,-1.1,6.9,8.1,null,null,null,0.6,0.1,17.3,56.2,0
6069,1999-11-11,87.2,41,-0.9,9.1,3.4,null,2.1,3.6,-0.2,-1,6,7.3,null,null,null,0.5,0.1,17.3,59.6,0
6069,1999-11-12,96.1,94,2.1,8.8,6.6,null,3.7,2.1,1.3,-0.1,6.5,7.2,null,null,null,0.3,0.1,18.9,66.3,0
6069,1999-11-13,92.8,58,7.4,10.8,8.9,null,4.7,2.5,-0.8,0.1,7.9,7.9,null,null,null,0.4,0.1,22.9,75.2,0
6069,1999-11-14,70.4,16,-1.3,7.3,3,null,3,2.4,-4,-1.1,7.1,8,null,null,null,0.3,0.1,22.9,78.2,0
6069,1999-11-15,78.1,11,-4.5,4.1,0,null,2.6,5,-1.3,-1.6,5,6.8,null,null,null,0.6,0.1,22.9,78.2,0
6069,1999-11-16,81.7,9,0.7,4.3,2.8,null,7.1,1.8,-0.4,-0.7,5.1,6.2,null,null,null,0.2,0.1,22.9,81,0
6069,1999-11-17,94.6,39,-0.7,0.9,0.1,null,2.1,1.2,0.1,-0.9,4.9,6,null,null,null,0.1,0.1,22.9,81,0
6069,1999-11-18,94.4,116,-0.4,1.9,0.5,null,2.9,1.9,-0.9,-0.8,4.8,5.8,null,null,null,0.2,0.1,22.9,81.5,0
6069,1999-11-19,84.4,58,0.9,3.9,2.1,null,5,2.3,-1.4,-0.8,4.5,5.6,null,null,null,0.3,0.1,22.9,83.6,0
6069,1999-11-20,75.9,0,-0.8,1.7,0.6,null,3.7,1.6,-1.4,-0.9,4.2,5.3,null,null,null,0.2,0.1,22.9,84.2,0
6069,1999-11-21,86.4,8,-2.6,1.2,-0.7,null,0.7,2,-0.9,-0.9,3.9,5,null,null,null,0.2,0.1,22.9,84.2,0
6069,1999-11-22,94.2,78,-0.8,1.2,0,null,1.3,0.6,0.1,-0.7,3.9,4.9,null,null,null,0.1,0.1,22.9,84.2,0
6069,1999-11-23,97,54,0.9,3.2,2,null,1.5,1.2,0.6,-0.4,4.2,4.9,null,null,null,0.1,0.1,22.9,86.2,0
6069,1999-11-24,97,81,1.4,8.3,4.7,null,4.1,0.8,0,-0.2,4.7,5.2,null,null,null,0.1,0.1,22.9,90.9,0
6069,1999-11-25,94.4,97,6,10,8.4,null,3.9,1.3,-1.1,0.3,6.1,6,null,null,null,0.2,0.1,26.2,99.2,0
6069,1999-11-26,88,37,5.6,10.6,8.6,null,6.9,0.6,-0.4,0.2,6.5,6.6,null,null,null,0.1,0.1,29.8,107.8,0
6069,1999-11-27,85.5,61,3.1,8.8,6.8,null,4.9,2.2,-2.5,-0.3,6.8,7,null,null,null,0.3,0.1,31.6,114.6,0
6069,1999-11-28,88.7,41,3.4,9.5,7.5,null,7.5,0.2,-2,-0.1,6.4,6.8,null,null,null,0,0.1,34.1,122.1,0
6069,1999-11-29,77.7,0,1.5,10.7,6.5,null,7.4,1.1,-3.6,-0.4,6.8,7.1,null,null,null,0.2,0.1,35.6,128.6,0
6069,1999-11-30,87.5,106,-0.5,10.4,4.9,null,7.3,0.5,-1.8,-0.5,5.6,6.4,null,null,null,0.1,0.1,35.6,133.5,0
6069,1999-12-01,76.2,35,2.1,9.2,5.4,null,9,2.3,-3.3,-0.6,6.1,6.6,null,null,null,0.3,0.1,35.9,138.8,0
6069,1999-12-02,84.5,76,0.8,5.3,2.5,null,4.5,2.2,-2.9,-1,5,6,null,null,null,0.3,0.1,35.9,141.4,0
6069,1999-12-03,91.4,107,0.1,7,2.6,null,8.2,0.3,-0.8,-0.7,4.6,5.5,null,null,null,0,0.1,35.9,143.9,0
6069,1999-12-04,91,121,-0.1,2.8,1.3,null,5.5,1,-1.1,-0.9,4.2,5.2,null,null,null,0.1,0.1,35.9,145.3,0
6069,1999-12-05,85.4,12,-2.7,1.2,-0.5,null,4,2.8,-4.1,-1.1,3.6,4.8,null,null,null,0.3,0.1,35.9,145.3,0
6069,1999-12-06,91.5,105,0.1,9.7,5.6,null,8.5,0.4,0,0,3.6,4.4,null,null,null,0.1,0.1,36.5,150.9,0
6069,1999-12-07,86,85,3.5,9.4,6.3,null,5,1.1,-2.1,-0.1,5.2,5.3,null,null,null,0.2,0.1,37.8,157.2,0
6069,1999-12-08,89,109,3,6.7,5,null,5.4,1.5,-1.9,-0.3,4.8,5.4,null,null,null,0.2,0.1,37.8,162.1,0
6069,1999-12-09,82.5,24,4.9,7.7,6.2,null,7,1.6,-3.8,-0.2,5.2,5.5,null,null,null,0.2,0.1,39,168.3,0
6069,1999-12-10,82.4,64,2.1,5.9,4.6,null,4.7,0.8,-1.6,-0.4,5.1,5.6,null,null,null,0.1,0.1,39,173,0
6069,1999-12-11,93.4,135,0.5,4,2.3,null,4.5,0.5,-1.1,-0.7,4.5,5.3,null,null,null,0.1,0.1,39,175.3,0
6069,1999-12-12,92.8,57,-0.2,2.1,1,null,3.1,0.6,-0.2,-0.6,4.3,5,null,null,null,0.1,0.1,39,176.3,0
6069,1999-12-13,95.1,38,-1.2,0.3,-0.3,null,2.5,1.5,-0.6,-0.8,3.8,4.7,null,null,null,0.2,0.1,39,176.3,0
6069,1999-12-14,83.9,2,-3.1,0.7,-1.6,null,5,0.5,-1.4,-1,3.3,4.3,null,null,null,0,0.1,39,176.3,0
6069,1999-12-15,79.6,0,-5.4,-2.1,-3.3,null,6,0.5,-2,-1.3,2.3,3.7,null,null,null,0,0.1,39,176.3,0
6069,1999-12-16,90,27,-7.4,3.5,-2.5,null,4,1.8,-0.8,-1.4,1.4,3,null,null,null,0.2,0.1,39,176.3,0
6069,1999-12-17,85.9,73,0.8,6,3.7,null,9,0.3,-2,-0.4,1.6,2.6,null,null,null,0,0.1,39,180,0
6069,1999-12-18,80.6,53,-2.8,1.3,-0.6,null,7.4,1.1,-3.9,-0.7,1.9,2.8,null,null,null,0.1,0.1,39,180,0
6069,1999-12-19,92.3,140,-6.7,1.4,-2.1,null,3.7,2.6,0,-0.6,2,2.8,null,null,null,0.3,0.1,39,180,0
6069,1999-12-20,92.5,144,-7.8,1.2,-3.4,null,1.5,3,-1.9,-0.8,1.7,2.7,null,null,null,0.3,0.1,39,180,0
6069,1999-12-21,93.5,144,-11.5,-0.7,-6,null,2.1,2.7,-0.6,-0.9,1.3,2.4,null,null,null,0.2,0.1,39,180,0
6069,1999-12-22,82.6,144,-1,0.8,0,null,6.7,1.4,-1.7,-0.7,1.2,2.2,null,null,null,0.2,0.1,39,180,0
6069,1999-12-23,91.5,143,0.2,4.5,2.3,null,5.9,0.8,-0.8,-0.5,1.3,2.2,null,null,null,0.1,0.1,39,182.3,0
6069,1999-12-24,90.5,35,2.3,6.1,4.1,null,5.2,0.2,-0.5,0.2,2.2,2.6,null,null,null,0,0.1,39,186.3,0
6069,1999-12-25,87.8,79,1.8,7.7,5.3,null,3.6,0.6,-2.2,0.3,3.7,3.5,null,null,null,0.1,0.1,39.3,191.7,0
6069,1999-12-26,93.2,109,0.1,2.7,1.2,null,0.2,0.5,-1.7,-0.6,3,3.7,null,null,null,0.1,0.1,39.3,192.8,0
6069,1999-12-27,100.5,138,0.2,1.8,1,null,0.3,0.9,0.5,-0.5,2.7,3.4,null,null,null,0.1,0.1,39.3,193.9,0
6069,1999-12-28,101.9,47,-3,0.5,-1.4,null,0.2,0.8,0.2,-0.9,2.2,3.1,null,null,null,0.1,0.1,39.3,193.9,0
6069,1999-12-29,97,73,-3,-0.8,-1.8,null,0.1,1.2,0.3,-0.9,1.6,2.6,null,null,null,0.1,0.1,39.3,193.9,0
6069,1999-12-30,97.4,110,-0.9,1.7,0.4,null,0,1.1,0.2,-0.6,1.4,2.4,null,null,null,0.1,0.1,39.3,194.3,0
6069,1999-12-31,96.9,58,-0.5,2.1,0.7,null,0.1,1.2,0,-0.4,1.6,2.4,null,null,null,0.1,0.1,39.3,195,0
