station,date,rh,surfwet,minte,maxte,temp,prec08,wv,glorad,netrad,heatflux,soilt10,soilt30,minrh,maxrh,vpd,makkepot,tsum10,tsum5,tsum0,akkmve
37,1987-01-01,95,1440,-3.6,-1.3,-3.9,0,5.5,1.5,-1.1,-0.3,0.6,1.5,null,null,null,0.1,0,0,0,0
37,1987-01-02,95,1440,-6.6,-2.3,-5.3,0,4.3,2.1,-2,-0.3,0.6,1.4,null,null,null,0.2,0,0,0,0
37,1987-01-03,94,1440,-10,-2.8,-6.8,0,2.6,2.8,-0.6,-0.3,0.6,1.4,null,null,null,0.2,0,0,0,0
37,1987-01-04,94,1440,-11.7,-1.1,-6.3,0,5.4,1.1,-0.4,-0.3,0.6,1.4,null,null,null,0.1,0,0,0,0
37,1987-01-05,92,670,-10.1,2.2,-0.8,4.6,6.6,1.5,-1.1,-0.3,0.6,1.4,null,null,null,0.2,0,0,0,0
37,1987-01-06,88,0,-4.9,-2.1,-5.8,0,6.6,1.7,-2,-0.3,0.6,1.4,null,null,null,0.1,0,0,0,0
37,1987-01-07,94,0,-12.1,-9.1,-10.8,0.1,1.8,3.2,-2,-0.3,0.5,1.4,null,null,null,0.2,0,0,0,0
37,1987-01-08,95,1330,-12.5,1.9,-1.8,0.6,5.4,2.1,-2,-0.2,0.4,1.2,null,null,null,0.2,0,0,0,0
37,1987-01-09,88,1440,-12.1,-7.9,-12.8,0.1,7,2.8,-3.5,-0.3,0.3,1.2,null,null,null,0.2,0,0,0,0
37,1987-01-10,88,1360,-17.2,-15.3,-17.3,0,6.8,3.4,-2.6,-0.6,0,1.1,null,null,null,0.1,0,0,0,0
37,1987-01-11,85,1240,-18.6,-14.7,-16.6,0.1,7.5,4.1,-2.9,-0.6,-0.5,0.9,null,null,null,0.2,0,0,0,0
37,1987-01-12,88,1420,-17.4,-14.1,-14.7,0,9.3,2.4,-3.1,-0.6,-0.7,0.7,null,null,null,0.1,0,0,0,0
37,1987-01-13,88,1440,-15.2,-10.8,-13.7,0,9.4,2.7,-3.9,-0.6,-1,0.6,null,null,null,0.1,0,0,0,0
37,1987-01-14,90,1440,-14.1,-7,-8.5,0,7.3,1.4,-0.4,-0.2,-0.7,0.4,null,null,null,0.1,0,0,0,0
37,1987-01-15,93,1440,-9.4,-4.6,-5.4,0,7.6,1.4,-0.5,-0.2,-0.5,0.5,null,null,null,0.1,0,0,0,0
37,1987-01-16,90,1440,-5.8,-4.5,-4.9,0,4.1,1.6,-0.6,-0.2,-0.4,0.5,null,null,null,0.1,0,0,0,0
37,1987-01-17,90,1440,-5.5,-4,-4.8,0,2.8,1.6,-0.5,-0.2,-0.4,0.4,null,null,null,0.1,0,0,0,0
37,1987-01-18,88,1440,-5,-3.4,-4.2,0,3.2,1.4,-0.8,-0.2,-0.4,0.4,null,null,null,0.1,0,0,0,0
37,1987-01-19,95,1440,-9,-3.3,-6.1,0,4.3,4.6,-2.8,-0.3,-0.6,0.4,null,null,null,0.4,0,0,0,0
37,1987-01-20,98,1440,-8.8,-3.4,-6.1,0,3.1,1.6,-0.3,-0.2,-0.5,0.4,null,null,null,0.1,0,0,0,0
37,1987-01-21,99,1440,-6.3,1.3,-0.4,1.6,2.4,1.2,0.5,0,-0.2,0.4,null,null,null,0.1,0,0,0,0
37,1987-01-22,99,1440,-1,2.1,1.2,2,2.2,1.5,1,0.1,0,0.4,null,null,null,0.2,0,0,1.2,0
37,1987-01-23,99,1140,0.7,3,1.4,1,3.2,1.4,1,0.1,0.1,0.5,null,null,null,0.2,0,0,2.6,0
37,1987-01-24,98,680,-2.5,3,-0.1,0,4.4,1.4,0.6,0.1,0.1,0.5,null,null,null,0.2,0,0,2.6,0
37,1987-01-25,82,20,-2.4,4.1,2.7,0,11.2,1,-1.6,0.1,0.1,0.5,null,null,null,0.1,0,0,5.3,0
37,1987-01-26,72,0,-2.8,0.1,-1.8,0.1,5.3,4.3,-5.3,-0.2,0,0.5,null,null,null,0.4,0,0,5.3,0
37,1987-01-27,85,630,-7.4,1.4,-2.2,0,5.6,2.7,-2.6,-0.4,-0.3,0.5,null,null,null,0.3,0,0,5.3,0
37,1987-01-28,87,10,-6.9,-3.3,-5.9,0,2.8,4.7,-3.6,-0.6,-0.6,0.4,null,null,null,0.4,0,0,5.3,0
37,1987-01-29,82,0,-12.1,-9.2,-11,0.1,4.3,5.4,-3.1,-0.8,-1.3,0.2,null,null,null,0.3,0,0,5.3,0
37,1987-01-30,87,510,-12.8,3.4,-2.5,0,9.4,1.7,-0.1,-0.2,-1.1,0.1,null,null,null,0.2,0,0,5.3,0
37,1987-01-31,93,0,-4.2,4.2,3,0,8.2,2.9,-2.3,0.2,-0.1,0.4,null,null,null,0.4,0,0,8.3,0
37,1987-02-01,93,0,0,2,0.6,0,4.4,3.6,-2.8,0.1,0,0.4,null,null,null,0.4,0,0,8.9,0
37,1987-02-02,82,140,-4,3,-1.2,0,3.4,5.6,-1.1,-0.2,-0.1,0.4,null,null,null,0.6,0,0,8.9,0
37,1987-02-03,80,0,-4.4,0.1,-2.1,0,3.9,4.2,-3,-0.4,-0.4,0.4,null,null,null,0.4,0,0,8.9,0
37,1987-02-04,97,800,-4.5,3.7,1.1,0,3.6,3.7,1.3,0.1,-0.1,0.4,null,null,null,0.4,0,0,10,0
37,1987-02-05,97,1440,-0.1,4.2,2.7,0,8,1.1,0.8,0.1,0,0.4,null,null,null,0.1,0,0,12.7,0
37,1987-02-06,97,1280,2.2,6.2,4.6,3.5,9.2,0.8,0.7,0.1,0,0.4,null,null,null,0.1,0,0,17.3,0
37,1987-02-07,78,0,-0.9,3.9,1,8,8.1,5.9,-2.3,0.1,0.1,0.4,null,null,null,0.7,0,0,18.3,0
37,1987-02-08,95,400,-0.6,2.2,1.3,0,4.6,1.1,-0.4,0,0.2,0.4,null,null,null,0.1,0,0,19.6,0
37,1987-02-09,97,830,0.9,5.1,2.2,0,3.6,3.6,0.9,0.1,0.2,0.4,null,null,null,0.4,0,0,21.8,0
37,1987-02-10,97,1250,0.3,4,2,4.3,6.5,0.9,0.7,0.5,0.2,0.4,null,null,null,0.1,0,0,23.8,0
37,1987-02-11,90,160,1.6,3.9,2.9,6.2,7.9,1.8,0.4,0.6,0.2,0.4,null,null,null,0.2,0,0,26.7,0
37,1987-02-12,98,370,-0.9,0.6,-0.1,0,3.3,1.1,0.7,0.1,0.2,0.4,null,null,null,0.1,0,0,26.7,0
37,1987-02-13,96,660,-0.6,1,0.5,7.3,6.4,1.5,-0.4,0,0.2,0.4,null,null,null,0.2,0,0,27.2,0
37,1987-02-14,89,0,-0.5,3,0.4,0.3,3.8,6.3,-3.8,0,0.2,0.4,null,null,null,0.7,0,0,27.6,0
37,1987-02-15,98,60,-6.5,-1.1,-4.2,0,1.1,4.8,0.6,0,0.2,0.4,null,null,null,0.4,0,0,27.6,0
37,1987-02-16,94,0,-6.5,-2,-4,0,2.7,4.6,-0.2,0,0.2,0.4,null,null,null,0.4,0,0,27.6,0
37,1987-02-17,91,0,-6.3,-1.7,-4.2,0,3.4,10.6,-0.5,0,0.2,0.4,null,null,null,1,0,0,27.6,0
37,1987-02-18,92,null,-6.8,-1.2,-4.3,0,2.9,11,-1.6,-0.2,0.1,0.4,null,null,null,1,0,0,27.6,0
37,1987-02-19,92,30,-8.5,-1.5,-5.5,0,1.5,9.4,-2.1,-0.3,0,0.4,null,null,null,0.8,0,0,27.6,0
37,1987-02-20,92,160,-8.5,2.5,-2.1,0,3.4,10.3,-1.9,-0.2,-0.1,0.4,null,null,null,1.1,0,0,27.6,0
37,1987-02-21,100,1440,-6.2,1.6,0.3,0,3.8,4.2,2.1,0,0.1,0.4,null,null,null,0.5,0,0,27.9,0
37,1987-02-22,78,630,-1.6,2.6,0.7,0,7.9,8.5,0.2,0,0.1,0.4,null,null,null,1,0,0,28.6,0
37,1987-02-23,77,10,-5.3,1.4,-1.6,0.1,3.3,9.2,-1.2,-0.2,0,0.5,null,null,null,1,0,0,28.6,0
37,1987-02-24,85,50,-5,1,-1.4,0,3.5,10.9,-0.6,-0.2,0,0.5,null,null,null,1.2,0,0,28.6,0
37,1987-02-25,88,0,-4.5,2.7,0.7,0,3.1,5.7,1.1,-0.1,0.1,0.5,null,null,null,0.7,0,0,29.3,0
37,1987-02-26,83,0,-0.8,0.6,-0.7,0,5.7,6.4,0.6,-0.1,0.2,0.5,null,null,null,0.7,0,0,29.3,0
37,1987-02-27,93,0,-3.8,-1,-2.3,0,7.2,3,0.5,-0.2,0,0.5,null,null,null,0.3,0,0,29.3,0
37,1987-02-28,86,0,-3.2,-1.6,-2.3,0.6,6.8,3.9,0.7,-0.1,0.1,0.5,null,null,null,0.4,0,0,29.3,0
37,1987-03-01,76,0,-8,-3,-5.7,0.1,6,10.2,-1.8,-0.2,0,0.5,null,null,null,0.9,0,0,29.3,0
37,1987-03-02,76,0,-8.2,-5.6,-7.1,0.1,8.9,6.7,-0.5,-0.4,-0.2,0.4,null,null,null,0.5,0,0,29.3,0
37,1987-03-03,77,0,-11.1,-5.5,-8.8,0,3.7,9.8,-0.4,-0.4,-0.2,0.4,null,null,null,0.7,0,0,29.3,0
37,1987-03-04,89,0,-11.1,-2.3,-4.4,0.2,4.8,6.1,0.9,-0.2,-0.2,0.4,null,null,null,0.6,0,0,29.3,0
37,1987-03-05,90,0,-8.2,-3.4,-6.6,0.8,3.2,11.5,-2,-0.2,0,0.4,null,null,null,0.9,0,0,29.3,0
37,1987-03-06,87,70,-14.9,-4.5,-9.9,0,1.7,13.1,-0.5,-0.5,-0.2,0.4,null,null,null,0.9,0,0,29.3,0
