"man.dm","app.mthd.nm","March","April","May","Summer","Autumn"
5.1,"Slæbeslange",28,29,30,30,30
5.1,"Slæbeslange + markforsuring (3,4 kg/t)",20,23,24,26,25
5.1,"Slæbeslange + markforsuring (7,5 kg/t)",17,20,22,24,23
5.1,"Slæbeslange + markforsuring (11 kg/t)",14,17,20,22,21
5.1,"Nedfældning i græs",16,17,17,17,17
5.1,"Nedfældning på sort jord",2.6,2.6,2.6,2.6,2.6
5.9,"Slæbeslange",32,33,34,35,35
5.9,"Slæbeslange + markforsuring (3,4 kg/t)",22,26,28,30,29
5.9,"Slæbeslange + markforsuring (7,5 kg/t)",18,22,25,28,26
5.9,"Slæbeslange + markforsuring (11 kg/t)",15,19,22,26,24
5.9,"Nedfældning i græs",18,18,19,19,19
5.9,"Nedfældning på sort jord",2.6,2.7,2.7,2.7,2.7
6.9,"Slæbeslange",36,39,41,42,41
6.9,"Slæbeslange + markforsuring (3,4 kg/t)",24,29,33,36,34
6.9,"Slæbeslange + markforsuring (7,5 kg/t)",19,24,29,33,31
6.9,"Slæbeslange + markforsuring (11 kg/t)",15,20,25,30,27
6.9,"Nedfældning i græs",20,21,21,22,22
6.9,"Nedfældning på sort jord",2.7,2.7,2.7,2.7,2.7
