"animal","pH","n.samp","dose.kg.t.mean","dose.kg.t.se","dose.kg.t.90lcl","dose.kg.t.90ucl","dose.kg.t.sd"
"Afgasset",6,11,13.9798465652651,0.907679720311585,13.2412268428955,15.6925396100772,3.01043306208826
"Afgasset",6.3,11,12.7957965770925,0.71553212539667,12.0439560421106,14.0181706039457,2.37315158538628
"Afgasset",6.6,11,10.17770364911,0.62147025025734,9.4417069068839,11.0208908182877,2.06118363847187
"Kvæg",6,8,5.68056710013548,0.566007299681274,5.0425678290499,6.44397373610716,1.60091039922286
"Kvæg",6.3,8,3.83713337608391,0.447919379719149,3.2981640581752,4.38434785224756,1.26690732329713
"Kvæg",6.6,8,1.84309747557404,0.275273212326648,1.49501776501671,2.18824987825425,0.778590220460709
"Slagtesvin",6,7,7.1582588476942,1.79959141162459,5.14290541856832,9.23952282185594,4.76127133668635
"Slagtesvin",6.3,7,4.88444660677047,1.56203697883466,3.10058987356151,7.03276197829794,4.13276138468318
"Slagtesvin",6.6,7,2.61196352443847,1.21055935871681,1.48714174451077,3.95359069481208,3.2028390104465
"So-/smågrise",6,6,4.77526120809532,1.26162176091447,3.25700243019724,6.13332940775606,3.09032956263204
"So-/smågrise",6.3,6,3.01180901036733,1.21293567951635,1.80616762685484,4.26260255697014,2.97107350563105
"So-/smågrise",6.6,6,1.54562818433868,0.848166044359339,0.718200463989616,2.45545629686985,2.07757402583518
