"animal","dose.kg.t","n","pH","buff.int","dose.mmol.kg","n.max"
"Afgasset",0,11,7.89681818181818,NA,0,11
"Afgasset",0.125,11,7.86780926207917,NA,1.2740022014758,11
"Afgasset",0.25,11,7.83901592218858,NA,2.54800440295161,11
"Afgasset",0.375,11,7.81007384886584,NA,3.82200660442741,11
"Afgasset",0.5,11,7.78061872883037,NA,5.09600880590322,11
"Afgasset",0.625,11,7.75028624880159,NA,6.37001100737902,11
"Afgasset",0.75,11,7.71867451713138,NA,7.64401320885483,11
"Afgasset",0.875,11,7.68482494720178,NA,8.91801541033063,11
"Afgasset",1,11,7.64872510144486,NA,10.1920176118064,11
"Afgasset",1.125,11,7.61091083225903,NA,11.4660198132822,11
"Afgasset",1.25,11,7.57197732080162,NA,12.740022014758,11
"Afgasset",1.375,11,7.53252370248716,NA,14.0140242162338,11
"Afgasset",1.5,11,7.49309835102268,NA,15.2880264177097,11
"Afgasset",1.625,11,7.45383402886047,NA,16.5620286191855,11
"Afgasset",1.75,11,7.41491699239872,NA,17.8360308206613,11
"Afgasset",1.875,11,7.37703865978696,NA,19.1100330221371,11
"Afgasset",2,11,7.34080822538147,NA,20.3840352236129,11
"Afgasset",2.125,11,7.30687127901344,NA,21.6580374250887,11
"Afgasset",2.25,11,7.27573669441218,NA,22.9320396265645,11
"Afgasset",2.375,11,7.24724451929611,NA,24.2060418280403,11
"Afgasset",2.5,11,7.22115015389524,NA,25.4800440295161,11
"Afgasset",2.625,11,7.19720345432158,NA,26.7540462309919,11
"Afgasset",2.75,11,7.1751210750009,NA,28.0280484324677,11
"Afgasset",2.875,11,7.15466273006423,NA,29.3020506339435,11
"Afgasset",3,11,7.13554641014553,NA,30.5760528354193,11
"Afgasset",3.125,11,7.11727139592468,NA,31.8500550368951,11
"Afgasset",3.25,11,7.09939064183278,NA,33.1240572383709,11
"Afgasset",3.375,11,7.08166098135202,NA,34.3980594398467,11
"Afgasset",3.5,11,7.06440764517753,NA,35.6720616413225,11
"Afgasset",3.625,11,7.04800542574472,NA,36.9460638427983,11
"Afgasset",3.75,11,7.0327375065578,NA,38.2200660442741,11
"Afgasset",3.875,11,7.01869777121057,NA,39.4940682457499,11
"Afgasset",4,11,7.00591394005989,NA,40.7680704472257,11
"Afgasset",4.125,11,6.99406764722054,NA,42.0420726487015,11
"Afgasset",4.25,11,6.98314557981859,NA,43.3160748501773,11
"Afgasset",4.375,11,6.97315520570039,NA,44.5900770516531,11
"Afgasset",4.5,11,6.9639484321843,NA,45.8640792531289,11
"Afgasset",4.625,11,6.95542478145872,NA,47.1380814546048,11
"Afgasset",4.75,11,6.94728952788477,NA,48.4120836560806,11
"Afgasset",4.875,11,6.9392311799549,NA,49.6860858575564,11
"Afgasset",5,11,6.93120257039701,NA,50.9600880590322,11
"Afgasset",5.125,11,6.92328398039786,NA,52.234090260508,11
"Afgasset",5.25,11,6.915539739619,NA,53.5080924619838,11
"Afgasset",5.375,11,6.90787332437216,NA,54.7820946634596,11
"Afgasset",5.5,11,6.90046374196303,NA,56.0560968649354,11
"Afgasset",5.625,11,6.89338474633502,NA,57.3300990664112,11
"Afgasset",5.75,11,6.88671486430178,NA,58.604101267887,11
"Afgasset",5.875,11,6.88051822194311,NA,59.8781034693628,11
"Afgasset",6,11,6.87462016892833,NA,61.1521056708386,11
"Afgasset",6.125,11,6.86875370348772,NA,62.4261078723144,11
"Afgasset",6.25,11,6.86280313587917,NA,63.7001100737902,11
"Afgasset",6.375,11,6.85669230583647,NA,64.974112275266,11
"Afgasset",6.5,11,6.85032146404973,NA,66.2481144767418,11
"Afgasset",6.625,11,6.84342253077106,NA,67.5221166782176,11
"Afgasset",6.75,11,6.83580548368206,NA,68.7961188796934,11
"Afgasset",6.875,11,6.82761892479465,NA,70.0701210811692,11
"Afgasset",7,11,6.81898572233952,NA,71.344123282645,11
"Afgasset",7.125,11,6.80991664096439,NA,72.6181254841208,11
"Afgasset",7.25,11,6.80071654246015,NA,73.8921276855966,11
"Afgasset",7.375,11,6.79163640778194,NA,75.1661298870724,11
"Afgasset",7.5,11,6.78277551796577,NA,76.4401320885482,11
"Afgasset",7.625,11,6.77418416954944,NA,77.714134290024,11
"Afgasset",7.75,11,6.76589784341522,NA,78.9881364914999,11
"Afgasset",7.875,11,6.75803717014586,NA,80.2621386929757,11
"Afgasset",8,11,6.75030297330416,NA,81.5361408944515,11
"Afgasset",8.125,11,6.74248623590193,NA,82.8101430959273,11
"Afgasset",8.25,11,6.73452725863116,NA,84.0841452974031,11
"Afgasset",8.375,11,6.72652732163704,NA,85.3581474988789,11
"Afgasset",8.5,11,6.71838392260879,NA,86.6321497003547,11
"Afgasset",8.625,11,6.7101301754657,NA,87.9061519018305,11
"Afgasset",8.75,11,6.70187258919701,NA,89.1801541033063,11
"Afgasset",8.875,11,6.69371469103162,NA,90.4541563047821,11
"Afgasset",9,11,6.68560933096601,NA,91.7281585062579,11
"Afgasset",9.125,11,6.67754186219997,NA,93.0021607077337,11
"Afgasset",9.25,11,6.66939931689281,NA,94.2761629092095,11
"Afgasset",9.375,11,6.66113333256626,NA,95.5501651106853,11
"Afgasset",9.5,11,6.65265100718257,NA,96.8241673121611,11
"Afgasset",9.625,11,6.64380392256955,NA,98.0981695136369,11
"Afgasset",9.75,11,6.63445678980835,NA,99.3721717151127,11
"Afgasset",9.875,11,6.62434520231331,NA,100.646173916589,11
"Afgasset",10,11,6.61319056873354,NA,101.920176118064,11
"Afgasset",10.125,11,6.60123602419998,NA,103.19417831954,11
"Afgasset",10.25,11,6.58881291104744,NA,104.468180521016,11
"Afgasset",10.375,11,6.57628599464769,NA,105.742182722492,11
"Afgasset",10.5,11,6.56395223255809,NA,107.016184923968,11
"Afgasset",10.625,11,6.55194497786722,NA,108.290187125443,11
"Afgasset",10.75,11,6.54017401709719,NA,109.564189326919,11
"Afgasset",10.875,11,6.52847994274754,NA,110.838191528395,11
"Afgasset",11,11,6.51663206576042,NA,112.112193729871,11
"Afgasset",11.125,11,6.50438278260811,NA,113.386195931347,11
"Afgasset",11.25,11,6.49151040224752,NA,114.660198132822,11
"Afgasset",11.375,11,6.4777842282391,NA,115.934200334298,11
"Afgasset",11.5,11,6.46324614421583,NA,117.208202535774,11
"Afgasset",11.625,11,6.44801426977542,NA,118.48220473725,11
"Afgasset",11.75,11,6.4321603513431,NA,119.756206938726,11
"Afgasset",11.875,11,6.41570836313854,NA,121.030209140201,11
"Afgasset",12,11,6.39877868473317,NA,122.304211341677,11
"Afgasset",12.125,11,6.38163682271055,NA,123.578213543153,11
"Afgasset",12.25,11,6.36407678639741,NA,124.852215744629,11
"Afgasset",12.375,11,6.34596822296853,NA,126.126217946105,11
"Afgasset",12.5,11,6.32729349962796,NA,127.40022014758,11
"Afgasset",12.625,11,6.3080709120899,NA,128.674222349056,11
"Afgasset",12.75,11,6.28818742006338,NA,129.948224550532,11
"Afgasset",12.875,11,6.26570015859809,NA,131.222226752008,11
"Afgasset",13,11,6.23703241942337,NA,132.496228953484,11
"Afgasset",13.125,11,6.20174199348564,NA,133.770231154959,11
"Afgasset",13.25,11,6.15968584178608,NA,135.044233356435,11
"Afgasset",13.375,11,6.11080195217235,NA,136.318235557911,11
"Afgasset",13.5,10,6.26972386247967,NA,137.592237759387,11
"Afgasset",13.625,10,6.24837559132429,NA,138.866239960863,11
"Afgasset",13.75,10,6.22567244157278,NA,140.140242162338,11
"Afgasset",13.875,10,6.20166280277218,NA,141.414244363814,11
"Afgasset",14,10,6.17634689217983,NA,142.68824656529,11
"Afgasset",14.125,10,6.14973062864621,NA,143.962248766766,11
"Afgasset",14.25,10,6.12184308481764,NA,145.236250968242,11
"Afgasset",14.375,10,6.09270765382459,NA,146.510253169717,11
"Afgasset",14.5,10,6.06233467714884,NA,147.784255371193,11
"Afgasset",14.625,10,6.03067660083257,NA,149.058257572669,11
"Afgasset",14.75,10,5.99727945632944,NA,150.332259774145,11
"Afgasset",14.875,10,5.96243554938125,NA,151.606261975621,11
"Afgasset",15,9,6.18217799753659,NA,152.880264177096,11
"Afgasset",15.125,9,6.15922063768194,NA,154.154266378572,11
"Afgasset",15.25,9,6.13592487355697,NA,155.428268580048,11
"Afgasset",15.375,9,6.11259532196919,NA,156.702270781524,11
"Afgasset",15.5,9,6.08927030701392,NA,157.976272983,11
"Afgasset",15.625,9,6.0655450463967,NA,159.250275184476,11
"Afgasset",15.75,9,6.04107484127013,NA,160.524277385951,11
"Afgasset",15.875,9,6.01549669697265,NA,161.798279587427,11
"Afgasset",16,9,5.98856734090148,NA,163.072281788903,11
"Afgasset",16.125,9,5.96004290576862,NA,164.346283990379,11
"Afgasset",16.25,9,5.92971257248597,NA,165.620286191855,11
"Afgasset",16.375,9,5.89753853375886,NA,166.89428839333,11
"Afgasset",16.5,9,5.86361975874023,NA,168.168290594806,11
"Afgasset",16.625,9,5.82795927737582,NA,169.442292796282,11
