"animal","sample","dose.kg.t","n","pH","buff.int"
"Afgasset","Båndlev(Hinnerup)",0,2,8,NA
"Afgasset","Båndlev(Hinnerup)",0.125,2,7.97625765187455,NA
"Afgasset","Båndlev(Hinnerup)",0.25,2,7.95131436617069,NA
"Afgasset","Båndlev(Hinnerup)",0.375,2,7.92447295652019,NA
"Afgasset","Båndlev(Hinnerup)",0.5,2,7.8950362365548,NA
"Afgasset","Båndlev(Hinnerup)",0.625,2,7.86230701990627,NA
"Afgasset","Båndlev(Hinnerup)",0.75,2,7.82558839445091,NA
"Afgasset","Båndlev(Hinnerup)",0.875,2,7.78535640191419,NA
"Afgasset","Båndlev(Hinnerup)",1,2,7.74305123630017,NA
"Afgasset","Båndlev(Hinnerup)",1.125,2,7.69950325049328,NA
"Afgasset","Båndlev(Hinnerup)",1.25,2,7.65554246921322,NA
"Afgasset","Båndlev(Hinnerup)",1.375,2,7.61199891717969,NA
"Afgasset","Båndlev(Hinnerup)",1.5,2,7.56970243204135,NA
"Afgasset","Båndlev(Hinnerup)",1.625,2,7.5290058326146,NA
"Afgasset","Båndlev(Hinnerup)",1.75,2,7.48940000039507,NA
"Afgasset","Båndlev(Hinnerup)",1.875,2,7.45134402701683,NA
"Afgasset","Båndlev(Hinnerup)",2,2,7.41542053521421,NA
"Afgasset","Båndlev(Hinnerup)",2.125,2,7.38221214772155,NA
"Afgasset","Båndlev(Hinnerup)",2.25,2,7.35230135307783,NA
"Afgasset","Båndlev(Hinnerup)",2.375,2,7.32636635799768,NA
"Afgasset","Båndlev(Hinnerup)",2.5,2,7.30256259630163,NA
"Afgasset","Båndlev(Hinnerup)",2.625,2,7.28040387485257,NA
"Afgasset","Båndlev(Hinnerup)",2.75,2,7.26061025959846,NA
"Afgasset","Båndlev(Hinnerup)",2.875,2,7.24390181648726,NA
"Afgasset","Båndlev(Hinnerup)",3,2,7.23099719376571,NA
"Afgasset","Båndlev(Hinnerup)",3.125,2,7.22180245069736,NA
"Afgasset","Båndlev(Hinnerup)",3.25,2,7.2108681729005,NA
"Afgasset","Båndlev(Hinnerup)",3.375,2,7.19531338469174,NA
"Afgasset","Båndlev(Hinnerup)",3.5,2,7.17695535459859,NA
"Afgasset","Båndlev(Hinnerup)",3.625,2,7.15761135114857,NA
"Afgasset","Båndlev(Hinnerup)",3.75,2,7.13909839560962,NA
"Afgasset","Båndlev(Hinnerup)",3.875,2,7.1236108451536,NA
"Afgasset","Båndlev(Hinnerup)",4,2,7.11182771256846,NA
"Afgasset","Båndlev(Hinnerup)",4.125,2,7.09916686434966,NA
"Afgasset","Båndlev(Hinnerup)",4.25,2,7.0858734539068,NA
"Afgasset","Båndlev(Hinnerup)",4.375,2,7.0724282086124,NA
"Afgasset","Båndlev(Hinnerup)",4.5,2,7.05931174320507,NA
"Afgasset","Båndlev(Hinnerup)",4.625,2,7.04687968600377,NA
"Afgasset","Båndlev(Hinnerup)",4.75,2,7.0348471606785,NA
"Afgasset","Båndlev(Hinnerup)",4.875,2,7.02199574018943,NA
"Afgasset","Båndlev(Hinnerup)",5,2,7.00896534512056,NA
"Afgasset","Båndlev(Hinnerup)",5.125,2,6.99666629756885,NA
"Afgasset","Båndlev(Hinnerup)",5.25,2,6.98600876048608,NA
"Afgasset","Båndlev(Hinnerup)",5.375,2,6.97778645088613,NA
"Afgasset","Båndlev(Hinnerup)",5.5,2,6.97242094902472,NA
"Afgasset","Båndlev(Hinnerup)",5.625,2,6.96915439451769,NA
"Afgasset","Båndlev(Hinnerup)",5.75,2,6.9672168350237,NA
"Afgasset","Båndlev(Hinnerup)",5.875,2,6.96610544611914,NA
"Afgasset","Båndlev(Hinnerup)",6,2,6.96531760967544,NA
"Afgasset","Båndlev(Hinnerup)",6.125,2,6.96445646045737,NA
"Afgasset","Båndlev(Hinnerup)",6.25,2,6.96340289443493,NA
"Afgasset","Båndlev(Hinnerup)",6.375,2,6.96193027828562,NA
"Afgasset","Båndlev(Hinnerup)",6.5,2,6.95986847968887,NA
"Afgasset","Båndlev(Hinnerup)",6.625,2,6.95720245386056,NA
"Afgasset","Båndlev(Hinnerup)",6.75,2,6.95391699105245,NA
"Afgasset","Båndlev(Hinnerup)",6.875,2,6.94993484374444,NA
"Afgasset","Båndlev(Hinnerup)",7,2,6.94502384670776,NA
"Afgasset","Båndlev(Hinnerup)",7.125,2,6.93872790414344,NA
"Afgasset","Båndlev(Hinnerup)",7.25,2,6.93089437463578,NA
"Afgasset","Båndlev(Hinnerup)",7.375,2,6.92226749077141,NA
"Afgasset","Båndlev(Hinnerup)",7.5,2,6.91361547778933,NA
"Afgasset","Båndlev(Hinnerup)",7.625,2,6.90581255939921,NA
"Afgasset","Båndlev(Hinnerup)",7.75,2,6.89998460244852,NA
"Afgasset","Båndlev(Hinnerup)",7.875,2,6.89673791854283,NA
"Afgasset","Båndlev(Hinnerup)",8,2,6.89397179398694,NA
"Afgasset","Båndlev(Hinnerup)",8.125,2,6.8915436059439,NA
"Afgasset","Båndlev(Hinnerup)",8.25,2,6.88969465528979,NA
"Afgasset","Båndlev(Hinnerup)",8.375,2,6.88852725631908,NA
"Afgasset","Båndlev(Hinnerup)",8.5,2,6.88782991151933,NA
"Afgasset","Båndlev(Hinnerup)",8.625,2,6.88730622590402,NA
"Afgasset","Båndlev(Hinnerup)",8.75,2,6.88606398346312,NA
"Afgasset","Båndlev(Hinnerup)",8.875,2,6.88382092783775,NA
"Afgasset","Båndlev(Hinnerup)",9,2,6.88056880834842,NA
"Afgasset","Båndlev(Hinnerup)",9.125,2,6.87643639373648,NA
"Afgasset","Båndlev(Hinnerup)",9.25,2,6.87184679708,NA
"Afgasset","Båndlev(Hinnerup)",9.375,2,6.86726122460473,NA
"Afgasset","Båndlev(Hinnerup)",9.5,2,6.86303680571354,NA
"Afgasset","Båndlev(Hinnerup)",9.625,2,6.85921537376696,NA
"Afgasset","Båndlev(Hinnerup)",9.75,2,6.85577990668186,NA
"Afgasset","Båndlev(Hinnerup)",9.875,2,6.85259112335321,NA
"Afgasset","Båndlev(Hinnerup)",10,2,6.84925977013032,NA
"Afgasset","Båndlev(Hinnerup)",10.125,2,6.84536604390086,NA
"Afgasset","Båndlev(Hinnerup)",10.25,2,6.84053704416201,NA
"Afgasset","Båndlev(Hinnerup)",10.375,2,6.83475048290639,NA
"Afgasset","Båndlev(Hinnerup)",10.5,2,6.82814356792175,NA
"Afgasset","Båndlev(Hinnerup)",10.625,2,6.82094972633282,NA
"Afgasset","Båndlev(Hinnerup)",10.75,2,6.81358817319477,NA
"Afgasset","Båndlev(Hinnerup)",10.875,2,6.80649953040348,NA
"Afgasset","Båndlev(Hinnerup)",11,2,6.80010625116261,NA
"Afgasset","Båndlev(Hinnerup)",11.125,2,6.79449684506614,NA
"Afgasset","Båndlev(Hinnerup)",11.25,2,6.78946641755904,NA
"Afgasset","Båndlev(Hinnerup)",11.375,2,6.78476444105964,NA
"Afgasset","Båndlev(Hinnerup)",11.5,2,6.78007422259684,NA
"Afgasset","Båndlev(Hinnerup)",11.625,2,6.7750718879616,NA
"Afgasset","Båndlev(Hinnerup)",11.75,2,6.76943629778182,NA
"Afgasset","Båndlev(Hinnerup)",11.875,2,6.76305187060323,NA
"Afgasset","Båndlev(Hinnerup)",12,2,6.75614806894802,NA
"Afgasset","Båndlev(Hinnerup)",12.125,2,6.7489853225988,NA
"Afgasset","Båndlev(Hinnerup)",12.25,2,6.74182046030112,NA
"Afgasset","Båndlev(Hinnerup)",12.375,2,6.73490994300824,NA
"Afgasset","Båndlev(Hinnerup)",12.5,2,6.72851021736134,NA
