"floor_days","hour","CH4_rate","date","days","weeks","week_of_batch","midbatch","batch","pigs","temp","section"
0,0,0.504336154450323,2020-05-29 00:29:17,0.520341030092979,0.0743344328704256,1,6,1,30,NA,"control"
0,1,NA,2020-05-29 01:30:14,0.562666984953814,0.0803809978505448,1,6,1,30,NA,"control"
0,2,NA,2020-05-29 02:31:06.5,0.604940075232751,0.0864200107475359,1,6,1,30,NA,"control"
0,3,NA,2020-05-29 03:32:01.5,0.64724434606593,0.0924634780094186,1,6,1,30,NA,"control"
0,4,0.164748260584448,2020-05-29 04:32:57.5,0.68956031250043,0.0985086160714901,1,6,1,30,NA,"control"
0,5,3.94455258183959,2020-05-29 05:33:49.5,0.731829791666457,0.104547113095208,1,6,1,30,NA,"control"
0,6,12.9730838390389,2020-05-29 06:34:45,0.774141614583356,0.110591659226194,1,6,1,30,NA,"control"
0,7,18.0538485953379,2020-05-29 07:35:39,0.816428854167462,0.116632693452494,1,6,1,30,NA,"control"
0,8,21.7790035849173,2020-05-29 08:36:32.5,0.858713165509204,0.122673309358458,1,6,1,30,NA,"control"
0,9,27.0681988389138,2020-05-29 09:37:28,0.901021956019104,0.128717422288443,1,6,1,30,NA,"control"
0,10,30.4940452902344,2020-05-29 10:38:19,0.943280040509999,0.134754291501428,1,6,1,30,NA,"control"
0,11,34.8882715367481,2020-05-29 11:39:16.5,0.985609021991215,0.140801288855888,1,6,1,30,NA,"control"
0,16,5.04507295497318,2020-05-28 16:37:18,0.192570775463073,0.027510110780439,1,6,1,30,NA,"control"
0,17,8.06087715905185,2020-05-28 17:22:53.5,0.22423753472252,0.0320339335317886,1,6,1,30,NA,"control"
0,18,9.8300514601086,2020-05-28 18:23:50.5,0.266563281249944,0.0380804687499921,1,6,1,30,NA,"control"
0,19,3.47397039669451,2020-05-28 19:24:42,0.308826765046903,0.0441181092924147,1,6,1,30,NA,"control"
0,20,6.69416696189252,2020-05-28 20:25:39,0.351153431714133,0.0501647759591619,1,6,1,30,NA,"control"
0,21,7.88182456947274,2020-05-28 21:26:31.5,0.393424322916954,0.0562034747024219,1,6,1,30,NA,"control"
0,22,7.9661160102139,2020-05-28 22:27:29.5,0.435760214120426,0.0622514591600608,1,6,1,30,NA,"control"
0,23,6.33262154603545,2020-05-28 23:28:25,0.478070978009039,0.0682958540012912,1,6,1,30,NA,"control"
1,0,6.17574927347987,2020-05-30 00:20:39,1.51434665509258,0.216335236441797,1,6,1,30,NA,"control"
1,1,5.70388459445353,2020-05-30 01:21:31,1.55661566550947,0.222373666501353,1,6,1,30,NA,"control"
1,2,5.20984472525392,2020-05-30 02:22:28,1.59894087384283,0.228420124834689,1,6,1,30,NA,"control"
1,3,5.94722260706098,2020-05-30 03:23:19.5,1.64120489583385,0.234457842261979,1,6,1,30,NA,"control"
1,4,4.2946006887203,2020-05-30 04:24:18,1.68354443865794,0.240506348379706,1,6,1,30,NA,"control"
1,5,7.77988025316692,2020-05-30 05:25:09,1.72580541666735,0.246543630952479,1,6,1,30,NA,"control"
