"sep.meth","slurry.source","DM.raw.mean","DM.lf.mean","DM.sf.mean","rdDM.lf.mean","rdDM.sf.mean","pH.raw.mean","pH.lf.mean","pH.sf.mean","dpH.lf.mean","dpH.sf.mean","TAN.sep.eff.lf.mean","TAN.sep.eff.sf.mean","DM.raw.sd","DM.lf.sd","DM.sf.sd","rdDM.lf.sd","rdDM.sf.sd","pH.raw.sd","pH.lf.sd","pH.sf.sd","dpH.lf.sd","dpH.sf.sd","TAN.sep.eff.lf.sd","TAN.sep.eff.sf.sd","DM.raw.n","DM.lf.n","DM.sf.n","rdDM.lf.n","rdDM.sf.n","pH.raw.n","pH.lf.n","pH.sf.n","dpH.lf.n","dpH.sf.n","TAN.sep.eff.lf.n","TAN.sep.eff.sf.n"
"centrifuge","cattle",6.24,3.38,25.1,-45.9,306,7.35,7.44,8.59,0.425,1.56,127,6.4,1.16,0.731,6.7,5.62,92.6,0.364,0.0778,0.163,0.00707,0.0919,38.9,8.43,6,6,6,6,6,5,2,2,2,2,3,3
"screw press","cattle",7.37,4.5,28.1,-37.1,340,7.24,7.25,8.55,0.128,1.37,91.4,9.91,1.78,0.855,5.98,11.4,257,0.358,0.468,0.263,0.188,0.519,16.7,7.04,21,21,18,21,18,10,6,5,6,5,16,13
"centrifuge","digestate",4.57,2.23,27.3,-49.6,544,8.18,NA,NA,NA,NA,88.1,3.27,1.29,0.402,4.26,9.81,240,0.0957,NA,NA,NA,NA,8.41,3.86,6,6,6,6,6,4,0,0,0,0,2,2
"screw press","digestate",5.93,4.15,25.7,-29.3,350,7.95,7.88,9.11,0.0875,1.31,86.5,6.83,1.18,0.792,5.49,10,135,0.261,0.0888,0.387,0.0854,0.308,21.1,6.55,27,27,27,27,27,6,4,4,4,4,25,25
"centrifuge","pig",6.11,2.8,29.1,-50.9,431,7.62,NA,NA,NA,NA,85.1,14.9,2.11,0.725,6.55,11.9,203,0.472,NA,NA,NA,NA,6.69,6.69,16,16,16,16,16,4,0,0,0,0,12,12
"screw press","pig",4.46,2.86,27,-35.8,515,7.41,7.61,8.3,0.0883,0.5,97.1,6.17,1.05,0.743,5.4,9.09,162,0.343,0.506,0.141,0.102,0.141,3.4,0.504,7,7,6,6,5,6,3,2,3,2,2,2
