"app.mthd","n.obs","n.pmid","MBE","MAE","RMSE","ME"
"bc",170,170,-0.086,0.167,0.223,0.43
"bsth",265,265,-0.006,0.063,0.089,0.378
"cs",8,8,-0.001,0.006,0.008,0.114
"os",84,84,0.013,0.084,0.102,0.148
"ts",97,97,0.005,0.111,0.154,0.482
