"","app.timing","app.mthd","man.source","incorp","t.incorp","app.timing.dk","air.temp","wind.2m","rain.rate","app.rate.ni","man.name","acid","man.dm","man.ph","man.source.pig","app.mthd.os","app.mthd.cs","incorp.deep","incorp.shallow","ct","tan.app","id","EF","EFp","id.report","EFp.report"
"14","April","Trailing hose","Cattle","None",NA,"April",8.5,3.91,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,27,0.27,27,"187-2010",18
"15","April","Trailing hose","Cattle","Shallow",4,"April",8.5,3.91,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,32,0.1,10,"251-2010",10
"16","April","Trailing hose","Cattle","Shallow",4,"April",8.5,3.91,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,32,0.1,10,"351-2010",6.3
"17","April","Trailing hose","Cattle","Shallow",4,"April",8.5,3.91,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,32,0.1,10,"311-2010",4.3
"18","April","Trailing hose","Digestate","Deep",4,"April",8.5,3.91,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,62,0.13,13,"090-2010",13
"19","April","Trailing hose","Digestate","None",NA,"April",8.5,3.91,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,52,0.29,29,"092-2010",29
"20","April","Trailing hose","Digestate","Shallow",4,"April",8.5,3.91,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,57,0.17,17,"291-2010",17
"21","April","Trailing hose","Pig","Deep",4,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,12,0.035,3.5,"152-2010",0.93
"22","April","Trailing hose","Pig","Deep",4,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,12,0.035,3.5,"053-2010",3.5
"23","April","Trailing hose","Pig","Deep",4,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,12,0.035,3.5,"218-2010",1.4
"24","April","Trailing hose","Pig","None",NA,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,2,0.15,15,"154-2010",8.2
"25","April","Trailing hose","Pig","None",NA,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,2,0.15,15,"220-2010",10
"26","April","Trailing hose","Pig","None",NA,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,2,0.15,15,"055-2010",15
"27","April","Trailing hose","Pig","None",NA,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,2,0.15,15,"167-2010",8.2
"28","April","Trailing hose","Pig","None",NA,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,2,0.15,15,"233-2010",10
"29","April","Trailing hose","Pig","Shallow",4,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,7,0.062,6.2,"331-2010",2.7
"30","April","Trailing hose","Pig","Shallow",4,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,7,0.062,6.2,"371-2010",3.6
"31","April","Trailing hose","Pig","Shallow",4,"April",8.5,3.91,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,7,0.062,6.2,"271-2010",6.2
"32","Autumn","Closed slot injection","Cattle","None",NA,"Efterår",14.6,3.45,0.09,0,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,50,0.016,1.6,"008-2010",1.6
"33","Autumn","Closed slot injection","Digestate","None",NA,"Efterår",14.6,3.45,0.09,0,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,75,0.026,2.6,"082-2010",2.6
"34","Autumn","Closed slot injection","Pig","None",NA,"Efterår",14.6,3.45,0.09,0,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,TRUE,FALSE,FALSE,168,100,25,0.018,1.8,"045-2010",1.8
"35","Autumn","Open slot injection","Cattle","None",NA,"Efterår",14.6,3.45,0.09,0,"Kvæggylle",FALSE,6.5,7,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,45,0.15,15,"007-2010",15
"36","Autumn","Open slot injection","Digestate","None",NA,"Efterår",14.6,3.45,0.09,0,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,70,0.17,17,"081-2010",17
"37","Autumn","Open slot injection","Pig","None",NA,"Efterår",14.6,3.45,0.09,0,"Svinegylle",FALSE,3.9,7.2,TRUE,TRUE,FALSE,FALSE,FALSE,168,100,20,0.1,10,"044-2010",10
"38","Autumn","Trailing hose","Cattle","Deep",4,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,40,0.092,9.2,"132-2010",2.7
"39","Autumn","Trailing hose","Cattle","Deep",4,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,40,0.092,9.2,"198-2010",4.4
"40","Autumn","Trailing hose","Cattle","Deep",4,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,40,0.092,9.2,"029-2010",9.2
"41","Autumn","Trailing hose","Cattle","None",NA,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,30,0.32,32,"025-2010",32
"42","Autumn","Trailing hose","Cattle","None",NA,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,30,0.32,32,"128-2010",19
"43","Autumn","Trailing hose","Cattle","None",NA,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,30,0.32,32,"202-2010",25
"44","Autumn","Trailing hose","Cattle","None",NA,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,30,0.32,32,"136-2010",19
"45","Autumn","Trailing hose","Cattle","None",NA,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,30,0.32,32,"194-2010",25
"46","Autumn","Trailing hose","Cattle","Shallow",4,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,35,0.15,15,"259-2010",15
"47","Autumn","Trailing hose","Cattle","Shallow",4,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,35,0.15,15,"359-2010",9.7
"48","Autumn","Trailing hose","Cattle","Shallow",4,"Efterår",14.6,3.45,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,35,0.15,15,"319-2010",7
"49","Autumn","Trailing hose","Digestate","Deep",4,"Efterår",14.6,3.45,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,65,0.19,19,"103-2010",19
"50","Autumn","Trailing hose","Digestate","None",NA,"Efterår",14.6,3.45,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,FALSE,168,100,55,0.3,30,"099-2010",30
"51","Autumn","Trailing hose","Digestate","Shallow",4,"Efterår",14.6,3.45,0.09,30,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,FALSE,FALSE,TRUE,168,100,60,0.21,21,"299-2010",21
"52","Autumn","Trailing hose","Pig","Deep",4,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,15,0.058,5.8,"066-2010",5.8
"53","Autumn","Trailing hose","Pig","Deep",4,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,15,0.058,5.8,"165-2010",1.6
"54","Autumn","Trailing hose","Pig","Deep",4,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,TRUE,FALSE,168,100,15,0.058,5.8,"231-2010",2.6
"55","Autumn","Trailing hose","Pig","None",NA,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,5,0.15,15,"062-2010",15
"56","Autumn","Trailing hose","Pig","None",NA,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,5,0.15,15,"161-2010",9.9
"57","Autumn","Trailing hose","Pig","None",NA,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,5,0.15,15,"235-2010",12
"58","Autumn","Trailing hose","Pig","None",NA,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,5,0.15,15,"227-2010",12
"59","Autumn","Trailing hose","Pig","None",NA,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,FALSE,168,100,5,0.15,15,"169-2010",9.9
"60","Autumn","Trailing hose","Pig","Shallow",4,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,10,0.081,8.1,"279-2010",8.1
"61","Autumn","Trailing hose","Pig","Shallow",4,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,10,0.081,8.1,"379-2010",4.8
"62","Autumn","Trailing hose","Pig","Shallow",4,"Efterår",14.6,3.45,0.09,30,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,FALSE,FALSE,TRUE,168,100,10,0.081,8.1,"339-2010",3.7
"63","March","Closed slot injection","Cattle","None",NA,"Marts",4.9,4.025,0.09,0,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,46,0.016,1.6,"001-2010",1.6
"64","March","Closed slot injection","Digestate","None",NA,"Marts",4.9,4.025,0.09,0,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,168,100,71,0.026,2.6,"075-2010",2.6
"65","March","Closed slot injection","Pig","None",NA,"Marts",4.9,4.025,0.09,0,"Svinegylle",FALSE,3.9,7.2,TRUE,FALSE,TRUE,FALSE,FALSE,168,100,21,0.018,1.8,"038-2010",1.8
"66","March","Open slot injection","Cattle","None",NA,"Marts",4.9,4.025,0.09,0,"Kvæggylle",FALSE,6.5,7,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,41,0.12,12,"003-2010",12
"67","March","Open slot injection","Digestate","None",NA,"Marts",4.9,4.025,0.09,0,"Afgasset biomasse",FALSE,5.1,7.9,FALSE,TRUE,FALSE,FALSE,FALSE,168,100,66,0.16,16,"077-2010",16
"68","March","Open slot injection","Pig","None",NA,"Marts",4.9,4.025,0.09,0,"Svinegylle",FALSE,3.9,7.2,TRUE,TRUE,FALSE,FALSE,FALSE,168,100,16,0.097,9.7,"040-2010",9.7
"69","March","Trailing hose","Cattle","Deep",4,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,36,0.031,3.1,"115-2010",0.92
"70","March","Trailing hose","Cattle","Deep",4,"Marts",4.9,4.025,0.09,30,"Kvæggylle",FALSE,6.5,7,FALSE,FALSE,FALSE,TRUE,FALSE,168,100,36,0.031,3.1,"012-2010",3.1
