"source","variable","n","mn","md","s"
"Afgasset","DM",26,5.85282051282051,5.7225,1.62675872480154
"Afgasset","pH",15,7.90622222222222,7.935,0.20574821516195
"Afgasset","TN",15,4.983,4.69,0.737253106373342
"Afgasset","TAN",15,3.06177777777778,2.79,0.870990921413757
"Afgasset","VS",26,30.6204517494811,4.4025,32.8207991063715
"Gylle, kvæg","DM",67,6.47507462686567,6.69,1.67635641427466
"Gylle, kvæg","pH",67,7.04626865671642,7,0.344611488846698
"Gylle, kvæg","TN",67,3.51537313432836,3.63,0.571439777463295
"Gylle, kvæg","TAN",67,2.06776119402985,2.06,0.442492324520052
"Gylle, svin","DM",105,3.86438095238095,3.43,2.17912911495251
"Gylle, svin","pH",105,7.20390476190476,7.2,0.388996478227323
"Gylle, svin","TN",105,4.48571428571429,4.3,1.36033922320787
"Gylle, svin","TAN",105,3.32971428571429,3.27,0.831764178329199
