"animal","variable","n","mn","md","s"
"Afgasset","TS",26,5.9,5.7,1.6
"Afgasset","VS",26,30.6,4.4,32.8
"Afgasset","TN",15,5,4.7,0.7
"Afgasset","TAN",15,3.1,2.8,0.9
"Afgasset","pH",15,7.9,7.9,0.2
