"","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"6019",99,348,360,327,361,359,352,362,360,357,361,358,364,362,361,287,363,365,362,358,354,355,340,261,347,353,349,0,0,0,0,0,0,0,0
"6031",48,348,360,334,361,352,334,360,361,363,343,361,359,359,359,335,346,341,354,363,352,339,354,347,335,350,347,0,0,0,0,0,0,0,0
"6069",0,0,0,0,0,0,0,0,0,0,0,0,0,366,365,365,359,365,359,364,364,359,350,364,359,364,363,0,0,0,0,0,0,0,0
"6109",98,301,363,346,355,343,313,358,354,364,361,360,358,362,363,343,361,365,349,356,360,323,364,313,307,350,336,0,0,0,0,0,0,0,0
"6116",343,209,359,348,359,351,322,357,361,360,362,354,357,344,141,266,362,363,362,319,353,347,322,349,312,312,324,0,0,0,0,0,0,0,0
"6126",359,247,359,354,362,358,345,361,358,365,362,350,362,355,156,274,364,365,359,360,354,365,322,269,316,338,294,0,0,0,0,0,0,0,0
"6135",0,265,362,356,356,357,344,362,360,311,361,350,328,354,147,274,364,364,362,357,361,365,357,352,340,333,333,0,0,0,0,0,0,0,0
"601900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,366,365,365,365,366,304
"603100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,366,365,365,365,366,304
"606900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,366,365,365,365,366,304
"610900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,366,365,365,365,366,304
"611601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,366,365,365,365,366,304
"612600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,366,365,365,365,366,304
"613500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,366,365,365,365,366,304
