Slurry sample,Original animal,Animal,Dry matter (%),VS (%)
sample,animal.orig,animal,TS,VS
Thorsø. R1 + R2,Biogas,Afgasset,7.29,72.36
Ausungård,Biogas,Afgasset,,
Sending,Biogas,Afgasset,14.66,42.24
Limfjord,Biogas,Afgasset,14.86,81.79
L87,Afgasset biogas,Afgasset,5.50,74.88
Fangel,Biogas,Afgasset,9.53,43.42
Horsens,Biogas,Afgasset,8.84,60.13
Stadsgård,Biogas,Afgasset,13.60,35.38
KFC,Kvæg,Kvæg,8.78,
Fuglsøgård,Kvæg,Kvæg,6,77.17
Sødn. Ghud. Vejnum,Tyrekalve,Kvæg,5.35,
Holger Hedlun. Ry,Kvæg,Kvæg,9.34,
Henrik Keldsen. Ry,Kvæg,Kvæg,8.15,71.8
Per Bak. Galten,Kvæg,Kvæg,4.96,74.61
Anders Mikkelsen. Ry,Kvæg,Kvæg,8.78,83.38
Erik Overgård,Øko kvæg,Kvæg,8.45,67.80
(5) Kim Vinborg,So,So-/smågrise,1.52,58.65
(6) Søren Søndergård Rødkærsbro,So,So-/smågrise,6.60,84.34
Mikkel Hansen,So,So-/smågrise,0.68,48.57
Ole Jensen. Messing,So,So-/smågrise,,
Steffen Børgesen.Galten,So,So-/smågrise,1.32,48.05
Viskym. Louise Laursen,So,So-/smågrise,1.36,60.39
Kim Hansen,So,So-/smågrise,6.20,79.24
Louis Laursen,So,So-/smågrise,1.26,54.41
SB33,Svin,Slagtesvin,3.7,
Per Bro,Svin,Slagtesvin,3.2,
Nikolaj. Storme,Slagtesvin,Slagtesvin,9.47,73.70
Jens Jaul. Omstær,Slagtesvin,Slagtesvin,3.31,61.06
Ole Jensen. Messing,Slagtesvin,Slagtesvin,1.47,52.44
Hanne Brandt,Slagtesvin,Slagtesvin,2.46,58.19
Michael Hansen.Ormskar,Slagtesvin,Slagtesvin,5.63,76.13
Viskum. Svinegylle,Svin,Slagtesvin,,
Rybjerg Biogas,,Afgasset,5.44,66.72
Vegger Energi,,Afgasset,6.97,68.47
Brd Thorsen,,Afgasset,9.36,77.09
Thorsø Biogas,,Afgasset,6.16,69.18
Båndlev(Hinnerup),,Afgasset,6.91,69.98
Horsens,,Afgasset,8.29,56.33
Foulum,,Afgasset,6.10,77.01
Holstebro (PSN + Tavs forsøg),,Afgasset,3.75,65.49
