x,Location,Type,(Trin),TS%,VS%,Aske%,Aske,Total N,Org N,NH4-N,pH,Temperatur
x,sample,animal,trin,TS,VS,ash,ash.TS,TN,ON,TAN,pH,temp
1,PA,Afgasset,1,4.04,3.05,0.99,24.5049504950495,5.38,1.22,4.16,7.67,41
2,PA,Afgasset,2,1.94,1.07,0.87,44.8453608247423,5.38,1.52,3.86,7.9,41
3,PA,Afgasset,3,2.18,1.34,0.84,38.5321100917431,5.38,1.73,3.65,8.21,41
8,THO,Afgasset,1,5.11,3.7,1.41,27.5929549902153,4.64,1.54,3.1,7.79,52
9,THO,Afgasset,2,4.66,3.31,1.35,28.9699570815451,4.64,1.44,3.2,8.14,52
10,THO,Afgasset,3,4.24,2.89,1.35,31.8396226415094,4.64,1.54,3.1,8.14,35
14,MA,Afgasset,1A,4.34,2.87,1.47,33.8709677419355,5.43,2.16,3.27,7.93,40
15,MA,Afgasset,2,4.09,2.65,1.44,35.2078239608802,5.43,1.89,3.54,8.31,40
16,MA,Afgasset,1B,4.46,2.98,1.48,33.1838565022421,5.43,1.48,3.95,7.88,40
17,LIN,Afgasset,1,5.95,4.33,1.62,27.2268907563025,4.69,1.93,2.76,7.94,52
19,LIN,Afgasset,2,5.38,3.78,1.6,29.7397769516729,4.69,1.87,2.82,7.93,52
21,RI,Afgasset,1,6.19,4.44,1.75,28.2714054927302,4.53,1.93,2.6,7.83,52
22,RI,Afgasset,2,5.41,3.76,1.65,30.4990757855823,4.53,1.81,2.72,7.96,52
23,BLA,Afgasset,1,4.99,3.51,1.48,29.6593186372746,4.7,1.84,2.86,7.98,50
24,COM,Afgasset,1,4.91,3.64,1.27,25.8655804480652,6.62,1.35,5.27,8.34,51
25,COM,Afgasset,2,4.26,3,1.26,29.5774647887324,6.62,1.31,5.31,8.44,41
26,HOL,Afgasset,1,6.27,4.82,1.45,23.1259968102073,4.51,2.06,2.45,7.64,39
27,HOL,Afgasset,3,5.8,4.42,1.38,23.7931034482759,4.51,2.29,2.22,7.66,38
28,JPL,Afgasset,1,5.98,4.31,1.67,27.9264214046823,4.29,2.32,1.97,7.92,52
30,JPL,Afgasset,2,5.58,4.06,1.52,27.2401433691756,4.29,1.79,2.5,8.01,48
31,HAS,Afgasset,1,5.95,4.65,1.3,21.8487394957983,6.61,2.71,3.9,7.98,39
33,HAS,Afgasset,1,5.73,3.35,2.38,41.5357766143107,6.61,2.26,4.35,8.07,39
34,HAS,Afgasset,2,4.24,2.18,2.06,48.5849056603774,6.61,2.06,4.55,8.02,25
36,BOR,Afgasset,1,7.17,6.19,0.98,13.6680613668061,4.6,2.15,2.45,7.62,39
39,LEM,Afgasset,1,6.22,3.11,3.11,50,4.74,2.45,2.29,7.82,51
41,LEM,Afgasset,2,5.73,2.69,3.04,53.0541012216405,4.93,2.69,2.24,8.18,51
43,BRM,Afgasset,1,5.83,4.31,1.52,26.0720411663808,4.65,2.19,2.46,7.88,46
45,BRM,Afgasset,3,3.9,2.61,1.29,33.0769230769231,4.37,1.68,2.69,7.85,38
46,VEG,Afgasset,2,4.06,2.46108995156816,1.59891004843184,39.382020897336,4.4,2.03,2.37,7.68,52
47,VAA,Afgasset,2,4.68,3.15398886827458,1.52601113172542,32.6070754642183,5,1.78,3.22,7.6,51
,SLG,Afgasset,,,,,,5,1.3,3.7,,
,KG,Afgasset,,,,,,3.72,1.5,2.22,,
,DYBK,Afgasset,,,,,,9.39,7.51,1.88,,
