PLANNR,LBNR,MGD,,DATO/DATE,Antal/Number,TOERSTOF/Dry matter,N (Total-N),PH,P,K,CU,C,NH4-N,LNIR_NH4N,LSNBET,,,,,,,,,,
plannr,lbnr,mgd,,date,antal.nbr,DM,TN,pH,P,K,Cu,C,TAN,TAN.NIR,source,,,,,,,,,,
070081414,002,0.45,,9/22/2014,,71.83,7.76,,96.00,0.68,0.00,110.00,0.14,,Biochar fra dyreknogler,,,,,,,,,,
070371010,002,6,,4/7/2010,,38.09,18.59,7.99,4.19,8.38,20.95,112.00,10.25,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,002,6,,,,38.09,18.59,7.99,4.19,8.38,20.95,112.00,10.25,,"Dybstr., slagtekyllinger",,,,,,,,,,
070370909,002,6,,9/17/2008,,47.42,26.37,7.76,5.22,12.80,34.62,191.00,10.76,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,003,5.4,,,,55.94,28.30,,6.90,14.00,,,6.68,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,003,5.4,,,,55.94,28.30,,6.90,14.00,,,6.68,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,004,5.4,,3/2/2010,,55.94,28.30,,6.90,14.00,,,6.68,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,004,5.4,,,,55.94,28.30,,6.90,14.00,,,6.68,,"Dybstr., slagtekyllinger",,,,,,,,,,
070370909,003,4.3,,,,57.91,38.10,6.07,8.11,17.95,39.96,282.00,9.56,,"Dybstr., slagtekyllinger",,,,,,,,,,
070370909,004,4.3,,9/15/2008,,57.91,38.10,6.07,8.11,17.95,39.96,282.00,9.56,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,001,6,,,,62.56,25.40,5.74,5.88,12.51,30.03,236.00,5.44,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,001,6,,9/16/2009,,62.56,25.40,5.74,5.88,12.51,30.03,236.00,5.44,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,002,6,,,,62.56,25.40,5.74,5.88,12.51,30.03,236.00,5.44,,"Dybstr., slagtekyllinger",,,,,,,,,,
070370909,001,5.7,,3/12/2009,,67.27,37.54,6.75,7.40,19.51,56.51,272.00,9.15,,"Dybstr., slagtekyllinger",,,,,,,,,,
070370909,002,5.7,,,,67.27,37.54,6.75,7.40,19.51,56.51,272.00,9.15,,"Dybstr., slagtekyllinger",,,,,,,,,,
070370909,003,4.3,,,,68.03,43.06,8.64,10.88,24.49,62.59,264.00,13.74,,"Dybstr., slagtekyllinger",,,,,,,,,,
070370909,004,4.3,,3/11/2009,,68.03,43.06,8.64,10.88,24.49,62.59,264.00,13.74,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,003,4.7,,,,76.22,23.63,8.21,16.01,22.87,51.07,222.00,7.85,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,003,4.7,,,,76.22,23.63,8.21,16.01,22.87,51.07,222.00,7.85,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,004,4.7,,9/16/2009,,76.22,23.63,8.21,16.01,22.87,51.07,222.00,7.85,,"Dybstr., slagtekyllinger",,,,,,,,,,
070371010,004,4.7,,,,76.22,23.63,8.21,16.01,22.87,51.07,222.00,7.85,,"Dybstr., slagtekyllinger",,,,,,,,,,
070169797,001,28,,,,35.60,7.30,8.10,2.95,6.62,,,1.50,,"Dybstrøelse, sl.svin",,,,,,,,,,
070100909,003,21.2,,4/3/2009,,18.71,4.53,6.45,2.25,1.59,,83.50,1.31,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,002,21.2,,3/30/2009,,19.25,4.50,6.05,2.12,1.33,,75.70,0.90,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,003,,,,,20.63,4.44,6.62,2.27,1.11,,97.10,1.26,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,002,9.4,,3/30/2009,,21.97,9.86,6.89,5.49,1.80,,95.20,4.75,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,002,13.6,,3/30/2009,,22.98,7.54,7.24,6.66,1.68,,79.60,2.46,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,002,,,,,23.61,4.49,7.44,2.36,1.70,,97.90,1.82,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,003,9.4,,4/3/2009,,23.86,7.78,6.41,5.97,1.91,,96.10,2.29,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,001,21.2,,4/8/2009,,24.27,3.93,7.20,2.31,1.53,,113.00,1.46,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,003,13.6,,4/3/2009,,24.37,6.87,7.21,6.09,1.75,,82.50,1.32,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,001,13.6,,4/8/2009,,27.31,8.30,7.28,7.37,1.97,,92.80,3.36,,"Fiberfraktion, beluftet",,,,,,,,,,
070100909,001,9.4,,4/8/2009,,27.46,10.19,6.98,6.87,2.09,,123.00,4.23,,"Fiberfraktion, beluftet",,,,,,,,,,
070381010,001,12,,3/16/2010,,32.43,10.41,8.14,6.81,1.95,0.15,138.00,5.32,,"Fiberfraktion, frisk, afgasset",,,,,,,,,,
070381010,002,12,,3/23/2010,,34.49,11.04,8.32,10.69,1.72,44.84,136.00,6.04,,"Fiberfraktion, frisk, afgasset",,,,,,,,,,
070381010,002,12,,,,36.02,11.24,8.56,8.64,1.48,50.43,139.00,5.66,,"Fiberfraktion, frisk, afgasset",,,,,,,,,,
070381010,002,12,,9/16/2009,,36.02,11.24,8.56,8.64,1.48,50.43,139.00,5.66,,"Fiberfraktion, frisk, afgasset",,,,,,,,,,
070381010,001,12,,,,36.84,11.09,,9.21,1.66,0.16,,5.56,,"Fiberfraktion, frisk, afgasset",,,,,,,,,,
070381010,001,12,,9/21/2009,,36.84,11.09,,9.21,1.66,0.16,,5.56,,"Fiberfraktion, frisk, afgasset",,,,,,,,,,
070100909,003,20.9,,4/3/2009,,20.63,4.44,6.62,2.27,1.11,,97.10,1.26,,"Fiberfraktion, overdækket",,,,,,,,,,
070100909,003,9.7,,4/3/2009,,22.21,9.42,6.73,4.89,1.60,,98.80,4.53,,"Fiberfraktion, overdækket",,,,,,,,,,
070100909,001,,,4/8/2009,,23.27,4.07,6.93,3.03,1.70,,106.00,1.65,,"Fiberfraktion, overdækket",,,,,,,,,,
070100909,001,20.9,,,,23.27,4.07,6.93,3.03,1.70,,106.00,1.65,,"Fiberfraktion, overdækket",,,,,,,,,,
070100909,002,20.9,,3/30/2009,,23.61,4.49,7.44,2.36,1.70,,97.90,1.82,,"Fiberfraktion, overdækket",,,,,,,,,,
070100909,001,9.7,,4/8/2009,,24.61,9.43,7.68,5.17,1.62,,116.00,5.27,,"Fiberfraktion, overdækket",,,,,,,,,,
070100909,002,9.7,,3/30/2009,,24.83,8.72,7.25,5.21,1.74,,102.00,4.64,,"Fiberfraktion, overdækket",,,,,,,,,,
070100909,003,8.5,,4/3/2009,,25.08,7.82,7.66,6.52,1.76,,92.80,3.26,,"Fiberfraktion, overdækket",,,,,,,,,,
