"","ID","Ref","Year","Country","Place","AirTemperature","Rainfall","irrigation","SoilType","Clay","SoilpH","SoilCEC","Crop","FertiliserType","Application","Method","WaterPerDay","NH3loss","SD","Reps","Application.rate","Duration","SOC","Rain.72h","Wind.7d","Temp.7d","Residues","chk","NBPT.dose","NBPT.NH3loss","NBPT.dose.1","NBPT.NH3loss.1","NBPT.dose.2","NBPT.NH3loss.2","NBPT.dose.3","NBPT.NH3loss.3","NBPT.dose.4","NBPT.NH3loss.4","inhibitor","inhibitor.NH3.loss","inhibitor.dose","Notes","Fertiliser"
"29",29,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Broadcast","Ventilated chambers",NA,12.9,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"30",30,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Broadcast","Ventilated chambers",NA,16.8,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"31",31,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Broadcast","Ventilated chambers",NA,22.6,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"32",32,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Incorporated","Ventilated chambers",NA,2,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"33",33,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Incorporated","Ventilated chambers",NA,2.7,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"34",34,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Incorporated","Ventilated chambers",NA,8.4,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"35",35,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Liquid","Ventilated chambers",NA,6,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"36",36,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Liquid","Ventilated chambers",NA,9,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"37",37,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Silt loam",10.8,6.9,9,"None","zUrea","Liquid","Ventilated chambers",NA,16.8,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"38",38,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Broadcast","Ventilated chambers",NA,3.2,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"39",39,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Broadcast","Ventilated chambers",NA,3.3,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
"40",40,"Abdul-Mehdi and Stroehlein (1991)",1991,"USA","Lab",NA,NA,NA,"Loamy sand",22,7.95,12.7,"None","zUrea","Broadcast","Ventilated chambers",NA,4.5,NA,1,NA,30,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urea+"
