;ID;Ref;Year;Country;Place;AirTemperature;Rainfall;irrigation;SoilType;Clay;SoilpH;SoilCEC;Crop;FertiliserType;Application;Depth;Method;set;id;WaterPerDay;NH3loss;SD;Reps;Application.rate;Duration;SOC;Rain.72h;Wind.7d;Temp.7d;Residues;chk;NBPT.dose;NBPT.NH3loss;NBPT.dose.1;NBPT.NH3loss.1;NBPT.dose.2;NBPT.NH3loss.2;NBPT.dose.3;NBPT.NH3loss.3;NBPT.dose.4;NBPT.NH3loss.4;inhibitor;inhibitor.NH3.loss;inhibitor.dose;Notes;Fertiliser
721;763;Ernst and Massey (1960);1960;USA;Lab;NA;NA;NA;Silt loam;15;6.5;NA;None;zUrea;Broadcast;4;Ventilated chambers;3;ref;NA;17;NA;2;112;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
728;770;Ernst and Massey (1960);1960;USA;Lab;NA;NA;NA;Silt loam;15;6.5;NA;None;zUrea;Incorporated;4;Ventilated chambers;3;treat;NA;5;NA;2;112;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
763;805;Fenn and Kissel (1976);1976;USA;Lab;32;NA;NA;Clay;70;7.6;58;None;AS;Incorporated;2.5;Ventilated chambers;1;treat;NA;18;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
765;807;Fenn and Kissel (1976);1976;USA;Lab;32;NA;NA;Clay;70;7.6;58;None;AS;Broadcast;2.5;Ventilated chambers;1;ref;NA;50;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
773;815;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Incorporated;7.5;Ventilated chambers;7;treat;NA;26;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
782;824;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Broadcast;7.5;Ventilated chambers;7;ref;NA;66;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
774;816;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Incorporated;7.5;Ventilated chambers;2;treat;NA;29;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
782;824;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Broadcast;7.5;Ventilated chambers;2;ref;NA;66;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
776;818;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Incorporated;5;Ventilated chambers;3;treat;NA;35;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
782;824;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Broadcast;5;Ventilated chambers;3;ref;NA;66;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
777;819;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Incorporated;5;Ventilated chambers;4;treat;NA;45;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
782;824;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Broadcast;5;Ventilated chambers;4;ref;NA;66;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
779;821;Fenn and Kissel (1976);1976;USA;Lab;30;NA;NA;silty clay loam;35;7.6;22;None;AS;Incorporated;2.5;Ventilated chambers;5;treat;NA;52;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ammonium+1
