;ID;Ref;Year;Country;Place;AirTemperature;Rainfall;irrigation;SoilType;Clay;SoilpH;SoilCEC;Crop;FertiliserType;Application;Depth;Method;set;id;WaterPerDay;NH3loss;SD;Reps;Application.rate;Duration;SOC;Rain.72h;Wind.7d;Temp.7d;Residues;chk;NBPT.dose;NBPT.NH3loss;NBPT.dose.1;NBPT.NH3loss.1;NBPT.dose.2;NBPT.NH3loss.2;NBPT.dose.3;NBPT.NH3loss.3;NBPT.dose.4;NBPT.NH3loss.4;inhibitor;inhibitor.NH3.loss;inhibitor.dose;Notes;Fertiliser
1438;1500;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;6.6;54;None;zUrea;Broadcast;;Ventilated chambers;9;ref;NA;8.1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1439;1501;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;6.6;54;None;zUrea;Broadcast;;Ventilated chambers;10;ref;NA;11;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1440;1502;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;6.6;54;None;zUrea;Incorporated;;Ventilated chambers;9;treat;NA;3.5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1441;1503;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;6.6;54;None;zUrea;Incorporated;;Ventilated chambers;10;treat;NA;7.2;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1442;1504;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;4.7;34;None;zUrea;Broadcast;;Ventilated chambers;11;ref;NA;3.1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1443;1505;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;4.7;34;None;zUrea;Broadcast;;Ventilated chambers;12;ref;NA;10.1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1444;1506;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;4.7;34;None;zUrea;Incorporated;;Ventilated chambers;11;treat;NA;4.5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1445;1507;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;4.7;34;None;zUrea;Incorporated;;Ventilated chambers;12;treat;NA;5.3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1446;1508;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;3.6;23;None;zUrea;Broadcast;;Ventilated chambers;13;ref;NA;0.3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1447;1509;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;3.6;23;None;zUrea;Broadcast;;Ventilated chambers;14;ref;NA;1.2;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1448;1510;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;3.6;23;None;zUrea;Incorporated;;Ventilated chambers;13;treat;NA;0.2;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1449;1511;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Clay;65;3.6;23;None;zUrea;Incorporated;;Ventilated chambers;14;treat;NA;0.3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1450;1512;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Silt loam;15;8.1;30;None;zUrea;Broadcast;;Ventilated chambers;15;ref;NA;15.8;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1451;1513;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Silt loam;15;8.1;30;None;zUrea;Broadcast;;Ventilated chambers;16;ref;NA;19;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1452;1514;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Silt loam;15;8.1;30;None;zUrea;Incorporated;;Ventilated chambers;15;treat;NA;5.3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1453;1515;Macrae and Ancajas (1970);1970;Phillipines;Lab;NA;NA;NA;Silt loam;15;8.1;30;None;zUrea;Incorporated;;Ventilated chambers;16;treat;NA;5.9;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1586;1648;Nathan and Malzer (1994);1994;USA;Outdoor;22;NA;NA;sandy loam;18.3;6.5;NA;None;zUrea;Broadcast;;Ventilated chambers;1;ref;NA;0.75;NA;1;200;6;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1587;1649;Nathan and Malzer (1994);1994;USA;Outdoor;22;NA;NA;sandy loam;18.3;6.5;NA;None;zUrea;Incorporated;;Ventilated chambers;1;treat;NA;0.1;NA;1;200;6;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urea+
1776;1887;Rochette 2009;2009;Canada;Outdoor;18;0;30;loam;17.5;5.4;17.3;None;zUrea;Broadcast;5;Windtunnel;1;ref;1.15;9.5;NA;3;140;26;22;0;NA;NA;n;y;NA;4.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30mm irrigation (5mm 7 amd 14DAF, 20mm 21DAF)  simulated rainfall;Urea+
1777;1888;Rochette 2009;2009;Canada;Outdoor;18;0;30;loam;17.5;5.4;17.3;None;zUrea;Incorporated;5;Windtunnel;1;treat;1.15;16.1;NA;3;140;26;22;0;NA;NA;n;y;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30mm irrigation (5mm 7 amd 14DAF, 20mm 21DAF)  simulated rainfall;Urea+
2582;2723;Woodley et al. 2020;2020;Canada;Outdoor;19;170;0;Clay loam;37;6.4;13.5;Maize;zUrea;Broadcast;;Windtunnel;1;ref;6.07;14.7;NA;3;180;28;23.1;0;NA;NA;n;y;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NBPT+DCD;6.3;NA;after rainfall events irrigation by hand under the wind tunnel the day after;Urea+
